hrv_uint8,ee_status,timestamp_received,rr_hr,rr,sensor_contact,rr_interval,hr
True,False,2024-08-12 16:46:21.496081,,,Contact detected,False,76
True,False,2024-08-12 16:46:22.501561,,,Contact detected,False,76
True,False,2024-08-12 16:46:23.460994,,,Contact detected,False,76
True,False,2024-08-12 16:46:24.451347,,,Contact detected,False,76
True,False,2024-08-12 16:46:25.470622,,,Contact detected,False,76
True,False,2024-08-12 16:46:26.460975,,,Contact detected,False,76
True,False,2024-08-12 16:46:27.451328,,,Contact detected,False,76
True,False,2024-08-12 16:46:28.470604,,,Contact detected,False,76
True,False,2024-08-12 16:46:29.460956,[83],[715],Contact detected,True,76
True,False,2024-08-12 16:46:30.481229,[84],[711],Contact detected,True,76
True,False,2024-08-12 16:46:31.471582,"[83, 84]","[715, 711]",Contact detected,True,77
True,False,2024-08-12 16:46:32.460937,[84],[711],Contact detected,True,78
True,False,2024-08-12 16:46:33.451290,[83],[715],Contact detected,True,79
True,False,2024-08-12 16:46:34.471563,"[84, 84]","[711, 711]",Contact detected,True,81
True,False,2024-08-12 16:46:35.460918,[83],[715],Contact detected,True,81
True,False,2024-08-12 16:46:36.451271,"[84, 84]","[711, 711]",Contact detected,True,82
True,False,2024-08-12 16:46:37.471544,[83],[715],Contact detected,True,82
True,False,2024-08-12 16:46:38.460902,[84],[711],Contact detected,True,82
True,False,2024-08-12 16:46:39.451252,"[83, 84]","[715, 711]",Contact detected,True,82
True,False,2024-08-12 16:46:40.471525,[84],[711],Contact detected,True,82
True,False,2024-08-12 16:46:41.460880,[83],[715],Contact detected,True,82
True,False,2024-08-12 16:46:42.451233,"[84, 84]","[711, 711]",Contact detected,True,82
True,False,2024-08-12 16:46:43.471506,[83],[715],Contact detected,True,82
True,False,2024-08-12 16:46:44.460861,"[84, 84]","[711, 711]",Contact detected,True,82
True,False,2024-08-12 16:46:45.451214,[83],[715],Contact detected,True,82
True,False,2024-08-12 16:46:46.471487,[84],[711],Contact detected,True,82
True,False,2024-08-12 16:46:47.460842,"[84, 83]","[711, 715]",Contact detected,True,82
True,False,2024-08-12 16:46:48.451195,[84],[711],Contact detected,True,82
True,False,2024-08-12 16:46:49.471468,[83],[715],Contact detected,True,82
True,False,2024-08-12 16:46:50.460823,"[84, 84]","[711, 711]",Contact detected,True,82
True,False,2024-08-12 16:46:51.451176,[83],[715],Contact detected,True,82
True,False,2024-08-12 16:46:52.471449,[84],[711],Contact detected,True,82
True,False,2024-08-12 16:46:53.460804,"[84, 83]","[711, 715]",Contact detected,True,82
True,False,2024-08-12 16:46:54.451157,[84],[711],Contact detected,True,82
True,False,2024-08-12 16:46:55.501350,[84],[711],Contact detected,True,82
True,False,2024-08-12 16:46:56.460785,"[83, 84]","[715, 711]",Contact detected,True,82
True,False,2024-08-12 16:46:57.451138,[83],[715],Contact detected,True,82
True,False,2024-08-12 16:46:58.471411,"[84, 84]","[711, 711]",Contact detected,True,82
True,False,2024-08-12 16:46:59.460766,[83],[715],Contact detected,True,82
True,False,2024-08-12 16:47:00.451119,[84],[711],Contact detected,True,82
True,False,2024-08-12 16:47:01.501312,"[84, 83]","[711, 715]",Contact detected,True,82
True,False,2024-08-12 16:47:02.460747,[84],[708],Contact detected,True,82
True,False,2024-08-12 16:47:03.451100,[84],[711],Contact detected,True,82
True,False,2024-08-12 16:47:04.471373,"[83, 84]","[715, 711]",Contact detected,True,82
True,False,2024-08-12 16:47:05.460728,[84],[711],Contact detected,True,82
True,False,2024-08-12 16:47:06.451080,[83],[715],Contact detected,True,82
