hrv_uint8,ee_status,timestamp_received,rr_hr,rr,sensor_contact,rr_interval,hr
True,False,2024-08-12 17:26:53.325938,"[144, 145, 145]","[416, 413, 413]",Contact detected,True,138
True,False,2024-08-12 17:26:54.316232,"[148, 148]","[405, 405]",Contact detected,True,140
True,False,2024-08-12 17:26:55.305628,"[145, 148]","[413, 405]",Contact detected,True,141
True,False,2024-08-12 17:26:56.325901,"[149, 149, 148]","[401, 401, 405]",Contact detected,True,143
True,False,2024-08-12 17:26:57.316349,"[153, 152]","[390, 394]",Contact detected,True,144
True,False,2024-08-12 17:26:58.305704,"[152, 149, 155]","[394, 401, 386]",Contact detected,True,146
True,False,2024-08-12 17:26:59.325977,"[153, 153]","[390, 390]",Contact detected,True,148
True,False,2024-08-12 17:27:00.316331,"[153, 155, 153]","[390, 386, 390]",Contact detected,True,149
True,False,2024-08-12 17:27:01.306685,"[157, 155]","[382, 386]",Contact detected,True,150
True,False,2024-08-12 17:27:02.325959,"[155, 157, 155]","[386, 382, 386]",Contact detected,True,151
True,False,2024-08-12 17:27:03.316313,"[157, 155]","[382, 386]",Contact detected,True,152
True,False,2024-08-12 17:27:04.305667,"[157, 157, 157]","[382, 382, 382]",Contact detected,True,152
True,False,2024-08-12 17:27:05.325940,"[157, 157]","[382, 382]",Contact detected,True,153
True,False,2024-08-12 17:27:06.316293,"[157, 158, 158]","[382, 378, 378]",Contact detected,True,153
True,False,2024-08-12 17:27:07.305647,"[158, 157, 158]","[378, 382, 378]",Contact detected,True,154
True,False,2024-08-12 17:27:08.325812,"[157, 158]","[382, 378]",Contact detected,True,154
True,False,2024-08-12 17:27:09.316166,"[160, 160]","[375, 375]",Contact detected,True,154
True,False,2024-08-12 17:27:10.336439,"[158, 158, 158]","[378, 378, 378]",Contact detected,True,155
True,False,2024-08-12 17:27:11.325794,"[160, 161, 160]","[375, 371, 375]",Contact detected,True,155
True,False,2024-08-12 17:27:12.316148,"[160, 160, 158]","[375, 375, 378]",Contact detected,True,156
True,False,2024-08-12 17:27:13.306500,"[160, 161]","[375, 371]",Contact detected,True,156
True,False,2024-08-12 17:27:14.325775,"[158, 160, 160]","[378, 375, 375]",Contact detected,True,156
True,False,2024-08-12 17:27:15.316128,"[161, 160, 158]","[371, 375, 378]",Contact detected,True,156
True,False,2024-08-12 17:27:16.306480,"[160, 161]","[375, 371]",Contact detected,True,156
True,False,2024-08-12 17:27:17.355676,"[161, 160]","[371, 375]",Contact detected,True,156
True,False,2024-08-12 17:27:18.316108,"[160, 160, 160]","[375, 375, 375]",Contact detected,True,156
True,False,2024-08-12 17:27:19.306461,"[161, 161, 158]","[371, 371, 378]",Contact detected,True,157
True,False,2024-08-12 17:27:20.325736,"[160, 161]","[375, 371]",Contact detected,True,157
True,False,2024-08-12 17:27:21.316089,"[161, 160, 161]","[371, 375, 371]",Contact detected,True,157
True,False,2024-08-12 17:27:22.306443,"[160, 160, 161]","[375, 375, 371]",Contact detected,True,157
True,False,2024-08-12 17:27:23.325717,"[161, 161]","[371, 371]",Contact detected,True,157
True,False,2024-08-12 17:27:24.316070,"[158, 161, 161]","[378, 371, 371]",Contact detected,True,157
True,False,2024-08-12 17:27:25.305426,"[160, 160]","[375, 375]",Contact detected,True,157
True,False,2024-08-12 17:27:26.355620,"[161, 161, 160]","[371, 371, 375]",Contact detected,True,157
True,False,2024-08-12 17:27:27.316051,"[160, 163, 160]","[375, 367, 375]",Contact detected,True,157
True,False,2024-08-12 17:27:28.306406,"[161, 160]","[371, 375]",Contact detected,True,157
True,False,2024-08-12 17:27:29.325679,"[161, 158, 161]","[371, 378, 371]",Contact detected,True,157
True,False,2024-08-12 17:27:30.316032,"[161, 161, 161]","[371, 371, 371]",Contact detected,True,157
True,False,2024-08-12 17:27:31.306385,"[161, 160]","[371, 375]",Contact detected,True,157
True,False,2024-08-12 17:27:32.325660,"[160, 161, 161]","[375, 371, 371]",Contact detected,True,157
True,False,2024-08-12 17:27:33.316014,"[158, 161]","[378, 371]",Contact detected,True,157
True,False,2024-08-12 17:27:34.306366,"[161, 160, 161]","[371, 375, 371]",Contact detected,True,157
True,False,2024-08-12 17:27:35.325641,"[161, 160, 160]","[371, 375, 375]",Contact detected,True,157
True,False,2024-08-12 17:27:36.315994,"[163, 161]","[367, 371]",Contact detected,True,157
True,False,2024-08-12 17:27:37.306347,"[163, 163, 161]","[367, 367, 371]",Contact detected,True,158
True,False,2024-08-12 17:27:38.325622,"[161, 161, 160]","[371, 371, 375]",Contact detected,True,158
True,False,2024-08-12 17:27:39.315975,"[161, 160]","[371, 375]",Contact detected,True,158
True,False,2024-08-12 17:27:40.306328,"[161, 161, 163]","[371, 371, 367]",Contact detected,True,158
True,False,2024-08-12 17:27:41.325603,"[161, 160, 160]","[371, 375, 375]",Contact detected,True,157
True,False,2024-08-12 17:27:42.315956,"[161, 160]","[371, 375]",Contact detected,True,157
True,False,2024-08-12 17:27:43.336230,"[163, 163, 160]","[367, 367, 375]",Contact detected,True,158
True,False,2024-08-12 17:27:44.325584,"[161, 161]","[371, 371]",Contact detected,True,157
True,False,2024-08-12 17:27:45.315938,"[161, 160, 163]","[371, 375, 367]",Contact detected,True,158
True,False,2024-08-12 17:27:46.306289,"[161, 161, 161]","[371, 371, 371]",Contact detected,True,158
True,False,2024-08-12 17:27:47.325565,"[161, 161]","[371, 371]",Contact detected,True,158
True,False,2024-08-12 17:27:48.315918,"[163, 161, 163]","[367, 371, 367]",Contact detected,True,158
True,False,2024-08-12 17:27:49.306271,"[163, 163, 163]","[367, 367, 367]",Contact detected,True,158
True,False,2024-08-12 17:27:50.325546,"[163, 161]","[367, 371]",Contact detected,True,159
True,False,2024-08-12 17:27:51.315900,"[163, 163, 163]","[367, 367, 367]",Contact detected,True,159
True,False,2024-08-12 17:27:52.306252,"[163, 163, 165]","[367, 367, 363]",Contact detected,True,159
True,False,2024-08-12 17:27:53.326525,"[163, 163]","[367, 367]",Contact detected,True,159
True,False,2024-08-12 17:27:54.315880,"[165, 163, 163]","[363, 367, 367]",Contact detected,True,160
True,False,2024-08-12 17:27:55.306235,"[165, 163, 165]","[363, 367, 363]",Contact detected,True,160
True,False,2024-08-12 17:27:56.325508,"[165, 163]","[363, 367]",Contact detected,True,160
True,False,2024-08-12 17:27:57.315861,"[163, 163, 166]","[367, 367, 360]",Contact detected,True,160
True,False,2024-08-12 17:27:58.306214,"[165, 163, 163]","[363, 367, 367]",Contact detected,True,160
True,False,2024-08-12 17:27:59.325489,"[163, 163]","[367, 367]",Contact detected,True,160
True,False,2024-08-12 17:28:00.315842,"[163, 165, 165]","[367, 363, 363]",Contact detected,True,160
True,False,2024-08-12 17:28:01.306195,"[165, 165, 163]","[363, 363, 367]",Contact detected,True,160
True,False,2024-08-12 17:28:02.325470,"[163, 163]","[367, 367]",Contact detected,True,160
True,False,2024-08-12 17:28:03.315823,"[166, 168, 163]","[360, 356, 367]",Contact detected,True,161
True,False,2024-08-12 17:28:04.306176,"[165, 166, 165]","[363, 360, 363]",Contact detected,True,161
True,False,2024-08-12 17:28:05.325451,"[166, 165]","[360, 363]",Contact detected,True,161
True,False,2024-08-12 17:28:06.315804,"[165, 166, 166]","[363, 360, 360]",Contact detected,True,162
True,False,2024-08-12 17:28:07.306156,"[165, 165, 166]","[363, 363, 360]",Contact detected,True,162
True,False,2024-08-12 17:28:08.326430,"[166, 165, 168]","[360, 363, 356]",Contact detected,True,162
True,False,2024-08-12 17:28:09.315784,"[166, 165]","[360, 363]",Contact detected,True,162
True,False,2024-08-12 17:28:10.306138,"[166, 165, 168]","[360, 363, 356]",Contact detected,True,162
True,False,2024-08-12 17:28:11.326410,"[168, 168, 166]","[356, 356, 360]",Contact detected,True,163
True,False,2024-08-12 17:28:12.315767,"[165, 165]","[363, 363]",Contact detected,True,163
True,False,2024-08-12 17:28:13.306118,"[163, 165, 168]","[367, 363, 356]",Contact detected,True,162
True,False,2024-08-12 17:28:14.326391,"[166, 168, 166]","[360, 356, 360]",Contact detected,True,162
True,False,2024-08-12 17:28:15.315748,"[165, 166]","[363, 360]",Contact detected,True,162
True,False,2024-08-12 17:28:16.336021,"[166, 166, 166]","[360, 360, 360]",Contact detected,True,163
