hrv_uint8,ee_status,timestamp_received,rr_hr,rr,sensor_contact,rr_interval,hr
True,False,2024-08-12 17:44:33.258209,,,Contact detected,False,75
True,False,2024-08-12 17:44:34.277484,,,Contact detected,False,75
True,False,2024-08-12 17:44:35.267877,,,Contact detected,False,75
True,False,2024-08-12 17:44:36.258190,,,Contact detected,False,75
True,False,2024-08-12 17:44:37.248060,,,Contact detected,False,75
True,False,2024-08-12 17:44:38.267336,,,Contact detected,False,75
True,False,2024-08-12 17:44:39.257689,,,Contact detected,False,75
True,False,2024-08-12 17:44:40.248042,,,Contact detected,False,75
True,False,2024-08-12 17:44:41.267317,,,Contact detected,False,75
True,False,2024-08-12 17:44:42.257670,"[84, 83]","[711, 715]",Contact detected,True,76
True,False,2024-08-12 17:44:43.248023,[84],[711],Contact detected,True,77
True,False,2024-08-12 17:44:44.268295,"[84, 83]","[711, 715]",Contact detected,True,78
True,False,2024-08-12 17:44:45.257651,[84],[711],Contact detected,True,79
True,False,2024-08-12 17:44:46.248004,[84],[711],Contact detected,True,80
True,False,2024-08-12 17:44:47.298196,"[83, 84]","[715, 711]",Contact detected,True,81
True,False,2024-08-12 17:44:48.287552,[84],[711],Contact detected,True,82
True,False,2024-08-12 17:44:49.247985,[83],[715],Contact detected,True,82
True,False,2024-08-12 17:44:50.268257,"[84, 84]","[711, 711]",Contact detected,True,82
True,False,2024-08-12 17:44:51.257613,[83],[715],Contact detected,True,82
True,False,2024-08-12 17:44:52.247966,"[84, 84]","[711, 711]",Contact detected,True,82
True,False,2024-08-12 17:44:53.268242,[83],[715],Contact detected,True,82
True,False,2024-08-12 17:44:54.257594,[84],[711],Contact detected,True,82
True,False,2024-08-12 17:44:55.248155,"[83, 84]","[715, 711]",Contact detected,True,82
True,False,2024-08-12 17:44:56.267471,[84],[711],Contact detected,True,82
True,False,2024-08-12 17:44:57.257824,[83],[715],Contact detected,True,82
True,False,2024-08-12 17:44:58.248133,"[84, 84]","[711, 711]",Contact detected,True,82
True,False,2024-08-12 17:44:59.267730,[83],[715],Contact detected,True,82
True,False,2024-08-12 17:45:00.258084,"[84, 84]","[711, 711]",Contact detected,True,82
True,False,2024-08-12 17:45:01.247438,[83],[715],Contact detected,True,82
True,False,2024-08-12 17:45:02.267710,[84],[711],Contact detected,True,82
True,False,2024-08-12 17:45:03.258064,"[83, 84]","[715, 711]",Contact detected,True,82
True,False,2024-08-12 17:45:04.247418,[84],[711],Contact detected,True,82
True,False,2024-08-12 17:45:05.267692,[83],[715],Contact detected,True,82
True,False,2024-08-12 17:45:06.258044,"[84, 84]","[711, 711]",Contact detected,True,82
True,False,2024-08-12 17:45:07.247399,[83],[715],Contact detected,True,82
True,False,2024-08-12 17:45:08.267672,"[84, 84]","[711, 711]",Contact detected,True,82
True,False,2024-08-12 17:45:09.258025,[83],[715],Contact detected,True,82
True,False,2024-08-12 17:45:10.247380,[84],[711],Contact detected,True,82
True,False,2024-08-12 17:45:11.267654,"[84, 83]","[711, 715]",Contact detected,True,82
True,False,2024-08-12 17:45:12.258005,[84],[711],Contact detected,True,82
True,False,2024-08-12 17:45:13.247361,[83],[715],Contact detected,True,82
True,False,2024-08-12 17:45:14.267634,"[84, 84]","[711, 711]",Contact detected,True,82
True,False,2024-08-12 17:45:15.257986,[83],[715],Contact detected,True,82
True,False,2024-08-12 17:45:16.277262,"[84, 84]","[711, 711]",Contact detected,True,82
True,False,2024-08-12 17:45:17.237695,[83],[715],Contact detected,True,82
True,False,2024-08-12 17:45:18.257969,[84],[711],Contact detected,True,82
True,False,2024-08-12 17:45:19.247324,"[84, 83]","[711, 715]",Contact detected,True,82
True,False,2024-08-12 17:45:20.237676,[84],[711],Contact detected,True,82
