hrv_uint8,ee_status,timestamp_received,rr_hr,rr,sensor_contact,rr_interval,hr
True,False,2024-08-12 18:03:33.200075,,,Contact detected,False,76
True,False,2024-08-12 18:03:34.190385,,,Contact detected,False,76
True,False,2024-08-12 18:03:35.180739,,,Contact detected,False,76
True,False,2024-08-12 18:03:36.200055,,,Contact detected,False,76
True,False,2024-08-12 18:03:37.190366,,,Contact detected,False,76
True,False,2024-08-12 18:03:38.180759,,,Contact detected,False,76
True,False,2024-08-12 18:03:39.200048,,,Contact detected,False,76
True,False,2024-08-12 18:03:40.190347,[83],[715],Contact detected,True,76
True,False,2024-08-12 18:03:41.180701,"[84, 84]","[711, 711]",Contact detected,True,77
True,False,2024-08-12 18:03:42.229940,[83],[715],Contact detected,True,77
True,False,2024-08-12 18:03:43.190328,[84],[711],Contact detected,True,78
True,False,2024-08-12 18:03:44.180722,"[84, 83]","[711, 715]",Contact detected,True,80
True,False,2024-08-12 18:03:45.199996,[84],[711],Contact detected,True,81
True,False,2024-08-12 18:03:46.190351,[84],[711],Contact detected,True,81
True,False,2024-08-12 18:03:47.180662,"[83, 84]","[715, 711]",Contact detected,True,82
True,False,2024-08-12 18:03:48.229901,[83],[715],Contact detected,True,82
True,False,2024-08-12 18:03:49.220250,"[84, 84]","[711, 711]",Contact detected,True,82
True,False,2024-08-12 18:03:50.180643,[83],[715],Contact detected,True,82
True,False,2024-08-12 18:03:51.199959,[84],[711],Contact detected,True,82
True,False,2024-08-12 18:03:52.190310,"[84, 83]","[711, 715]",Contact detected,True,82
True,False,2024-08-12 18:03:53.180624,[84],[711],Contact detected,True,82
True,False,2024-08-12 18:03:54.199954,[84],[711],Contact detected,True,82
True,False,2024-08-12 18:03:55.190291,"[83, 84]","[715, 711]",Contact detected,True,82
True,False,2024-08-12 18:03:56.180649,[84],[711],Contact detected,True,82
True,False,2024-08-12 18:03:57.199920,"[83, 84]","[715, 711]",Contact detected,True,82
True,False,2024-08-12 18:03:58.190235,[84],[711],Contact detected,True,82
True,False,2024-08-12 18:03:59.180586,[83],[715],Contact detected,True,82
True,False,2024-08-12 18:04:00.169982,"[84, 84]","[711, 711]",Contact detected,True,82
True,False,2024-08-12 18:04:01.190253,[83],[715],Contact detected,True,82
True,False,2024-08-12 18:04:02.180569,[84],[711],Contact detected,True,82
True,False,2024-08-12 18:04:03.169922,"[83, 84]","[715, 711]",Contact detected,True,82
True,False,2024-08-12 18:04:04.190237,[84],[711],Contact detected,True,82
True,False,2024-08-12 18:04:05.180548,[83],[715],Contact detected,True,82
True,False,2024-08-12 18:04:06.169943,"[84, 84]","[711, 711]",Contact detected,True,82
True,False,2024-08-12 18:04:07.190223,[83],[715],Contact detected,True,82
True,False,2024-08-12 18:04:08.180508,[84],[711],Contact detected,True,82
True,False,2024-08-12 18:04:09.169863,"[84, 83]","[711, 715]",Contact detected,True,82
True,False,2024-08-12 18:04:10.190174,[84],[711],Contact detected,True,82
True,False,2024-08-12 18:04:11.180489,"[84, 83]","[711, 715]",Contact detected,True,82
True,False,2024-08-12 18:04:12.169844,[84],[711],Contact detected,True,82
True,False,2024-08-12 18:04:13.190117,[84],[711],Contact detected,True,82
True,False,2024-08-12 18:04:14.180469,"[83, 84]","[715, 711]",Contact detected,True,82
True,False,2024-08-12 18:04:15.169825,[84],[711],Contact detected,True,82
True,False,2024-08-12 18:04:16.190098,[83],[715],Contact detected,True,82
