rr_hr,hrv_uint8,timestamp_received,rr,ee_status,hr,sensor_contact,rr_interval
,True,2024-06-19 13:31:51.913078,,False,0,Sensor contact not supported,False
"[77, 77]",True,2024-06-19 13:31:52.791398,"[775, 775]",False,0,Sensor contact not supported,True
[1],True,2024-06-19 13:31:53.748714,[54505],False,76,Sensor contact not supported,True
,True,2024-06-19 13:31:54.771935,,False,76,Sensor contact not supported,False
[71],True,2024-06-19 13:31:56.079826,[836],False,76,Sensor contact not supported,True
,True,2024-06-19 13:31:57.072371,,False,76,Sensor contact not supported,False
[22],True,2024-06-19 13:31:58.075855,[2637],False,76,Sensor contact not supported,True
[72],True,2024-06-19 13:31:59.073408,[823],False,77,Sensor contact not supported,True
[72],True,2024-06-19 13:32:00.068214,[832],False,77,Sensor contact not supported,True
"[72, 72]",True,2024-06-19 13:32:01.063338,"[833, 833]",False,75,Sensor contact not supported,True
[72],True,2024-06-19 13:32:02.063786,[833],False,75,Sensor contact not supported,True
[72],True,2024-06-19 13:32:03.061463,[833],False,74,Sensor contact not supported,True
[72],True,2024-06-19 13:32:04.057289,[833],False,74,Sensor contact not supported,True
,True,2024-06-19 13:32:05.056540,,False,74,Sensor contact not supported,False
"[72, 72]",True,2024-06-19 13:32:06.053291,"[833, 833]",False,74,Sensor contact not supported,True
[36],True,2024-06-19 13:32:07.050105,[1665],False,73,Sensor contact not supported,True
[72],True,2024-06-19 13:32:08.050378,[833],False,73,Sensor contact not supported,True
[72],True,2024-06-19 13:32:09.048189,[833],False,73,Sensor contact not supported,True
[72],True,2024-06-19 13:32:10.040679,[833],False,73,Sensor contact not supported,True
"[72, 72]",True,2024-06-19 13:32:11.043934,"[833, 833]",False,72,Sensor contact not supported,True
[72],True,2024-06-19 13:32:12.035368,[833],False,72,Sensor contact not supported,True
[72],True,2024-06-19 13:32:13.035945,[833],False,72,Sensor contact not supported,True
[72],True,2024-06-19 13:32:14.034364,[833],False,72,Sensor contact not supported,True
[72],True,2024-06-19 13:32:15.031267,[833],False,72,Sensor contact not supported,True
"[72, 72]",True,2024-06-19 13:32:16.025488,"[833, 833]",False,72,Sensor contact not supported,True
[72],True,2024-06-19 13:32:17.028043,[833],False,72,Sensor contact not supported,True
[72],True,2024-06-19 13:32:18.020761,[833],False,72,Sensor contact not supported,True
[72],True,2024-06-19 13:32:19.016413,[833],False,72,Sensor contact not supported,True
[72],True,2024-06-19 13:32:20.014404,[833],False,72,Sensor contact not supported,True
"[72, 72]",True,2024-06-19 13:32:21.014772,"[833, 833]",False,72,Sensor contact not supported,True
[72],True,2024-06-19 13:32:22.009135,[833],False,72,Sensor contact not supported,True
[72],True,2024-06-19 13:32:24.011238,[833],False,72,Sensor contact not supported,True
[72],True,2024-06-19 13:32:24.011238,[833],False,72,Sensor contact not supported,True
[72],True,2024-06-19 13:32:25.002347,[833],False,72,Sensor contact not supported,True
"[72, 72]",True,2024-06-19 13:32:26.005860,"[833, 833]",False,72,Sensor contact not supported,True
[72],True,2024-06-19 13:32:26.996252,[833],False,72,Sensor contact not supported,True
[72],True,2024-06-19 13:32:27.994199,[833],False,72,Sensor contact not supported,True
[72],True,2024-06-19 13:32:28.993236,[833],False,72,Sensor contact not supported,True
[72],True,2024-06-19 13:32:29.990638,[833],False,72,Sensor contact not supported,True
"[72, 72]",True,2024-06-19 13:32:30.993097,"[833, 833]",False,72,Sensor contact not supported,True
[72],True,2024-06-19 13:32:31.983620,[833],False,72,Sensor contact not supported,True
[72],True,2024-06-19 13:32:32.987984,[833],False,72,Sensor contact not supported,True
[72],True,2024-06-19 13:32:33.982893,[833],False,72,Sensor contact not supported,True
[72],True,2024-06-19 13:32:34.976235,[833],False,72,Sensor contact not supported,True
"[72, 72]",True,2024-06-19 13:32:35.975476,"[833, 833]",False,72,Sensor contact not supported,True
[72],True,2024-06-19 13:32:36.972860,[833],False,72,Sensor contact not supported,True
[72],True,2024-06-19 13:32:37.969612,[833],False,72,Sensor contact not supported,True
[72],True,2024-06-19 13:32:38.970752,[833],False,72,Sensor contact not supported,True
[72],True,2024-06-19 13:32:39.964278,[833],False,72,Sensor contact not supported,True
"[72, 72]",True,2024-06-19 13:32:40.968233,"[833, 833]",False,72,Sensor contact not supported,True
[72],True,2024-06-19 13:32:41.964741,[833],False,72,Sensor contact not supported,True
[72],True,2024-06-19 13:32:42.959019,[833],False,72,Sensor contact not supported,True
[72],True,2024-06-19 13:32:43.957709,[833],False,72,Sensor contact not supported,True
[72],True,2024-06-19 13:32:44.957988,[833],False,72,Sensor contact not supported,True
"[72, 72]",True,2024-06-19 13:32:45.950764,"[833, 833]",False,72,Sensor contact not supported,True
[72],True,2024-06-19 13:32:46.947017,[833],False,72,Sensor contact not supported,True
[72],True,2024-06-19 13:32:47.947987,[833],False,72,Sensor contact not supported,True
[72],True,2024-06-19 13:32:48.946967,[833],False,72,Sensor contact not supported,True
[72],True,2024-06-19 13:32:49.943685,[833],False,72,Sensor contact not supported,True
"[72, 72]",True,2024-06-19 13:32:50.942024,"[833, 833]",False,72,Sensor contact not supported,True
[72],True,2024-06-19 13:32:51.938213,[833],False,72,Sensor contact not supported,True
[72],True,2024-06-19 13:32:52.932309,[833],False,72,Sensor contact not supported,True
[72],True,2024-06-19 13:32:53.936035,[833],False,72,Sensor contact not supported,True
"[72, 74]",True,2024-06-19 13:32:55.930164,"[830, 804]",False,72,Sensor contact not supported,True
[76],True,2024-06-19 13:32:55.932160,[780],False,72,Sensor contact not supported,True
[79],True,2024-06-19 13:32:56.928064,[756],False,73,Sensor contact not supported,True
"[81, 84]",True,2024-06-19 13:32:57.920599,"[734, 714]",False,74,Sensor contact not supported,True
[86],True,2024-06-19 13:32:58.923239,[694],False,75,Sensor contact not supported,True
"[88, 90]",True,2024-06-19 13:32:59.915524,"[676, 661]",False,77,Sensor contact not supported,True
"[93, 95]",True,2024-06-19 13:33:00.917753,"[644, 630]",False,80,Sensor contact not supported,True
[97],True,2024-06-19 13:33:01.909282,[617],False,81,Sensor contact not supported,True
"[99, 101]",True,2024-06-19 13:33:02.907595,"[604, 593]",False,87,Sensor contact not supported,True
"[103, 104]",True,2024-06-19 13:33:03.903384,"[582, 572]",False,91,Sensor contact not supported,True
"[106, 108]",True,2024-06-19 13:33:04.908269,"[563, 554]",False,95,Sensor contact not supported,True
"[110, 111]",True,2024-06-19 13:33:05.904836,"[545, 539]",False,99,Sensor contact not supported,True
"[112, 114]",True,2024-06-19 13:33:06.903908,"[532, 525]",False,104,Sensor contact not supported,True
"[115, 116]",True,2024-06-19 13:33:07.893398,"[519, 513]",False,108,Sensor contact not supported,True
"[118, 119]",True,2024-06-19 13:33:08.893045,"[507, 502]",False,111,Sensor contact not supported,True
"[120, 121]",True,2024-06-19 13:33:09.892879,"[498, 494]",False,114,Sensor contact not supported,True
"[122, 123]",True,2024-06-19 13:33:10.891522,"[489, 485]",False,117,Sensor contact not supported,True
"[124, 125]",True,2024-06-19 13:33:11.887000,"[481, 478]",False,119,Sensor contact not supported,True
"[126, 127]",True,2024-06-19 13:33:12.887316,"[474, 471]",False,121,Sensor contact not supported,True
"[128, 129]",True,2024-06-19 13:33:13.881663,"[468, 465]",False,123,Sensor contact not supported,True
"[129, 128]",True,2024-06-19 13:33:15.880214,"[462, 466]",False,125,Sensor contact not supported,True
"[127, 126]",True,2024-06-19 13:33:15.881252,"[471, 476]",False,126,Sensor contact not supported,True
"[125, 123]",True,2024-06-19 13:33:16.873465,"[480, 485]",False,126,Sensor contact not supported,True
"[122, 121]",True,2024-06-19 13:33:17.873303,"[490, 495]",False,125,Sensor contact not supported,True
"[120, 119]",True,2024-06-19 13:33:18.872115,"[500, 504]",False,124,Sensor contact not supported,True
"[117, 116]",True,2024-06-19 13:33:19.871402,"[509, 515]",False,122,Sensor contact not supported,True
"[115, 114]",True,2024-06-19 13:33:20.863807,"[520, 525]",False,120,Sensor contact not supported,True
"[112, 111]",True,2024-06-19 13:33:21.860329,"[531, 536]",False,118,Sensor contact not supported,True
"[110, 109]",True,2024-06-19 13:33:22.856613,"[541, 546]",False,116,Sensor contact not supported,True
[108],True,2024-06-19 13:33:23.855378,[551],False,115,Sensor contact not supported,True
"[107, 106]",True,2024-06-19 13:33:24.853324,"[557, 562]",False,112,Sensor contact not supported,True
"[108, 109]",True,2024-06-19 13:33:25.849305,"[554, 546]",False,111,Sensor contact not supported,True
