timestamp_received,hr,rr_interval,rr,rr_hr,ee_status,sensor_contact,hrv_uint8
2024-06-19 13:58:55.664005,98,True,"[549, 541]","[109, 110]",False,Sensor contact not supported,True
2024-06-19 13:58:55.665959,103,True,"[535, 528]","[112, 113]",False,Sensor contact not supported,True
2024-06-19 13:58:57.658929,107,True,"[522, 516]","[114, 116]",False,Sensor contact not supported,True
2024-06-19 13:58:57.659927,110,True,"[510, 505]","[117, 118]",False,Sensor contact not supported,True
2024-06-19 13:58:58.657180,113,True,"[500, 496]","[120, 120]",False,Sensor contact not supported,True
2024-06-19 13:58:59.654936,116,True,"[491, 487]","[122, 123]",False,Sensor contact not supported,True
2024-06-19 13:59:00.651383,120,True,"[483, 479, 476]","[124, 125, 126]",False,Sensor contact not supported,True
2024-06-19 13:59:01.649342,122,True,"[473, 469]","[126, 127]",False,Sensor contact not supported,True
2024-06-19 13:59:02.646853,124,True,"[466, 464]","[128, 129]",False,Sensor contact not supported,True
2024-06-19 13:59:03.644218,126,True,"[464, 469]","[129, 127]",False,Sensor contact not supported,True
2024-06-19 13:59:04.641615,127,True,"[473, 478]","[126, 125]",False,Sensor contact not supported,True
2024-06-19 13:59:05.639565,126,True,"[483, 488]","[124, 122]",False,Sensor contact not supported,True
2024-06-19 13:59:06.636759,125,True,"[493, 498]","[121, 120]",False,Sensor contact not supported,True
2024-06-19 13:59:07.634622,123,True,"[502, 507]","[119, 118]",False,Sensor contact not supported,True
2024-06-19 13:59:08.632366,121,True,"[512, 518]","[117, 115]",False,Sensor contact not supported,True
2024-06-19 13:59:09.629722,119,True,"[523, 528]","[114, 113]",False,Sensor contact not supported,True
2024-06-19 13:59:10.627605,117,True,"[533, 539]","[112, 111]",False,Sensor contact not supported,True
2024-06-19 13:59:11.624512,116,True,[543],[110],False,Sensor contact not supported,True
2024-06-19 13:59:12.622084,114,True,"[549, 554]","[109, 108]",False,Sensor contact not supported,True
2024-06-19 13:59:13.619215,112,True,"[560, 559]","[107, 107]",False,Sensor contact not supported,True
2024-06-19 13:59:15.614293,110,True,"[550, 542]","[109, 110]",False,Sensor contact not supported,True
2024-06-19 13:59:15.616288,110,True,"[536, 529]","[111, 113]",False,Sensor contact not supported,True
2024-06-19 13:59:16.612174,112,True,"[523, 517]","[114, 116]",False,Sensor contact not supported,True
2024-06-19 13:59:17.609577,113,True,"[511, 505]","[117, 118]",False,Sensor contact not supported,True
2024-06-19 13:59:18.606620,115,True,"[500, 496]","[120, 120]",False,Sensor contact not supported,True
2024-06-19 13:59:19.604598,117,True,"[492, 488]","[121, 122]",False,Sensor contact not supported,True
2024-06-19 13:59:20.602233,119,True,"[484, 480]","[123, 125]",False,Sensor contact not supported,True
2024-06-19 13:59:21.599783,121,True,"[476, 473]","[126, 126]",False,Sensor contact not supported,True
2024-06-19 13:59:22.597451,123,True,"[470, 467]","[127, 128]",False,Sensor contact not supported,True
2024-06-19 13:59:23.594105,125,True,"[464, 461]","[129, 130]",False,Sensor contact not supported,True
2024-06-19 13:59:24.591987,128,True,"[458, 457, 455]","[131, 131, 131]",False,Sensor contact not supported,True
2024-06-19 13:59:25.589558,129,True,"[452, 450]","[132, 133]",False,Sensor contact not supported,True
2024-06-19 13:59:26.586583,131,True,"[448, 446]","[133, 134]",False,Sensor contact not supported,True
2024-06-19 13:59:27.584704,132,True,"[444, 442]","[135, 135]",False,Sensor contact not supported,True
2024-06-19 13:59:28.582359,134,True,"[440, 439, 437]","[136, 136, 137]",False,Sensor contact not supported,True
2024-06-19 13:59:29.579612,135,True,"[435, 434]","[137, 138]",False,Sensor contact not supported,True
2024-06-19 13:59:30.577296,136,True,"[432, 431]","[138, 139]",False,Sensor contact not supported,True
2024-06-19 13:59:31.574872,138,True,"[430, 428, 427]","[139, 140, 140]",False,Sensor contact not supported,True
2024-06-19 13:59:32.572166,139,True,"[426, 424]","[140, 141]",False,Sensor contact not supported,True
2024-06-19 13:59:33.569570,140,True,"[423, 422]","[141, 142]",False,Sensor contact not supported,True
2024-06-19 13:59:35.564661,141,True,"[422, 426, 429]","[142, 140, 139]",False,Sensor contact not supported,True
2024-06-19 13:59:35.565657,140,True,"[433, 436]","[138, 137]",False,Sensor contact not supported,True
2024-06-19 13:59:37.061151,139,True,"[440, 444]","[136, 135]",False,Sensor contact not supported,True
2024-06-19 13:59:38.058629,138,True,"[448, 452]","[133, 132]",False,Sensor contact not supported,True
2024-06-19 13:59:39.055581,136,True,"[456, 459]","[131, 130]",False,Sensor contact not supported,True
2024-06-19 13:59:40.053181,133,True,"[464, 468, 473]","[129, 128, 126]",False,Sensor contact not supported,True
2024-06-19 13:59:41.050466,131,True,"[477, 482]","[125, 124]",False,Sensor contact not supported,True
2024-06-19 13:59:42.047916,128,True,"[487, 492]","[123, 121]",False,Sensor contact not supported,True
2024-06-19 13:59:43.045540,126,True,"[497, 501]","[120, 119]",False,Sensor contact not supported,True
2024-06-19 13:59:44.043183,125,True,[506],[118],False,Sensor contact not supported,True
2024-06-19 13:59:45.040903,121,True,"[511, 515, 510]","[117, 116, 117]",False,Sensor contact not supported,True
2024-06-19 13:59:46.038474,120,True,[504],[119],False,Sensor contact not supported,True
2024-06-19 13:59:47.035615,120,True,"[500, 496, 491]","[120, 120, 122]",False,Sensor contact not supported,True
2024-06-19 13:59:48.033474,121,True,"[487, 483]","[123, 124]",False,Sensor contact not supported,True
2024-06-19 13:59:49.030335,122,True,"[479, 476]","[125, 126]",False,Sensor contact not supported,True
2024-06-19 13:59:50.027878,123,True,"[472, 469]","[127, 127]",False,Sensor contact not supported,True
2024-06-19 13:59:51.025671,125,True,"[466, 463]","[128, 129]",False,Sensor contact not supported,True
2024-06-19 13:59:52.023612,127,True,"[460, 458]","[130, 131]",False,Sensor contact not supported,True
2024-06-19 13:59:53.021152,129,True,"[456, 454, 451]","[131, 132, 133]",False,Sensor contact not supported,True
2024-06-19 13:59:54.017948,130,True,"[449, 447]","[133, 134]",False,Sensor contact not supported,True
2024-06-19 13:59:55.015993,132,True,"[445, 443]","[134, 135]",False,Sensor contact not supported,True
2024-06-19 13:59:56.013737,133,True,"[442, 440]","[135, 136]",False,Sensor contact not supported,True
2024-06-19 13:59:57.010718,135,True,"[438, 436, 435]","[136, 137, 137]",False,Sensor contact not supported,True
2024-06-19 13:59:58.008441,136,True,"[433, 432]","[138, 138]",False,Sensor contact not supported,True
2024-06-19 13:59:59.006046,137,True,"[430, 429]","[139, 139]",False,Sensor contact not supported,True
2024-06-19 14:00:00.003336,138,True,"[428, 426, 425]","[140, 140, 141]",False,Sensor contact not supported,True
2024-06-19 14:00:01.000980,139,True,"[424, 423]","[141, 141]",False,Sensor contact not supported,True
2024-06-19 14:00:01.998641,140,True,"[422, 421]","[142, 142]",False,Sensor contact not supported,True
2024-06-19 14:00:02.996069,141,True,"[420, 419, 418]","[142, 143, 143]",False,Sensor contact not supported,True
2024-06-19 14:00:03.997063,142,True,"[417, 416]","[143, 144]",False,Sensor contact not supported,True
2024-06-19 14:00:04.991051,143,True,"[416, 415, 415]","[144, 144, 144]",False,Sensor contact not supported,True
2024-06-19 14:00:05.989438,143,True,"[417, 420]","[143, 142]",False,Sensor contact not supported,True
2024-06-19 14:00:06.986162,143,True,"[423, 426]","[141, 140]",False,Sensor contact not supported,True
2024-06-19 14:00:07.983273,142,True,"[429, 433, 437]","[139, 138, 137]",False,Sensor contact not supported,True
2024-06-19 14:00:08.980884,140,True,"[440, 444]","[136, 135]",False,Sensor contact not supported,True
2024-06-19 14:00:09.978726,138,True,"[448, 452]","[133, 132]",False,Sensor contact not supported,True
2024-06-19 14:00:10.976138,136,True,"[456, 460]","[131, 130]",False,Sensor contact not supported,True
