timestamp_received,hr,rr_interval,rr,rr_hr,ee_status,sensor_contact,hrv_uint8
2024-06-19 14:04:29.167404,0,False,,,False,Sensor contact not supported,True
2024-06-19 14:04:29.833230,0,True,[504],[119],False,Sensor contact not supported,True
2024-06-19 14:04:30.830676,0,True,[504],[119],False,Sensor contact not supported,True
2024-06-19 14:04:31.827752,0,False,,,False,Sensor contact not supported,True
2024-06-19 14:04:32.825196,0,False,,,False,Sensor contact not supported,True
2024-06-19 14:04:33.822525,0,False,,,False,Sensor contact not supported,True
2024-06-19 14:04:34.820093,122,True,"[35130, 831]","[1, 72]",False,Sensor contact not supported,True
2024-06-19 14:04:35.817340,121,True,[3353],[17],False,Sensor contact not supported,True
2024-06-19 14:04:36.815291,121,True,[826],[72],False,Sensor contact not supported,True
2024-06-19 14:04:37.812549,120,True,[832],[72],False,Sensor contact not supported,True
2024-06-19 14:04:38.810071,120,True,[831],[72],False,Sensor contact not supported,True
2024-06-19 14:04:39.808188,118,True,"[833, 832]","[72, 72]",False,Sensor contact not supported,True
2024-06-19 14:04:40.805823,117,True,[832],[72],False,Sensor contact not supported,True
2024-06-19 14:04:41.802723,107,True,[833],[72],False,Sensor contact not supported,True
2024-06-19 14:04:42.799950,93,True,[833],[72],False,Sensor contact not supported,True
2024-06-19 14:04:43.797456,85,True,[833],[72],False,Sensor contact not supported,True
2024-06-19 14:04:44.795275,82,True,"[833, 833]","[72, 72]",False,Sensor contact not supported,True
2024-06-19 14:04:45.792612,81,True,[833],[72],False,Sensor contact not supported,True
2024-06-19 14:04:46.790090,80,True,[833],[72],False,Sensor contact not supported,True
2024-06-19 14:04:47.787855,79,True,[833],[72],False,Sensor contact not supported,True
2024-06-19 14:04:48.785489,78,True,[833],[72],False,Sensor contact not supported,True
2024-06-19 14:04:49.782439,77,True,"[833, 833]","[72, 72]",False,Sensor contact not supported,True
2024-06-19 14:04:51.777483,77,True,[833],[72],False,Sensor contact not supported,True
2024-06-19 14:04:51.778480,76,True,[833],[72],False,Sensor contact not supported,True
2024-06-19 14:04:52.775394,76,True,[833],[72],False,Sensor contact not supported,True
2024-06-19 14:04:53.772798,75,True,[833],[72],False,Sensor contact not supported,True
2024-06-19 14:04:54.770666,75,True,"[833, 833]","[72, 72]",False,Sensor contact not supported,True
2024-06-19 14:04:55.768106,74,True,[833],[72],False,Sensor contact not supported,True
2024-06-19 14:04:56.765369,74,True,[833],[72],False,Sensor contact not supported,True
2024-06-19 14:04:57.762539,74,True,[833],[72],False,Sensor contact not supported,True
2024-06-19 14:04:58.760540,74,True,[833],[72],False,Sensor contact not supported,True
2024-06-19 14:04:59.757998,73,True,"[833, 833]","[72, 72]",False,Sensor contact not supported,True
2024-06-19 14:05:00.755429,73,True,[833],[72],False,Sensor contact not supported,True
2024-06-19 14:05:01.753268,73,True,[833],[72],False,Sensor contact not supported,True
2024-06-19 14:05:02.750431,73,True,[833],[72],False,Sensor contact not supported,True
2024-06-19 14:05:03.747699,73,True,[833],[72],False,Sensor contact not supported,True
2024-06-19 14:05:04.745321,73,True,"[833, 833]","[72, 72]",False,Sensor contact not supported,True
2024-06-19 14:05:06.740594,73,True,[833],[72],False,Sensor contact not supported,True
2024-06-19 14:05:06.741591,73,True,[833],[72],False,Sensor contact not supported,True
2024-06-19 14:05:07.738160,73,True,[833],[72],False,Sensor contact not supported,True
2024-06-19 14:05:08.735240,73,True,[833],[72],False,Sensor contact not supported,True
2024-06-19 14:05:09.732613,72,True,"[833, 833]","[72, 72]",False,Sensor contact not supported,True
2024-06-19 14:05:11.727363,72,True,[833],[72],False,Sensor contact not supported,True
2024-06-19 14:05:11.728363,72,True,[833],[72],False,Sensor contact not supported,True
2024-06-19 14:05:12.725191,72,True,[833],[72],False,Sensor contact not supported,True
2024-06-19 14:05:13.723133,72,True,[833],[72],False,Sensor contact not supported,True
2024-06-19 14:05:14.720221,72,True,"[833, 833]","[72, 72]",False,Sensor contact not supported,True
2024-06-19 14:05:15.717459,72,True,[833],[72],False,Sensor contact not supported,True
2024-06-19 14:05:16.715474,72,True,[833],[72],False,Sensor contact not supported,True
2024-06-19 14:05:17.713152,72,True,[833],[72],False,Sensor contact not supported,True
2024-06-19 14:05:18.710807,72,True,[833],[72],False,Sensor contact not supported,True
2024-06-19 14:05:19.707748,72,True,"[833, 833]","[72, 72]",False,Sensor contact not supported,True
2024-06-19 14:05:20.704993,72,True,[833],[72],False,Sensor contact not supported,True
2024-06-19 14:05:21.702967,72,True,[833],[72],False,Sensor contact not supported,True
2024-06-19 14:05:22.700444,72,True,[833],[72],False,Sensor contact not supported,True
2024-06-19 14:05:23.698059,72,True,[833],[72],False,Sensor contact not supported,True
2024-06-19 14:05:24.695180,72,True,"[833, 833]","[72, 72]",False,Sensor contact not supported,True
2024-06-19 14:05:25.692445,72,True,[833],[72],False,Sensor contact not supported,True
2024-06-19 14:05:26.690107,72,True,[833],[72],False,Sensor contact not supported,True
2024-06-19 14:05:27.687742,72,True,[833],[72],False,Sensor contact not supported,True
2024-06-19 14:05:28.685529,72,True,[833],[72],False,Sensor contact not supported,True
2024-06-19 14:05:30.680035,72,True,"[833, 833]","[72, 72]",False,Sensor contact not supported,True
2024-06-19 14:05:30.681033,72,True,[833],[72],False,Sensor contact not supported,True
2024-06-19 14:05:31.677925,72,True,[833],[72],False,Sensor contact not supported,True
2024-06-19 14:05:32.674914,72,True,"[806, 782]","[74, 76]",False,Sensor contact not supported,True
2024-06-19 14:05:33.672587,73,True,[758],[79],False,Sensor contact not supported,True
2024-06-19 14:05:34.670117,73,True,[736],[81],False,Sensor contact not supported,True
2024-06-19 14:05:35.667352,75,True,"[715, 696]","[83, 86]",False,Sensor contact not supported,True
2024-06-19 14:05:36.665066,76,True,[678],[88],False,Sensor contact not supported,True
2024-06-19 14:05:37.662766,78,True,"[661, 646]","[90, 92]",False,Sensor contact not supported,True
2024-06-19 14:05:38.660530,81,True,"[631, 618]","[95, 97]",False,Sensor contact not supported,True
2024-06-19 14:05:39.657769,86,True,[605],[99],False,Sensor contact not supported,True
2024-06-19 14:05:40.655211,89,True,"[593, 583]","[101, 102]",False,Sensor contact not supported,True
2024-06-19 14:05:41.653140,93,True,"[573, 563]","[104, 106]",False,Sensor contact not supported,True
2024-06-19 14:05:42.650041,97,True,"[554, 546]","[108, 109]",False,Sensor contact not supported,True
2024-06-19 14:05:43.647911,101,True,"[539, 532]","[111, 112]",False,Sensor contact not supported,True
2024-06-19 14:05:44.645809,106,True,"[525, 519]","[114, 115]",False,Sensor contact not supported,True
2024-06-19 14:05:45.642882,109,True,"[513, 508]","[116, 118]",False,Sensor contact not supported,True
2024-06-19 14:05:47.637749,112,True,"[502, 498]","[119, 120]",False,Sensor contact not supported,True
2024-06-19 14:05:47.638748,115,True,"[494, 490]","[121, 122]",False,Sensor contact not supported,True
2024-06-19 14:05:48.634908,118,True,"[485, 481]","[123, 124]",False,Sensor contact not supported,True
2024-06-19 14:05:50.630385,120,True,"[478, 474]","[125, 126]",False,Sensor contact not supported,True
2024-06-19 14:05:50.631343,122,True,"[471, 468]","[127, 128]",False,Sensor contact not supported,True
2024-06-19 14:05:51.628287,124,True,"[465, 462]","[129, 129]",False,Sensor contact not supported,True
2024-06-19 14:05:52.625112,126,True,"[466, 471, 475]","[128, 127, 126]",False,Sensor contact not supported,True
