ee_status,hr,sensor_contact,rr,timestamp_received,rr_hr,rr_interval,hrv_uint8
False,180,Sensor contact not supported,"[20553, 107]",2024-06-20 14:46:19.491646,"[2, 560]",True,True
False,179,Sensor contact not supported,"[337, 333]",2024-06-20 14:46:20.268485,"[178, 180]",True,True
False,180,Sensor contact not supported,"[333, 333, 333]",2024-06-20 14:46:21.044196,"[180, 180, 180]",True,True
False,180,Sensor contact not supported,"[333, 333]",2024-06-20 14:46:21.820423,"[180, 180]",True,True
False,179,Sensor contact not supported,"[333, 333]",2024-06-20 14:46:22.597519,"[180, 180]",True,True
False,179,Sensor contact not supported,"[333, 333, 333]",2024-06-20 14:46:23.373588,"[180, 180, 180]",True,True
False,180,Sensor contact not supported,"[333, 333]",2024-06-20 14:46:24.149482,"[180, 180]",True,True
False,179,Sensor contact not supported,"[333, 333]",2024-06-20 14:46:24.926090,"[180, 180]",True,True
False,180,Sensor contact not supported,"[333, 333, 333]",2024-06-20 14:46:25.702515,"[180, 180, 180]",True,True
False,179,Sensor contact not supported,"[333, 333]",2024-06-20 14:46:26.478324,"[180, 180]",True,True
False,179,Sensor contact not supported,"[333, 333]",2024-06-20 14:46:27.255016,"[180, 180]",True,True
False,179,Sensor contact not supported,"[332, 334, 332]",2024-06-20 14:46:28.031056,"[180, 179, 180]",True,True
False,180,Sensor contact not supported,"[333, 333]",2024-06-20 14:46:28.807477,"[180, 180]",True,True
False,180,Sensor contact not supported,"[333, 333]",2024-06-20 14:46:29.583480,"[180, 180]",True,True
False,180,Sensor contact not supported,"[333, 333, 333]",2024-06-20 14:46:30.359440,"[180, 180, 180]",True,True
False,179,Sensor contact not supported,"[333, 333]",2024-06-20 14:46:31.135470,"[180, 180]",True,True
False,179,Sensor contact not supported,"[333, 333]",2024-06-20 14:46:31.912197,"[180, 180]",True,True
False,180,Sensor contact not supported,"[333, 333]",2024-06-20 14:46:32.688597,"[180, 180]",True,True
False,180,Sensor contact not supported,"[333, 333, 333]",2024-06-20 14:46:33.464803,"[180, 180, 180]",True,True
False,179,Sensor contact not supported,"[333, 333]",2024-06-20 14:46:34.240732,"[180, 180]",True,True
False,179,Sensor contact not supported,"[333, 333]",2024-06-20 14:46:35.017130,"[180, 180]",True,True
False,180,Sensor contact not supported,"[333, 333, 333]",2024-06-20 14:46:35.793398,"[180, 180, 180]",True,True
False,180,Sensor contact not supported,"[333, 333]",2024-06-20 14:46:36.569767,"[180, 180]",True,True
False,180,Sensor contact not supported,"[333, 333]",2024-06-20 14:46:37.345691,"[180, 180]",True,True
False,179,Sensor contact not supported,"[333, 333, 333]",2024-06-20 14:46:38.122407,"[180, 180, 180]",True,True
False,179,Sensor contact not supported,"[333, 333]",2024-06-20 14:46:38.898076,"[180, 180]",True,True
False,180,Sensor contact not supported,"[333, 333]",2024-06-20 14:46:39.674614,"[180, 180]",True,True
False,180,Sensor contact not supported,"[333, 333, 333]",2024-06-20 14:46:40.450700,"[180, 180, 180]",True,True
False,180,Sensor contact not supported,"[332, 333]",2024-06-20 14:46:41.226795,"[180, 180]",True,True
False,180,Sensor contact not supported,"[333, 333]",2024-06-20 14:46:42.003235,"[180, 180]",True,True
False,180,Sensor contact not supported,"[333, 333, 333]",2024-06-20 14:46:42.779336,"[180, 180, 180]",True,True
