ee_status,hr,timestamp_received,rr_hr,sensor_contact,hrv_uint8,rr,rr_interval
False,180,2024-06-20 14:58:55.586933,"[180, 180, 180]",Sensor contact not supported,True,"[333, 333, 333]",True
False,179,2024-06-20 14:58:56.362541,"[180, 180]",Sensor contact not supported,True,"[333, 333]",True
False,179,2024-06-20 14:58:57.139361,"[180, 180]",Sensor contact not supported,True,"[333, 333]",True
False,180,2024-06-20 14:58:57.915309,"[180, 180, 180]",Sensor contact not supported,True,"[333, 333, 333]",True
False,180,2024-06-20 14:58:58.691725,"[180, 180]",Sensor contact not supported,True,"[333, 333]",True
False,180,2024-06-20 14:58:59.467948,"[180, 180]",Sensor contact not supported,True,"[333, 333]",True
False,179,2024-06-20 14:59:00.243923,"[180, 180, 180]",Sensor contact not supported,True,"[333, 333, 333]",True
False,179,2024-06-20 14:59:01.020271,"[180, 180]",Sensor contact not supported,True,"[333, 333]",True
False,180,2024-06-20 14:59:01.796398,"[180, 180]",Sensor contact not supported,True,"[332, 333]",True
False,180,2024-06-20 14:59:02.573248,"[180, 180, 180]",Sensor contact not supported,True,"[333, 333, 333]",True
False,179,2024-06-20 14:59:03.349410,"[180, 180]",Sensor contact not supported,True,"[333, 333]",True
False,179,2024-06-20 14:59:04.125362,"[180, 180]",Sensor contact not supported,True,"[333, 333]",True
False,180,2024-06-20 14:59:04.902074,"[180, 180]",Sensor contact not supported,True,"[333, 333]",True
False,179,2024-06-20 14:59:05.678005,"[180, 180, 180]",Sensor contact not supported,True,"[333, 333, 333]",True
False,179,2024-06-20 14:59:06.454492,"[180, 180]",Sensor contact not supported,True,"[333, 333]",True
False,180,2024-06-20 14:59:07.230499,"[180, 180]",Sensor contact not supported,True,"[333, 333]",True
False,180,2024-06-20 14:59:08.006673,"[180, 180, 180]",Sensor contact not supported,True,"[333, 333, 333]",True
False,180,2024-06-20 14:59:08.782802,"[180, 180]",Sensor contact not supported,True,"[333, 332]",True
False,180,2024-06-20 14:59:09.558810,"[179, 180]",Sensor contact not supported,True,"[334, 333]",True
False,180,2024-06-20 14:59:10.335330,"[180, 180, 180]",Sensor contact not supported,True,"[333, 333, 333]",True
False,179,2024-06-20 14:59:11.111388,"[180, 180]",Sensor contact not supported,True,"[333, 333]",True
False,180,2024-06-20 14:59:11.888336,"[180, 180]",Sensor contact not supported,True,"[333, 333]",True
False,180,2024-06-20 14:59:12.664310,"[180, 180, 180]",Sensor contact not supported,True,"[333, 333, 333]",True
False,180,2024-06-20 14:59:13.440650,"[180, 180]",Sensor contact not supported,True,"[332, 333]",True
False,180,2024-06-20 14:59:14.216610,"[180, 180]",Sensor contact not supported,True,"[333, 333]",True
False,179,2024-06-20 14:59:14.993074,"[180, 180]",Sensor contact not supported,True,"[333, 333]",True
False,179,2024-06-20 14:59:15.769655,"[135, 120]",Sensor contact not supported,True,"[444, 500]",True
False,179,2024-06-20 14:59:16.545340,[120],Sensor contact not supported,True,[500],True
False,179,2024-06-20 14:59:17.322153,"[120, 120]",Sensor contact not supported,True,"[500, 500]",True
False,179,2024-06-20 14:59:18.098250,"[120, 120]",Sensor contact not supported,True,"[500, 500]",True
False,179,2024-06-20 14:59:18.874605,[120],Sensor contact not supported,True,[500],True
False,179,2024-06-20 14:59:19.650281,"[120, 120]",Sensor contact not supported,True,"[500, 500]",True
False,179,2024-06-20 14:59:20.427002,[120],Sensor contact not supported,True,[500],True
False,179,2024-06-20 14:59:21.203231,"[120, 120]",Sensor contact not supported,True,"[500, 500]",True
False,179,2024-06-20 14:59:21.979548,[120],Sensor contact not supported,True,[500],True
False,177,2024-06-20 14:59:22.755670,"[120, 120]",Sensor contact not supported,True,"[500, 500]",True
False,164,2024-06-20 14:59:23.531606,[120],Sensor contact not supported,True,[500],True
False,158,2024-06-20 14:59:24.308013,"[120, 120]",Sensor contact not supported,True,"[500, 500]",True
False,149,2024-06-20 14:59:25.084252,"[120, 120]",Sensor contact not supported,True,"[500, 500]",True
False,146,2024-06-20 14:59:25.860494,[120],Sensor contact not supported,True,[500],True
False,140,2024-06-20 14:59:26.637065,"[120, 120]",Sensor contact not supported,True,"[500, 500]",True
False,137,2024-06-20 14:59:27.412702,[120],Sensor contact not supported,True,[500],True
False,133,2024-06-20 14:59:28.188756,"[120, 120]",Sensor contact not supported,True,"[500, 500]",True
False,132,2024-06-20 14:59:28.965020,[120],Sensor contact not supported,True,[500],True
False,129,2024-06-20 14:59:29.482566,"[120, 120]",Sensor contact not supported,True,"[500, 500]",True
False,128,2024-06-20 14:59:30.258730,[120],Sensor contact not supported,True,[500],True
False,126,2024-06-20 14:59:31.035196,"[120, 120]",Sensor contact not supported,True,"[500, 500]",True
False,124,2024-06-20 14:59:31.811225,[120],Sensor contact not supported,True,[500],True
False,124,2024-06-20 14:59:32.587459,"[120, 120]",Sensor contact not supported,True,"[500, 500]",True
False,123,2024-06-20 14:59:33.364359,"[120, 120]",Sensor contact not supported,True,"[500, 500]",True
False,123,2024-06-20 14:59:34.140842,[120],Sensor contact not supported,True,[500],True
False,122,2024-06-20 14:59:34.916792,"[120, 120]",Sensor contact not supported,True,"[500, 499]",True
False,122,2024-06-20 14:59:35.693232,[120],Sensor contact not supported,True,[500],True
False,121,2024-06-20 14:59:36.469300,"[120, 120]",Sensor contact not supported,True,"[500, 500]",True
False,121,2024-06-20 14:59:37.245829,[120],Sensor contact not supported,True,[500],True
False,121,2024-06-20 14:59:38.021983,"[120, 120]",Sensor contact not supported,True,"[500, 500]",True
False,121,2024-06-20 14:59:38.797487,[120],Sensor contact not supported,True,[500],True
False,120,2024-06-20 14:59:39.574359,"[120, 120]",Sensor contact not supported,True,"[500, 499]",True
False,120,2024-06-20 14:59:40.351054,[120],Sensor contact not supported,True,[500],True
False,120,2024-06-20 14:59:41.126843,"[120, 120]",Sensor contact not supported,True,"[499, 500]",True
False,120,2024-06-20 14:59:41.902580,"[120, 120]",Sensor contact not supported,True,"[500, 500]",True
False,120,2024-06-20 14:59:42.678587,[120],Sensor contact not supported,True,[500],True
False,120,2024-06-20 14:59:43.455318,"[120, 120]",Sensor contact not supported,True,"[500, 500]",True
False,120,2024-06-20 14:59:44.231193,[120],Sensor contact not supported,True,[500],True
False,120,2024-06-20 14:59:45.008341,"[120, 120]",Sensor contact not supported,True,"[499, 500]",True
False,120,2024-06-20 14:59:45.784087,[120],Sensor contact not supported,True,[500],True
False,120,2024-06-20 14:59:46.560707,"[120, 120]",Sensor contact not supported,True,"[500, 500]",True
False,120,2024-06-20 14:59:47.336483,[120],Sensor contact not supported,True,[500],True
False,120,2024-06-20 14:59:48.113012,"[120, 120]",Sensor contact not supported,True,"[499, 500]",True
False,120,2024-06-20 14:59:48.889111,[120],Sensor contact not supported,True,[500],True
False,120,2024-06-20 14:59:49.665383,"[120, 120]",Sensor contact not supported,True,"[500, 500]",True
False,120,2024-06-20 14:59:50.441190,"[120, 120]",Sensor contact not supported,True,"[500, 500]",True
False,120,2024-06-20 14:59:51.217525,[120],Sensor contact not supported,True,[500],True
False,120,2024-06-20 14:59:51.994006,"[120, 120]",Sensor contact not supported,True,"[500, 500]",True
False,120,2024-06-20 14:59:52.770180,[120],Sensor contact not supported,True,[500],True
False,120,2024-06-20 14:59:53.546980,"[120, 120]",Sensor contact not supported,True,"[500, 500]",True
