ee_status,timestamp_received,rr,sensor_contact,hrv_uint8,rr_hr,rr_interval,hr
False,2024-06-17 17:25:21.711595,,Sensor contact not supported,True,,False,0
False,2024-06-17 17:25:22.704010,,Sensor contact not supported,True,,False,0
False,2024-06-17 17:25:23.705892,[1000],Sensor contact not supported,True,[60],True,0
False,2024-06-17 17:25:24.698879,[1000],Sensor contact not supported,True,[60],True,0
False,2024-06-17 17:25:25.694588,,Sensor contact not supported,True,,False,0
False,2024-06-17 17:25:26.699457,,Sensor contact not supported,True,,False,0
False,2024-06-17 17:25:27.696728,,Sensor contact not supported,True,,False,0
False,2024-06-17 17:25:28.689797,[24000],Sensor contact not supported,True,[2],True,60
False,2024-06-17 17:25:29.691757,[864],Sensor contact not supported,True,[69],True,60
False,2024-06-17 17:25:30.687803,[4150],Sensor contact not supported,True,[14],True,60
False,2024-06-17 17:25:31.682235,[999],Sensor contact not supported,True,[60],True,60
False,2024-06-17 17:25:32.684445,[996],Sensor contact not supported,True,[60],True,60
False,2024-06-17 17:25:33.678322,[1000],Sensor contact not supported,True,[60],True,60
False,2024-06-17 17:25:34.673570,[998],Sensor contact not supported,True,[60],True,60
False,2024-06-17 17:25:35.671983,[1000],Sensor contact not supported,True,[60],True,60
False,2024-06-17 17:25:36.669776,[998],Sensor contact not supported,True,[60],True,60
False,2024-06-17 17:25:37.669774,[1000],Sensor contact not supported,True,[60],True,60
False,2024-06-17 17:25:38.668091,[996],Sensor contact not supported,True,[60],True,60
False,2024-06-17 17:25:39.660619,[999],Sensor contact not supported,True,[60],True,60
False,2024-06-17 17:25:40.661201,[999],Sensor contact not supported,True,[60],True,60
False,2024-06-17 17:25:41.656257,[999],Sensor contact not supported,True,[60],True,60
False,2024-06-17 17:25:42.659111,[999],Sensor contact not supported,True,[60],True,60
False,2024-06-17 17:25:43.656647,[1000],Sensor contact not supported,True,[60],True,60
False,2024-06-17 17:25:44.648306,[999],Sensor contact not supported,True,[60],True,60
False,2024-06-17 17:25:45.646629,[1000],Sensor contact not supported,True,[60],True,60
False,2024-06-17 17:25:46.649117,[1000],Sensor contact not supported,True,[60],True,60
False,2024-06-17 17:25:47.642392,[1000],Sensor contact not supported,True,[60],True,60
False,2024-06-17 17:25:48.644560,[1000],Sensor contact not supported,True,[60],True,60
False,2024-06-17 17:25:49.634356,[999],Sensor contact not supported,True,[60],True,60
False,2024-06-17 17:25:50.638169,[1000],Sensor contact not supported,True,[60],True,60
False,2024-06-17 17:25:51.629821,[999],Sensor contact not supported,True,[60],True,60
False,2024-06-17 17:25:52.628617,[1000],Sensor contact not supported,True,[60],True,60
