timestamp_received,rr_hr,hrv_uint8,hr,sensor_contact,ee_status,rr_interval,rr
2024-08-12 12:12:13.465775,,True,120,Contact detected,False,False,
2024-08-12 12:12:14.455130,,True,120,Contact detected,False,False,
2024-08-12 12:12:15.445483,,True,120,Contact detected,False,False,
2024-08-12 12:12:16.465813,,True,120,Contact detected,False,False,
2024-08-12 12:12:17.455208,,True,120,Contact detected,False,False,
2024-08-12 12:12:18.445564,,True,120,Contact detected,False,False,
2024-08-12 12:12:19.465795,"[122, 122]",True,120,Contact detected,False,True,"[488, 488]"
2024-08-12 12:12:20.455190,"[122, 123]",True,120,Contact detected,False,True,"[488, 485]"
2024-08-12 12:12:21.445545,"[122, 122]",True,120,Contact detected,False,True,"[488, 488]"
2024-08-12 12:12:22.465775,"[122, 122]",True,120,Contact detected,False,True,"[488, 488]"
2024-08-12 12:12:23.455163,"[122, 122]",True,120,Contact detected,False,True,"[488, 488]"
2024-08-12 12:12:24.445525,"[122, 121]",True,120,Contact detected,False,True,"[488, 492]"
2024-08-12 12:12:25.495675,"[124, 122]",True,120,Contact detected,False,True,"[481, 488]"
2024-08-12 12:12:26.455151,"[122, 122]",True,120,Contact detected,False,True,"[488, 488]"
2024-08-12 12:12:27.445507,"[122, 122]",True,120,Contact detected,False,True,"[488, 488]"
2024-08-12 12:12:28.495656,"[122, 122]",True,120,Contact detected,False,True,"[488, 488]"
2024-08-12 12:12:29.455133,"[123, 122]",True,120,Contact detected,False,True,"[485, 488]"
2024-08-12 12:12:30.445485,"[122, 122]",True,120,Contact detected,False,True,"[488, 488]"
2024-08-12 12:12:31.465877,"[122, 122]",True,120,Contact detected,False,True,"[488, 488]"
2024-08-12 12:12:32.455545,"[122, 122]",True,120,Contact detected,False,True,"[488, 488]"
2024-08-12 12:12:33.445898,"[122, 123]",True,120,Contact detected,False,True,"[488, 485]"
2024-08-12 12:12:34.495095,"[122, 122]",True,120,Contact detected,False,True,"[488, 488]"
2024-08-12 12:12:35.455526,"[122, 122]",True,120,Contact detected,False,True,"[488, 488]"
2024-08-12 12:12:36.445879,"[122, 122]",True,120,Contact detected,False,True,"[488, 488]"
2024-08-12 12:12:37.465155,"[122, 121]",True,120,Contact detected,False,True,"[488, 492]"
2024-08-12 12:12:38.455507,"[124, 122]",True,120,Contact detected,False,True,"[481, 488]"
2024-08-12 12:12:39.445860,"[122, 122]",True,120,Contact detected,False,True,"[488, 488]"
2024-08-12 12:12:40.465135,"[122, 122]",True,120,Contact detected,False,True,"[488, 488]"
2024-08-12 12:12:41.455488,"[122, 121]",True,120,Contact detected,False,True,"[488, 492]"
2024-08-12 12:12:42.445841,"[124, 122]",True,120,Contact detected,False,True,"[481, 488]"
2024-08-12 12:12:43.465116,"[122, 122]",True,120,Contact detected,False,True,"[488, 488]"
2024-08-12 12:12:44.455469,"[122, 122]",True,120,Contact detected,False,True,"[488, 488]"
2024-08-12 12:12:45.445822,"[122, 122]",True,120,Contact detected,False,True,"[488, 488]"
2024-08-12 12:12:46.465097,"[123, 122]",True,120,Contact detected,False,True,"[485, 488]"
2024-08-12 12:12:47.455451,"[122, 122]",True,120,Contact detected,False,True,"[488, 488]"
2024-08-12 12:12:48.445803,"[122, 122]",True,120,Contact detected,False,True,"[488, 488]"
2024-08-12 12:12:49.465078,"[122, 122]",True,120,Contact detected,False,True,"[488, 488]"
2024-08-12 12:12:50.455430,"[121, 124]",True,120,Contact detected,False,True,"[492, 481]"
2024-08-12 12:12:51.445783,"[122, 122]",True,120,Contact detected,False,True,"[488, 488]"
2024-08-12 12:12:52.465164,"[122, 122]",True,120,Contact detected,False,True,"[488, 488]"
