timestamp_received,rr_hr,hrv_uint8,hr,sensor_contact,ee_status,rr_interval,rr
2024-08-12 12:23:36.693016,,True,120,Contact detected,False,False,
2024-08-12 12:23:37.412094,,True,120,Contact detected,False,False,
2024-08-12 12:23:38.401449,,True,120,Contact detected,False,False,
2024-08-12 12:23:39.421869,,True,120,Contact detected,False,False,
2024-08-12 12:23:40.411293,,True,120,Contact detected,False,False,
2024-08-12 12:23:41.401577,,True,120,Contact detected,False,False,
2024-08-12 12:23:42.421850,[122],True,120,Contact detected,False,True,[488]
2024-08-12 12:23:43.412079,"[122, 123]",True,120,Contact detected,False,True,"[488, 485]"
2024-08-12 12:23:44.431355,"[122, 122]",True,120,Contact detected,False,True,"[488, 488]"
2024-08-12 12:23:45.421707,"[122, 122]",True,120,Contact detected,False,True,"[488, 488]"
2024-08-12 12:23:46.412059,"[122, 122]",True,120,Contact detected,False,True,"[488, 488]"
2024-08-12 12:23:47.431335,"[122, 121]",True,120,Contact detected,False,True,"[488, 492]"
2024-08-12 12:23:48.421687,"[122, 124]",True,120,Contact detected,False,True,"[488, 481]"
2024-08-12 12:23:49.412041,"[122, 122]",True,120,Contact detected,False,True,"[488, 488]"
2024-08-12 12:23:50.401396,"[122, 122]",True,120,Contact detected,False,True,"[488, 488]"
2024-08-12 12:23:51.421738,"[122, 122]",True,120,Contact detected,False,True,"[488, 488]"
2024-08-12 12:23:52.411363,"[121, 124]",True,120,Contact detected,False,True,"[492, 481]"
2024-08-12 12:23:53.401716,"[122, 122]",True,120,Contact detected,False,True,"[488, 488]"
2024-08-12 12:23:54.421989,"[122, 122]",True,120,Contact detected,False,True,"[488, 488]"
2024-08-12 12:23:55.411344,"[122, 122]",True,120,Contact detected,False,True,"[488, 488]"
2024-08-12 12:23:56.401697,"[122, 123]",True,120,Contact detected,False,True,"[488, 485]"
2024-08-12 12:23:57.421970,"[122, 122]",True,120,Contact detected,False,True,"[488, 488]"
2024-08-12 12:23:58.411325,"[122, 122]",True,120,Contact detected,False,True,"[488, 488]"
2024-08-12 12:23:59.401678,"[122, 122]",True,120,Contact detected,False,True,"[488, 488]"
2024-08-12 12:24:00.421951,"[122, 121]",True,120,Contact detected,False,True,"[488, 492]"
