,time,amplitude
212,-0.00036027,-0.4343
213,-0.000360268,-0.4343
214,-0.000360266,-0.4343
215,-0.000360264,-0.4343
216,-0.000360262,-0.4343
217,-0.00036026,-0.4141
218,-0.000360258,-0.4141
219,-0.000360256,-0.4141
220,-0.000360254,-0.4141
221,-0.000360252,-0.4141
222,-0.00036025,-0.4343
223,-0.000360248,-0.4141
224,-0.000360246,-0.4343
225,-0.000360244,-0.4343
226,-0.000360242,-0.4343
227,-0.00036024,-0.4343
228,-0.000360238,-0.4343
229,-0.000360236,-0.4343
230,-0.000360234,-0.4343
231,-0.000360232,-0.4343
232,-0.00036023,-0.4343
233,-0.000360228,-0.4141
234,-0.000360226,-0.4343
235,-0.000360224,-0.4343
236,-0.000360222,-0.4343
237,-0.00036022,-0.4343
238,-0.000360218,-0.4343
239,-0.000360216,-0.4343
240,-0.000360214,-0.4141
241,-0.000360212,-0.4343
242,-0.00036021,-0.4343
243,-0.000360208,-0.4343
244,-0.000360206,-0.4343
245,-0.000360204,-0.4343
246,-0.000360202,-0.4343
247,-0.0003602,-0.4141
248,-0.000360198,-0.4343
249,-0.000360196,-0.4343
250,-0.000360194,-0.4141
251,-0.000360192,-0.4141
252,-0.00036019,-0.4343
253,-0.000360188,-0.4343
254,-0.000360186,-0.4141
255,-0.000360184,-0.4141
256,-0.000360182,-0.4343
257,-0.00036018,-0.4343
258,-0.000360178,-0.4343
259,-0.000360176,-0.4343
260,-0.000360174,-0.4343
261,-0.000360172,-0.4141
262,-0.00036017,-0.4343
263,-0.000360168,-0.4141
264,-0.000360166,-0.4141
265,-0.000360164,-0.4141
266,-0.000360162,-0.4141
267,-0.00036016,-0.4141
268,-0.000360158,-0.4343
269,-0.000360156,-0.4343
270,-0.000360154,-0.4141
271,-0.000360152,-0.4141
272,-0.00036015,-0.4141
273,-0.000360148,-0.4343
274,-0.000360146,-0.4343
275,-0.000360144,-0.4343
276,-0.000360142,-0.4141
277,-0.00036014,-0.4141
278,-0.000360138,-0.4141
279,-0.000360136,-0.4141
280,-0.000360134,-0.4343
281,-0.000360132,-0.4343
282,-0.00036013,-0.4343
283,-0.000360128,-0.4343
284,-0.000360126,-0.4343
285,-0.000360124,-0.4141
286,-0.000360122,-0.4343
287,-0.00036012,-0.4343
288,-0.000360118,-0.4343
289,-0.000360116,-0.4343
290,-0.000360114,-0.4343
291,-0.000360112,-0.4343
292,-0.00036011,-0.4141
293,-0.000360108,-0.4141
294,-0.000360106,-0.4141
295,-0.000360104,-0.4141
296,-0.000360102,-0.4343
297,-0.0003601,-0.4141
298,-0.000360098,-0.4343
299,-0.000360096,-0.4343
300,-0.000360094,-0.4343
301,-0.000360092,-0.4343
302,-0.00036009,-0.4141
303,-0.000360088,-0.4141
304,-0.000360086,-0.4141
305,-0.000360084,-0.4343
306,-0.000360082,-0.4141
307,-0.00036008,-0.4141
308,-0.000360078,-0.4343
309,-0.000360076,-0.4343
310,-0.000360074,-0.4343
311,-0.000360072,-0.4343
312,-0.00036007,-0.4343
313,-0.000360068,-0.4141
314,-0.000360066,-0.4343
315,-0.000360064,-0.4343
316,-0.000360062,-0.4141
317,-0.00036006,-0.4141
318,-0.000360058,-0.4343
319,-0.000360056,-0.4343
320,-0.000360054,-0.4343
321,-0.000360052,-0.4343
322,-0.00036005,-0.4343
323,-0.000360048,-0.4343
324,-0.000360046,-0.4343
325,-0.000360044,-0.4141
326,-0.000360042,-0.4141
327,-0.00036004,-0.4141
328,-0.000360038,-0.4141
329,-0.000360036,-0.4141
330,-0.000360034,-0.4343
331,-0.000360032,-0.4343
332,-0.00036003,-0.4141
333,-0.000360028,-0.4141
334,-0.000360026,-0.4343
335,-0.000360024,-0.4343
336,-0.000360022,-0.4141
337,-0.00036002,-0.4343
338,-0.000360018,-0.4141
339,-0.000360016,-0.4141
340,-0.000360014,-0.4343
341,-0.000360012,-0.4343
342,-0.00036001,-0.4343
343,-0.000360008,-0.4141
344,-0.000360006,-0.4141
345,-0.000360004,-0.4343
346,-0.000360002,-0.4343
347,-0.00036,-0.4343
348,-0.000359998,-0.4343
349,-0.000359996,-0.4343
350,-0.000359994,-0.4343
351,-0.000359992,-0.4141
352,-0.00035999,-0.4141
353,-0.000359988,-0.4141
354,-0.000359986,-0.4343
355,-0.000359984,-0.4141
356,-0.000359982,-0.4141
357,-0.00035998,-0.4343
358,-0.000359978,-0.4343
359,-0.000359976,-0.4141
360,-0.000359974,-0.4141
361,-0.000359972,-0.4343
362,-0.00035997,-0.4343
363,-0.000359968,-0.4141
364,-0.000359966,-0.4343
365,-0.000359964,-0.4141
366,-0.000359962,-0.4343
367,-0.00035996,-0.4343
368,-0.000359958,-0.4343
