ee_status,timestamp_received,rr_hr,hrv_uint8,hr,rr,sensor_contact,rr_interval
False,2024-08-12 15:53:03.650629,,True,119,,Contact detected,False
False,2024-08-12 15:53:04.669904,,True,119,,Contact detected,False
False,2024-08-12 15:53:05.660257,,True,119,,Contact detected,False
False,2024-08-12 15:53:06.650610,,True,119,,Contact detected,False
False,2024-08-12 15:53:07.669885,,True,119,,Contact detected,False
False,2024-08-12 15:53:08.660238,,True,119,,Contact detected,False
False,2024-08-12 15:53:09.650591,,True,119,,Contact detected,False
False,2024-08-12 15:53:10.699786,,True,119,,Contact detected,False
False,2024-08-12 15:53:11.660219,,True,119,,Contact detected,False
False,2024-08-12 15:53:12.650571,[73],True,119,[814],Contact detected,True
False,2024-08-12 15:53:13.669847,[74],True,119,[810],Contact detected,True
False,2024-08-12 15:53:14.660200,[73],True,119,[814],Contact detected,True
False,2024-08-12 15:53:15.650553,[73],True,119,[814],Contact detected,True
False,2024-08-12 15:53:16.669828,"[73, 73]",True,119,"[814, 814]",Contact detected,True
False,2024-08-12 15:53:17.660181,[74],True,111,[810],Contact detected,True
False,2024-08-12 15:53:18.649767,[73],True,104,[814],Contact detected,True
False,2024-08-12 15:53:19.670000,[73],True,96,[814],Contact detected,True
False,2024-08-12 15:53:20.660355,[73],True,88,[814],Contact detected,True
False,2024-08-12 15:53:21.649748,"[74, 73]",True,75,"[810, 814]",Contact detected,True
False,2024-08-12 15:53:22.669981,[73],True,73,[814],Contact detected,True
False,2024-08-12 15:53:23.660335,[73],True,73,[814],Contact detected,True
False,2024-08-12 15:53:24.649729,[73],True,72,[814],Contact detected,True
False,2024-08-12 15:53:25.669962,[74],True,72,[810],Contact detected,True
False,2024-08-12 15:53:26.660316,"[73, 73]",True,72,"[814, 814]",Contact detected,True
False,2024-08-12 15:53:27.680588,[73],True,72,[814],Contact detected,True
False,2024-08-12 15:53:28.669942,[73],True,72,[814],Contact detected,True
False,2024-08-12 15:53:29.660297,[74],True,72,[810],Contact detected,True
False,2024-08-12 15:53:30.650649,"[73, 73]",True,72,"[814, 814]",Contact detected,True
False,2024-08-12 15:53:31.669923,[73],True,72,[814],Contact detected,True
False,2024-08-12 15:53:32.660278,[74],True,72,[810],Contact detected,True
False,2024-08-12 15:53:33.650669,[73],True,72,[814],Contact detected,True
False,2024-08-12 15:53:34.669904,[73],True,72,[814],Contact detected,True
False,2024-08-12 15:53:35.660257,[73],True,72,[814],Contact detected,True
False,2024-08-12 15:53:36.650611,"[73, 74]",True,72,"[814, 810]",Contact detected,True
False,2024-08-12 15:53:37.671880,[73],True,72,[814],Contact detected,True
False,2024-08-12 15:53:38.660238,[73],True,72,[814],Contact detected,True
False,2024-08-12 15:53:39.650592,[73],True,72,[814],Contact detected,True
False,2024-08-12 15:53:40.669866,[74],True,72,[810],Contact detected,True
False,2024-08-12 15:53:41.660259,[73],True,72,[814],Contact detected,True
False,2024-08-12 15:53:42.650573,"[73, 73]",True,72,"[814, 814]",Contact detected,True
False,2024-08-12 15:53:43.639929,[73],True,72,[814],Contact detected,True
False,2024-08-12 15:53:44.660241,[74],True,72,[810],Contact detected,True
False,2024-08-12 15:53:45.650553,[73],True,72,[814],Contact detected,True
False,2024-08-12 15:53:46.640906,"[73, 73]",True,72,"[814, 814]",Contact detected,True
False,2024-08-12 15:53:47.660181,[73],True,72,[814],Contact detected,True
False,2024-08-12 15:53:48.650825,[74],True,72,[810],Contact detected,True
False,2024-08-12 15:53:49.640181,[73],True,72,[814],Contact detected,True
False,2024-08-12 15:53:50.660453,[73],True,72,[814],Contact detected,True
False,2024-08-12 15:53:51.649809,"[73, 74]",True,72,"[814, 810]",Contact detected,True
False,2024-08-12 15:53:52.640163,[73],True,72,[814],Contact detected,True
False,2024-08-12 15:53:53.660436,[73],True,72,[814],Contact detected,True
False,2024-08-12 15:53:54.649790,[73],True,72,[814],Contact detected,True
False,2024-08-12 15:53:55.640142,[73],True,72,[814],Contact detected,True
False,2024-08-12 15:53:56.660415,"[74, 73]",True,72,"[810, 814]",Contact detected,True
False,2024-08-12 15:53:57.649771,[73],True,72,[814],Contact detected,True
False,2024-08-12 15:53:58.670043,[73],True,72,[814],Contact detected,True
False,2024-08-12 15:53:59.660396,[74],True,72,[810],Contact detected,True
False,2024-08-12 15:54:00.679672,[73],True,72,[814],Contact detected,True
False,2024-08-12 15:54:01.670024,"[73, 73]",True,72,"[814, 814]",Contact detected,True
False,2024-08-12 15:54:02.660377,[73],True,72,[814],Contact detected,True
False,2024-08-12 15:54:03.649733,[74],True,72,[810],Contact detected,True
