ee_status,timestamp_received,rr_hr,hrv_uint8,hr,rr,sensor_contact,rr_interval
False,2024-08-12 15:58:34.659628,,True,125,,Contact detected,False
False,2024-08-12 15:58:35.632029,,True,125,,Contact detected,False
False,2024-08-12 15:58:36.651304,,True,125,,Contact detected,False
False,2024-08-12 15:58:37.641657,,True,125,,Contact detected,False
False,2024-08-12 15:58:38.632010,,True,125,,Contact detected,False
False,2024-08-12 15:58:39.651285,,True,125,,Contact detected,False
False,2024-08-12 15:58:40.641639,,True,125,,Contact detected,False
False,2024-08-12 15:58:41.631991,,True,125,,Contact detected,False
False,2024-08-12 15:58:42.651267,,True,125,,Contact detected,False
False,2024-08-12 15:58:43.641618,,True,125,,Contact detected,False
False,2024-08-12 15:58:44.631973,[73],True,124,[814],Contact detected,True
False,2024-08-12 15:58:45.621327,"[73, 74]",True,124,"[814, 810]",Contact detected,True
False,2024-08-12 15:58:46.641602,[73],True,124,[814],Contact detected,True
False,2024-08-12 15:58:47.631953,[73],True,123,[814],Contact detected,True
False,2024-08-12 15:58:48.621308,[73],True,123,[814],Contact detected,True
False,2024-08-12 15:58:49.641581,[73],True,115,[814],Contact detected,True
False,2024-08-12 15:58:50.631934,"[74, 73]",True,100,"[810, 814]",Contact detected,True
False,2024-08-12 15:58:51.621289,[73],True,92,[814],Contact detected,True
False,2024-08-12 15:58:52.641562,[73],True,82,[814],Contact detected,True
False,2024-08-12 15:58:53.631915,[74],True,76,[810],Contact detected,True
False,2024-08-12 15:58:54.621269,[73],True,74,[814],Contact detected,True
False,2024-08-12 15:58:55.641543,"[73, 73]",True,72,"[814, 814]",Contact detected,True
False,2024-08-12 15:58:56.631895,[73],True,72,[814],Contact detected,True
False,2024-08-12 15:58:57.622248,[74],True,72,[810],Contact detected,True
False,2024-08-12 15:58:58.641524,[73],True,72,[814],Contact detected,True
False,2024-08-12 15:58:59.631876,[73],True,72,[814],Contact detected,True
False,2024-08-12 15:59:00.621232,[73],True,72,[814],Contact detected,True
False,2024-08-12 15:59:01.641504,"[73, 74]",True,72,"[814, 810]",Contact detected,True
False,2024-08-12 15:59:02.631857,[73],True,72,[814],Contact detected,True
False,2024-08-12 15:59:03.621212,[73],True,72,[814],Contact detected,True
False,2024-08-12 15:59:04.641486,[73],True,72,[814],Contact detected,True
False,2024-08-12 15:59:05.631838,"[73, 74]",True,72,"[814, 810]",Contact detected,True
False,2024-08-12 15:59:06.621194,[73],True,72,[814],Contact detected,True
False,2024-08-12 15:59:07.671386,[73],True,72,[814],Contact detected,True
False,2024-08-12 15:59:08.631819,[73],True,72,[814],Contact detected,True
False,2024-08-12 15:59:09.652092,[73],True,72,[814],Contact detected,True
False,2024-08-12 15:59:10.641448,"[74, 73]",True,72,"[810, 814]",Contact detected,True
False,2024-08-12 15:59:11.631759,[73],True,72,[814],Contact detected,True
False,2024-08-12 15:59:12.622112,[73],True,72,[814],Contact detected,True
False,2024-08-12 15:59:13.641387,[74],True,72,[810],Contact detected,True
False,2024-08-12 15:59:14.631740,[73],True,72,[814],Contact detected,True
False,2024-08-12 15:59:15.652013,"[73, 73]",True,72,"[814, 814]",Contact detected,True
False,2024-08-12 15:59:16.641368,[73],True,72,[814],Contact detected,True
False,2024-08-12 15:59:17.631721,[74],True,72,[810],Contact detected,True
False,2024-08-12 15:59:18.622074,[73],True,72,[814],Contact detected,True
False,2024-08-12 15:59:19.641348,[73],True,72,[814],Contact detected,True
False,2024-08-12 15:59:20.631702,[73],True,72,[814],Contact detected,True
False,2024-08-12 15:59:21.622055,"[73, 74]",True,72,"[814, 810]",Contact detected,True
False,2024-08-12 15:59:22.641329,[73],True,72,[814],Contact detected,True
False,2024-08-12 15:59:23.631683,[73],True,72,[814],Contact detected,True
False,2024-08-12 15:59:24.622036,[73],True,72,[814],Contact detected,True
False,2024-08-12 15:59:25.642176,[73],True,72,[814],Contact detected,True
False,2024-08-12 15:59:26.631531,"[74, 73]",True,72,"[810, 814]",Contact detected,True
False,2024-08-12 15:59:27.621884,[73],True,72,[814],Contact detected,True
