ee_status,timestamp_received,rr_hr,hrv_uint8,hr,rr,sensor_contact,rr_interval
False,2024-08-12 16:04:04.613414,,True,126,,Contact detected,False
False,2024-08-12 16:04:05.602768,,True,126,,Contact detected,False
False,2024-08-12 16:04:06.623042,,True,126,,Contact detected,False
False,2024-08-12 16:04:07.613393,,True,126,,Contact detected,False
False,2024-08-12 16:04:08.602750,,True,126,,Contact detected,False
False,2024-08-12 16:04:09.623023,,True,126,,Contact detected,False
False,2024-08-12 16:04:10.613439,,True,126,,Contact detected,False
False,2024-08-12 16:04:11.602795,,True,126,,Contact detected,False
False,2024-08-12 16:04:12.623068,[74],True,125,[810],Contact detected,True
False,2024-08-12 16:04:13.613420,[73],True,124,[814],Contact detected,True
False,2024-08-12 16:04:14.602775,[73],True,124,[814],Contact detected,True
False,2024-08-12 16:04:15.623048,"[73, 73]",True,124,"[814, 814]",Contact detected,True
False,2024-08-12 16:04:16.613401,[74],True,123,[810],Contact detected,True
False,2024-08-12 16:04:17.602756,[73],True,115,[814],Contact detected,True
False,2024-08-12 16:04:18.623029,[73],True,108,[814],Contact detected,True
False,2024-08-12 16:04:19.613382,[73],True,100,[814],Contact detected,True
False,2024-08-12 16:04:20.602737,"[73, 74]",True,82,"[814, 810]",Contact detected,True
False,2024-08-12 16:04:21.623010,[73],True,76,[814],Contact detected,True
False,2024-08-12 16:04:22.613363,[73],True,74,[814],Contact detected,True
False,2024-08-12 16:04:23.632641,[73],True,73,[814],Contact detected,True
False,2024-08-12 16:04:24.622991,[73],True,72,[814],Contact detected,True
False,2024-08-12 16:04:25.613344,"[74, 73]",True,72,"[810, 814]",Contact detected,True
False,2024-08-12 16:04:26.602699,[73],True,72,[814],Contact detected,True
False,2024-08-12 16:04:27.622972,[73],True,72,[814],Contact detected,True
False,2024-08-12 16:04:28.613390,[74],True,72,[810],Contact detected,True
False,2024-08-12 16:04:29.632710,[73],True,72,[814],Contact detected,True
False,2024-08-12 16:04:30.623019,"[73, 73]",True,72,"[814, 814]",Contact detected,True
False,2024-08-12 16:04:31.643291,[73],True,72,[814],Contact detected,True
False,2024-08-12 16:04:32.602763,[74],True,72,[810],Contact detected,True
False,2024-08-12 16:04:33.623000,[73],True,72,[814],Contact detected,True
False,2024-08-12 16:04:34.612903,"[73, 73]",True,72,"[814, 814]",Contact detected,True
False,2024-08-12 16:04:35.603256,[73],True,72,[814],Contact detected,True
False,2024-08-12 16:04:36.623528,[74],True,72,[810],Contact detected,True
False,2024-08-12 16:04:37.613886,[73],True,72,[814],Contact detected,True
False,2024-08-12 16:04:38.603236,[73],True,72,[814],Contact detected,True
False,2024-08-12 16:04:39.623511,[73],True,72,[814],Contact detected,True
False,2024-08-12 16:04:40.612865,"[73, 74]",True,72,"[814, 810]",Contact detected,True
False,2024-08-12 16:04:41.603218,[73],True,72,[814],Contact detected,True
False,2024-08-12 16:04:42.623492,[73],True,72,[814],Contact detected,True
False,2024-08-12 16:04:43.612846,[73],True,72,[814],Contact detected,True
False,2024-08-12 16:04:44.603199,[73],True,72,[814],Contact detected,True
False,2024-08-12 16:04:45.623471,[74],True,72,[810],Contact detected,True
False,2024-08-12 16:04:46.612827,"[73, 73]",True,72,"[814, 814]",Contact detected,True
False,2024-08-12 16:04:47.603180,[73],True,72,[814],Contact detected,True
False,2024-08-12 16:04:48.623453,[73],True,72,[814],Contact detected,True
False,2024-08-12 16:04:49.612906,[74],True,72,[810],Contact detected,True
False,2024-08-12 16:04:50.603258,"[73, 73]",True,72,"[814, 814]",Contact detected,True
False,2024-08-12 16:04:51.622598,[73],True,72,[814],Contact detected,True
False,2024-08-12 16:04:52.612888,[74],True,72,[810],Contact detected,True
False,2024-08-12 16:04:53.603239,[73],True,72,[814],Contact detected,True
False,2024-08-12 16:04:54.622555,[73],True,72,[814],Contact detected,True
False,2024-08-12 16:04:55.612868,"[73, 73]",True,72,"[814, 814]",Contact detected,True
False,2024-08-12 16:04:56.603220,[74],True,72,[810],Contact detected,True
False,2024-08-12 16:04:57.622616,[73],True,72,[814],Contact detected,True
False,2024-08-12 16:04:58.612970,[73],True,72,[814],Contact detected,True
False,2024-08-12 16:04:59.633242,"[73, 73]",True,72,"[814, 814]",Contact detected,True
False,2024-08-12 16:05:00.622598,[74],True,72,[810],Contact detected,True
False,2024-08-12 16:05:01.612950,[73],True,72,[814],Contact detected,True
False,2024-08-12 16:05:02.633223,[73],True,72,[814],Contact detected,True
False,2024-08-12 16:05:03.653495,[73],True,72,[814],Contact detected,True
False,2024-08-12 16:05:04.612931,[73],True,72,[814],Contact detected,True
False,2024-08-12 16:05:05.603283,"[74, 73]",True,72,"[810, 814]",Contact detected,True
False,2024-08-12 16:05:06.622559,[73],True,72,[814],Contact detected,True
False,2024-08-12 16:05:07.612914,[76],True,72,[784],Contact detected,True
False,2024-08-12 16:05:08.603264,"[78, 81]",True,73,"[765, 739]",Contact detected,True
False,2024-08-12 16:05:09.622539,[83],True,73,[719],Contact detected,True
False,2024-08-12 16:05:10.612892,[86],True,74,[697],Contact detected,True
False,2024-08-12 16:05:11.603245,"[88, 90]",True,77,"[678, 663]",Contact detected,True
False,2024-08-12 16:05:12.622521,"[92, 95]",True,80,"[647, 628]",Contact detected,True
False,2024-08-12 16:05:13.612873,[97],True,83,[617],Contact detected,True
False,2024-08-12 16:05:14.603226,"[99, 101]",True,87,"[602, 590]",Contact detected,True
False,2024-08-12 16:05:15.622502,"[103, 104]",True,92,"[580, 572]",Contact detected,True
False,2024-08-12 16:05:16.612855,"[107, 108]",True,96,"[556, 552]",Contact detected,True
False,2024-08-12 16:05:17.603208,"[110, 112]",True,100,"[541, 534]",Contact detected,True
False,2024-08-12 16:05:18.622483,"[114, 115]",True,104,"[526, 519]",Contact detected,True
