timestamp_received,rr,rr_interval,hr,ee_status,rr_hr,hrv_uint8,sensor_contact
2024-06-20 09:44:43.348057,[733],True,82,False,[81],True,Sensor contact not supported
2024-06-20 09:44:44.037695,[725],True,82,False,[82],True,Sensor contact not supported
2024-06-20 09:44:44.772958,[733],True,82,False,[81],True,Sensor contact not supported
2024-06-20 09:44:45.507919,[733],True,81,False,[81],True,Sensor contact not supported
2024-06-20 09:44:46.258001,[725],True,82,False,[82],True,Sensor contact not supported
2024-06-20 09:44:46.963527,[717],True,82,False,[83],True,Sensor contact not supported
2024-06-20 09:44:47.653398,[702],True,83,False,[85],True,Sensor contact not supported
2024-06-20 09:44:48.343076,[678],True,84,False,[88],True,Sensor contact not supported
2024-06-20 09:44:49.003276,[647],True,85,False,[92],True,Sensor contact not supported
2024-06-20 09:44:49.677782,[647],True,87,False,[92],True,Sensor contact not supported
2024-06-20 09:44:50.263053,[592],True,88,False,[101],True,Sensor contact not supported
2024-06-20 09:44:50.773215,[553],True,88,False,[108],True,Sensor contact not supported
2024-06-20 09:44:51.328002,[545],True,88,False,[110],True,Sensor contact not supported
2024-06-20 09:44:51.852917,[538],True,88,False,[111],True,Sensor contact not supported
2024-06-20 09:44:52.393001,[530],True,88,False,[113],True,Sensor contact not supported
2024-06-20 09:44:52.918316,[522],True,88,False,[114],True,Sensor contact not supported
2024-06-20 09:44:53.442774,[522],True,88,False,[114],True,Sensor contact not supported
2024-06-20 09:44:53.998021,[514],True,88,False,[116],True,Sensor contact not supported
2024-06-20 09:44:54.508365,[506],True,88,False,[118],True,Sensor contact not supported
2024-06-20 09:44:54.973230,[506],True,88,False,[118],True,Sensor contact not supported
2024-06-20 09:44:55.513435,[500],True,88,False,[120],True,Sensor contact not supported
2024-06-20 09:44:56.007948,[491],True,88,False,[122],True,Sensor contact not supported
2024-06-20 09:44:56.457768,[483],True,88,False,[124],True,Sensor contact not supported
2024-06-20 09:44:56.937617,[491],True,88,False,[122],True,Sensor contact not supported
2024-06-20 09:44:57.418406,[475],True,88,False,[126],True,Sensor contact not supported
2024-06-20 09:44:57.883714,[467],True,92,False,[128],True,Sensor contact not supported
2024-06-20 09:44:58.363639,[475],True,97,False,[126],True,Sensor contact not supported
2024-06-20 09:44:58.827941,[459],True,102,False,[130],True,Sensor contact not supported
2024-06-20 09:44:59.292739,[459],True,107,False,[130],True,Sensor contact not supported
2024-06-20 09:44:59.788120,[459],True,112,False,[130],True,Sensor contact not supported
2024-06-20 09:45:00.238148,[452],True,116,False,[132],True,Sensor contact not supported
2024-06-20 09:45:00.688014,[444],True,119,False,[135],True,Sensor contact not supported
2024-06-20 09:45:01.138476,[452],True,123,False,[132],True,Sensor contact not supported
2024-06-20 09:45:01.588439,[444],True,127,False,[135],True,Sensor contact not supported
2024-06-20 09:45:01.978382,[436],True,130,False,[137],True,Sensor contact not supported
2024-06-20 09:45:02.413129,[420],True,131,False,[142],True,Sensor contact not supported
2024-06-20 09:45:02.833201,[428],True,134,False,[140],True,Sensor contact not supported
2024-06-20 09:45:03.328542,[452],True,133,False,[132],True,Sensor contact not supported
2024-06-20 09:45:03.718308,[428],True,135,False,[140],True,Sensor contact not supported
2024-06-20 09:45:04.138284,[428],True,136,False,[140],True,Sensor contact not supported
2024-06-20 09:45:04.573419,[420],True,138,False,[142],True,Sensor contact not supported
2024-06-20 09:45:04.992932,[420],True,139,False,[142],True,Sensor contact not supported
2024-06-20 09:45:05.413106,[428],True,139,False,[140],True,Sensor contact not supported
2024-06-20 09:45:05.848034,[413],True,141,False,[145],True,Sensor contact not supported
2024-06-20 09:45:06.298293,[413],True,142,False,[145],True,Sensor contact not supported
2024-06-20 09:45:06.672988,[420],True,142,False,[142],True,Sensor contact not supported
2024-06-20 09:45:07.092958,[420],True,142,False,[142],True,Sensor contact not supported
2024-06-20 09:45:07.513419,[405],True,144,False,[148],True,Sensor contact not supported
2024-06-20 09:45:07.962812,[413],True,144,False,[145],True,Sensor contact not supported
2024-06-20 09:45:08.338147,[413],True,144,False,[145],True,Sensor contact not supported
2024-06-20 09:45:08.728292,[405],True,145,False,[148],True,Sensor contact not supported
2024-06-20 09:45:09.177977,[397],True,147,False,[151],True,Sensor contact not supported
2024-06-20 09:45:09.583059,[405],True,147,False,[148],True,Sensor contact not supported
2024-06-20 09:45:09.988291,[405],True,147,False,[148],True,Sensor contact not supported
2024-06-20 09:45:10.393016,[397],True,148,False,[151],True,Sensor contact not supported
2024-06-20 09:45:10.798072,[397],True,149,False,[151],True,Sensor contact not supported
2024-06-20 09:45:11.142783,[397],True,149,False,[151],True,Sensor contact not supported
2024-06-20 09:45:11.548440,[397],True,150,False,[151],True,Sensor contact not supported
2024-06-20 09:45:11.937885,[397],True,150,False,[151],True,Sensor contact not supported
2024-06-20 09:45:12.343271,[397],True,150,False,[151],True,Sensor contact not supported
2024-06-20 09:45:12.747717,[397],True,150,False,[151],True,Sensor contact not supported
2024-06-20 09:45:13.123000,[389],True,151,False,[154],True,Sensor contact not supported
2024-06-20 09:45:13.527697,[397],True,151,False,[151],True,Sensor contact not supported
2024-06-20 09:45:13.918591,[389],True,152,False,[154],True,Sensor contact not supported
2024-06-20 09:45:14.367695,[397],True,151,False,[151],True,Sensor contact not supported
2024-06-20 09:45:14.713016,[389],True,152,False,[154],True,Sensor contact not supported
2024-06-20 09:45:15.102942,[397],True,151,False,[151],True,Sensor contact not supported
2024-06-20 09:45:15.492712,[389],True,152,False,[154],True,Sensor contact not supported
2024-06-20 09:45:15.882953,[389],True,152,False,[154],True,Sensor contact not supported
