timestamp_sent,freq,freq_hr,on
2024-06-20 10:04:25.841507,1.368428783333333,82.10572699999999,1
2024-06-20 10:05:26.098669,1.4861019176259143,89.16611505755486,1
2024-06-20 10:05:26.838385,1.4517954467831733,87.1077268069904,1
2024-06-20 10:05:27.517489,1.5236027490506527,91.41616494303916,1
2024-06-20 10:05:28.211733,1.6259866944536894,97.55920166722136,1
2024-06-20 10:05:28.887237,1.7706514825718607,106.23908895431164,1
2024-06-20 10:05:29.521106,1.8285174777791933,109.7110486667516,1
2024-06-20 10:05:30.094235,1.8497972651446075,110.98783590867644,1
2024-06-20 10:05:30.636062,1.878911304852466,112.73467829114796,1
2024-06-20 10:05:31.177492,1.897354299428015,113.8412579656809,1
2024-06-20 10:05:31.715888,1.9084745676265313,114.50847405759188,1
2024-06-20 10:05:32.259188,1.9248407899966167,115.490447399797,1
2024-06-20 10:05:32.784633,1.954384543193,117.26307259158,1
2024-06-20 10:05:33.323551,1.9807199495444878,118.84319697266928,1
2024-06-20 10:05:33.847337,1.9938073995635504,119.62844397381302,1
2024-06-20 10:05:34.357015,2.0303020945486714,121.81812567292029,1
2024-06-20 10:05:34.864675,2.0448517183689505,122.69110310213703,1
2024-06-20 10:05:35.372947,2.0518929306500078,123.11357583900046,1
2024-06-20 10:05:35.855172,2.090376397974727,125.42258387848362,1
2024-06-20 10:05:36.349829,2.1138944580320094,126.83366748192056,1
2024-06-20 10:05:36.842772,2.118261088576542,127.09566531459252,1
2024-06-20 10:05:37.320033,2.145191960930611,128.71151765583667,1
2024-06-20 10:05:37.799990,2.176224345392365,130.5734607235419,1
2024-06-20 10:05:38.264219,2.176185507042865,130.57113042257188,1
2024-06-20 10:05:38.726415,2.2076857420695615,132.46114452417368,1
2024-06-20 10:05:39.202192,2.2223798119292124,133.34278871575273,1
2024-06-20 10:05:39.644756,2.2320121479093857,133.92072887456314,1
2024-06-20 10:05:40.108157,2.2224374155045425,133.34624493027255,1
2024-06-20 10:05:40.544062,2.2855748318749884,137.1344899124993,1
2024-06-20 10:05:40.999379,2.3480605844782385,140.8836350686943,1
2024-06-20 10:05:41.429665,2.3377373531884023,140.26424119130414,1
2024-06-20 10:05:41.849397,2.1978521517700096,131.87112910620058,1
2024-06-20 10:05:42.284202,2.3303057074746243,139.81834244847747,1
2024-06-20 10:05:42.744653,2.335622844985217,140.13737069911303,1
2024-06-20 10:05:43.178722,2.3491670932186968,140.9500255931218,1
2024-06-20 10:05:43.610737,2.368981361278444,142.13888167670663,1
2024-06-20 10:05:44.025001,2.3541639935691694,141.24983961415018,1
2024-06-20 10:05:44.445107,2.4066123530438444,144.39674118263065,1
2024-06-20 10:05:44.893087,2.4016501344986403,144.09900806991843,1
2024-06-20 10:05:45.307720,2.374935284858948,142.49611709153686,1
2024-06-20 10:05:45.734647,2.3974547068363994,143.84728241018396,1
2024-06-20 10:05:46.169171,2.428777564237835,145.7266538542701,1
2024-06-20 10:05:46.600691,2.425819617447978,145.54917704687867,1
2024-06-20 10:05:47.033276,2.431129502425463,145.86777014552777,1
2024-06-20 10:05:47.451946,2.4841347534887106,149.04808520932264,1
2024-06-20 10:05:47.869199,2.4820224467525374,148.92134680515224,1
2024-06-20 10:05:48.271456,2.4762314355115693,148.57388613069415,1
2024-06-20 10:05:48.688313,2.44323525849458,146.5941155096748,1
2024-06-20 10:05:49.106820,2.529707717715143,151.7824630629086,1
2024-06-20 10:05:49.526913,2.5033222677145273,150.19933606287162,1
2024-06-20 10:05:49.929963,2.499316680010861,149.95900080065164,1
2024-06-20 10:05:50.345649,2.5037835201116887,150.22701120670132,1
2024-06-20 10:05:50.747999,2.5288363910464335,151.73018346278602,1
2024-06-20 10:05:51.149077,2.4955878413047357,149.73527047828415,1
2024-06-20 10:05:51.548948,2.5475031248769584,152.8501874926175,1
2024-06-20 10:05:51.954312,2.5321338884419182,151.9280333065151,1
2024-06-20 10:05:52.342473,2.534086167835661,152.04517007013968,1
2024-06-20 10:05:52.746826,2.5342094801099666,152.052568806598,1
2024-06-20 10:05:53.146739,2.5407224413550296,152.44334648130177,1
2024-06-20 10:05:53.548295,2.5398032701135222,152.38819620681133,1
2024-06-20 10:05:53.936472,2.541391991503109,152.48351949018652,1
2024-06-20 10:05:54.323008,2.5538811777549397,153.2328706652964,1
2024-06-20 10:05:54.725857,2.5532990830800006,153.19794498480005,1
2024-06-20 10:05:55.129762,2.552083864463477,153.12503186780862,1
2024-06-20 10:05:55.531580,2.5455326945317296,152.73196167190378,1
2024-06-20 10:05:55.917198,2.561268494344496,153.67610966066977,1
2024-06-20 10:05:56.313393,2.562938193657258,153.77629161943548,1
