time,hr,freq,duration
0.0,72.0,1.2,0.0
833.3333333333334,74.39500636553501,1.2399167727589169,833.3333333333334
1639.839077888202,76.83165734133325,1.2805276223555542,806.5057445548686
2420.7671754488633,79.29063942685843,1.3215106571143072,780.9280975606614
3177.4769262303153,81.7534244708072,1.3625570745134534,756.7097507814519
3911.3911370218766,84.20291872731542,1.4033819787885904,733.9142107915613
4623.955510167959,86.62392447170194,1.4437320745283657,712.5643731460823
5316.604802680683,89.00341048775529,1.4833901747959215,692.6492925127241
5990.736273274773,91.33061063909135,1.5221768439848558,674.1314705940904
6647.690163981804,93.59698338672527,1.5599497231120878,656.953890707031
7288.736465144003,95.79607013999893,1.5966011689999822,641.0463011621987
7915.066959832506,97.92328888797016,1.6320548147995027,626.3304946885028
8527.791477987155,99.9756942228423,1.6662615703807049,612.7245181546496
9127.937348104968,101.95172787692245,1.6991954646153742,600.1458701178126
9716.451159979082,103.85097684260538,1.7308496140434229,588.5138118741143
10294.202104882903,105.67394995731969,1.7612324992886614,577.7509449038207
10861.986313046156,107.4218789087857,1.7903646484797617,567.7842081632534
11420.531747267683,109.09654599560541,1.8182757665934235,558.5454342215271
11970.503329341573,110.70013851607037,1.8450023086011729,549.9715820738893
12512.508071199143,112.23512812677242,1.8705854687795405,542.0047418575705
13047.100056804831,113.70417267580106,1.8950695445966843,534.591985605688
13574.785176779056,115.11003766401274,1.9185006277335457,527.685119974225
14096.025558744095,116.45553445424126,1.9409255742373543,521.240381965039
14611.24366564803,117.74347250665038,1.962391208444173,515.2181069039343
15120.826054570787,118.97662317974195,1.9829437196623658,509.5823889227577
15625.126802032379,120.15769294116679,2.002628215686113,504.3007474615915
16124.470610417398,121.2893041426984,2.021488402378307,499.34380838501966
16619.155615200747,122.3739818073543,2.039566363455905,494.68500478334863
17109.455915263337,123.41414514209677,2.0569024190349463,490.3003000625904
17595.623849505537,124.41210272207917,2.073535045367986,486.1679342421994
18077.89204276992,125.37005049151017,2.0895008415251697,482.2681932643827
18556.475243181594,126.29007189377687,2.1048345315629478,478.5832004116746
19031.571971691388,127.17413958261163,2.119568993043527,475.09672850979405
19503.366003063813,128.02411828039223,2.1337353046732037,471.7940313724248
19972.027695922272,128.84176844273793,2.1473628073789657,468.661692858459
20437.715187837337,129.628750463786,2.1604791743964333,465.68749191506504
20900.575469876097,128.41216947532703,2.140202824588784,462.8602820387605
21367.820904986733,127.19187747297545,2.119864624549591,467.2454351106353
21839.549141035048,125.9696813156706,2.09949468859451,471.728236048315
22315.8542278888,124.74740239761947,2.079123373293658,476.3050868537539
22796.826166757364,123.52686238480568,2.058781039746761,480.9719388685626
23282.550476770928,122.30986896026437,2.0384978160044063,485.7243100135638
23773.10778428871,121.09820184345591,2.0183033640575987,490.55730751778174
24268.573440150078,119.89359933958184,1.9982266556596973,495.46565586136785
24769.017169677776,118.69774565676343,1.9782957609460572,500.44372952769845
25274.502759720075,117.5122592035941,1.958537653393235,505.485590042299
25785.087786394168,116.33868204798593,1.9389780341330989,510.58502667409266
26300.823386486765,115.17847068203555,1.919641178033926,515.7356000925975
26821.75407470225,114.03298819856238,1.900549803309373,520.9306882154851
27347.917608148586,112.9034979447945,1.8817249657465749,526.1635334463354
27879.344898641728,111.79115867909307,1.8631859779848845,531.4272904931422
28416.059972614934,110.69702121914547,1.8449503536524245,536.715073973206
28958.079977662936,109.62202653601183,1.827033775600197,542.0200050480016
29505.415234052212,108.56700521877542,1.8094500869795904,547.3352563892768
30058.069328904447,107.53267821000493,1.7922113035000822,552.6540948522343
30616.039250222908,106.51965869314967,1.7753276448858277,557.9699213184613
31179.315557489736,108.23227893958563,1.8038713156597603,563.2763072668276
31733.678826819872,109.87264146336665,1.8312106910561108,554.363269330137
32279.76563424413,111.4430832440209,1.8573847207336815,546.0868074242571
32818.157055707416,112.94617601026157,1.8824362668376928,538.391421463286
33349.38354003344,114.38463782889279,1.9064106304815465,531.2264843260273
33873.92950301278,115.76126293345706,1.9293543822242845,524.5459629793404
34392.23760089946,117.0788669705583,1.9513144495093049,518.3080978866783
34904.71266623374,118.34024505852491,1.9723374176420818,512.475065334278
35411.72530568135,119.54814034105239,1.9924690056842065,507.0126394476101
35913.61517054106,120.70522102938612,2.0117536838231023,501.88986485970963
36410.693917328594,121.81406423089602,2.030234403848267,497.0787467875343
36903.24787962207,122.87714514298423,2.047952419049737,492.5539622934739
37391.540474068184,123.89683044124622,2.0649471740207703,488.2925944461167
37875.81436377396,124.87537490722501,2.0812562484537502,484.27388970577886
38356.29340173142,125.81492052478008,2.096915342079668,480.47903795745515
38833.18437578868,126.7174974276274,2.1119582904604566,476.8909740572635
39306.678575232356,127.58502620740867,2.126417103456811,473.494199443674
39776.95319744751,128.4193211953518,2.14032201992253,470.2746222151545
40244.17261148512,129.22209441471364,2.1537015735785605,467.21941403760866
40708.48949376255,129.9949599689711,2.166582666149518,464.31688227743143
41170.04584959605,130.73943868499566,2.178990644749928,461.55635583349795
41628.973932839275,131.4569628736553,2.1909493812275884,458.92808324322687
42085.39707459151,132.14888110451392,2.202481351741899,456.42314175223146
42539.430430746426,132.81646291826016,2.213607715304336,454.0333561549196
42991.181657075394,133.4609034216317,2.2243483903605283,451.7512263289682
43440.751519572485,134.08332772606173,2.2347221287676953,449.56986249709007
43888.23444692481,134.6847952040217,2.244746586733695,447.48292735232826
44333.71903120258,135.2663035468252,2.2544383924470868,445.48458427776495
44777.28848217992,135.8287926151172,2.2638132102519535,443.5694509773457
45219.02104009211,136.3731480788888,2.272885801314813,441.7325579121898
45658.990351098204,136.90020484803284,2.2816700808005472,439.9693110060907
46097.26580924382,137.41075029749896,2.290179171624983,438.27545814561745
46533.91286829923,137.90552729327203,2.2984254548878673,436.64705905540904
46968.99332647697,138.38523702688516,2.3064206171147528,435.0804581777411
47402.565586705445,138.8505416671396,2.3141756944523264,433.57226022847317
47834.68489484495,139.30206683826947,2.321701113971158,432.1193081395031
48265.4035579762,139.7404039340508,2.3290067322341796,430.71866313125065
48694.77114466442,140.1661122773924,2.336101871289873,429.3675866882186
49122.83466890099,140.57972113481813,2.3429953522469686,428.0635242365752
49549.63875924671,140.9817315950034,2.34969552658339,426.80409034571494
49975.22581454236,141.37261832019897,2.3562103053366497,425.58705529565486
50399.63614741251,141.75283117899068,2.3625471863165113,424.4103328701458
50822.90811666325,142.12279676842508,2.3687132794737513,423.2719692507453
51245.078249564336,141.04646200727373,2.3507743667878955,422.170132901083
51670.469990315025,139.9510286062244,2.3325171434370735,425.39174075068877
52099.19138377345,138.83744598850967,2.313957433141828,428.7213934584215
52531.351451057926,137.70677430694835,2.295112905115806,432.16006728447974
52967.059863385264,136.56018227704055,2.2760030379506757,435.708412327338
53406.426588001064,135.39894353825875,2.256649058970979,439.3667246158002
53849.56150790571,134.22443150594108,2.2370738584323515,443.13491990464536
54296.57401767629,133.0381127115819,2.217301878526365,447.01250977058226
54747.57259828662,131.84153866777638,2.1973589777962728,450.99858061032864
55202.66437441639,130.63633633423672,2.177272272237279,455.0917761297678
55661.95465829643,129.42419730154535,2.1570699550257557,459.2902838800437
56125.54648463943,128.2068658479112,2.1367810974651866,463.5918263429994
56593.540141634185,126.98612605936758,2.116435434322793,467.9936569947531
57066.03270331726,125.76378823389733,2.096063137231622,472.4925616830733
57543.11756886227,124.54167481338705,2.0756945802231175,477.08486554500996
58024.88401443082,123.32160610289571,2.0553601017149288,481.7664455685517
58511.416763201036,122.10538604366037,2.0350897673943398,486.53274877021613
59002.79557902613,120.8947883041918,2.014913138403197,491.37881582509726
59499.094888877524,119.69154294285447,1.9948590490475744,496.2993098513907
60000.38343880161,118.49732387606531,1.9749553979344219,501.2885499240874
60506.7239875785,117.3137373596941,1.9552289559949017,506.3405487768905
61018.173041631184,116.14231165876728,1.935705194312788,511.4490540526822
61534.78063401563,117.44362362175977,1.9573937270293296,516.6075923844473
62045.6640532231,118.68949712729028,1.978158285454838,510.8834192074719
62551.18477285049,119.88265599607061,1.9980442666011768,505.5207196273841
63051.67418477982,121.0257438877988,2.0170957314633133,500.48941192933125
63547.43647528576,122.12130979058941,2.03535516317649,495.76229050593975
64038.7512188214,123.17179851829349,2.0528633086382246,491.3147435356441
64525.875712591696,124.17954510967617,2.0696590851612693,487.12449377029407
65009.04707504924,125.14677223033593,2.0857795371722654,483.1713624575423
65488.48413068155,126.0755898530325,2.101259830883875,479.43705563231197
65964.38910221444,126.96799663764877,2.116133277294146,475.90497153288743
66436.94912985063,127.82588255186646,2.130431375864441,472.5600276361947
66906.33763554435,128.65103237141756,2.144183872856959,469.38850569371425
67372.715548679,129.44512977793448,2.1574188296322414,466.3779131346528
67836.23240792996,130.20976183607766,2.170162697267961,463.5168592509581
68297.0273525942,130.94642368250794,2.1824403947084656,460.7949446642451
68755.23001527612,131.65652329972644,2.1942753883287742,458.20266268191335
69210.9613265413,132.34138627980002,2.2056897713300003,455.73131126519
69664.33424099111,133.00226050816164,2.216704341802694,453.37291444980656
70115.45439316565,133.64032071736747,2.2273386786227913,451.1201521745388
70564.42069074654,134.25667287601001,2.2376112146001668,448.96629758088966
71011.32585169456,134.85235838981978,2.2475393064969964,446.90516094802297
71456.25689121378,135.42835810105868,2.2571393016843113,444.9310395192151
71899.29556377324,135.98559607919623,2.266426601319937,443.03867255945806
72340.51876483239,136.52494320103057,2.2754157200171763,441.22320105915423
72779.99889639817,137.04722052223792,2.2841203420372986,439.48013156578236
73217.80420008373,137.55320244510622,2.2925533740851036,437.8053036855563
73653.99906093362,138.04361968916203,2.300726994819367,436.1948608498933
74088.64428492228,138.51916207272245,2.308652701212041,434.64522398865665
74521.79735271589,138.98048111424185,2.316341351904031,433.1530677936098
74953.51265200802,139.42819246279205,2.3238032077132007,431.71529929213284
75383.84169049148,139.8628781672076,2.33104796945346,430.3290384834545
75812.83329130974,140.28508879341047,2.338084813223508,428.99160081826267
76240.53377263715,140.69534539926426,2.344922423321071,427.70048132741067
76666.98711286481,141.09414137603477,2.351569022933913,426.45334022765746
77092.23510271644,141.48194416518385,2.358032402753064,425.24798985163216
77516.31748548288,141.85919685882953,2.364319947647159,424.0823827664426
77939.27208644336,142.22631969177874,2.3704386615296458,422.9546009604819
78361.13493243436,142.5837114325999,2.376395190543332,421.862845990996
78781.94036243162,142.93175068076107,2.382195844679351,420.8054299972573
79201.7211299254,143.27079707642122,2.3878466179403537,419.7807674937794
79620.5084977935,143.6011924290372,2.39335320715062,418.78736786810623
80038.33232630837,143.92326177053735,2.398721029508956,417.8238285148691
80455.22115485411,144.23731433841988,2.4039552389736647,416.88882854573603
80871.20227787491,144.54364449376192,2.4090607415626986,415.9811230207997
81286.30181552764,144.8425325787703,2.4140422096461713,415.09953765272803
81700.5447794676,143.8198441360547,2.3969974022675786,414.2429639399634
82117.73338344939,142.7760987500623,2.3796016458343714,417.18860398179095
