time,hr,freq_hz,duration
0,165.74585600000003,2.762430933333334,0.0
362,164.8120945823409,2.7468682430390152,362.0
726,168.05824840893064,2.800970806815511,364.0
1083,164.4082275008208,2.74013712501368,357.0
1447,164.64447745345646,2.7440746242242744,364.0
1811,166.2020033780113,2.770033389633522,364.0
2172,165.2923754493054,2.75487292415509,361.0
2534,168.09353993778365,2.8015589989630607,362.0
2890,167.1135791190763,2.7852263186512713,356.0
3249,165.29373507323916,2.754895584553986,359.0
3611,164.82117935702243,2.747019655950374,362.0
3975,166.66378112333956,2.7777296853889926,364.0
4335,163.51191814257567,2.7251986357095945,360.0
4701,164.82199661216,2.7470332768693333,366.0
5065,164.8271508818879,2.747119181364798,364.0
5429,165.753604023404,2.762560067056733,364.0
5790,163.0521549744722,2.717535916241203,361.0
6157,166.17265316752483,2.769544219458747,367.0
6518,166.69101850525956,2.778183641754326,361.0
6877,161.31645646820758,2.6886076078034598,359.0
7248,165.25158143408163,2.7541930239013603,371.0
7611,162.3204699379602,2.70534116563267,363.0
7980,161.57074388225246,2.6928457313708742,369.0
8351,164.89551050166503,2.7482585083610838,371.0
8714,158.4941092369762,2.6415684872829366,363.0
9092,161.24342877035346,2.687390479505891,378.0
9464,157.01846644394266,2.6169744407323776,372.0
9846,156.15476992622257,2.602579498770376,382.0
10230,157.99364524526604,2.633227420754434,384.0
10609,162.23316206955627,2.7038860344926046,379.0
10978,155.89829111424828,2.598304851904138,369.0
11362,157.05362639680172,2.617560439946695,384.0
11744,161.184899342858,2.686414989047633,382.0
12116,160.36499523567343,2.672749920594557,372.0
12490,156.17714761158572,2.6029524601930953,374.0
12874,151.99002524654833,2.533167087442472,384.0
13268,151.26971308622083,2.5211618847703474,394.0
13664,154.31504676426792,2.571917446071132,396.0
14052,155.82288365053708,2.5970480608422846,388.0
14437,154.55887481949915,2.5759812469916525,385.0
14825,151.78566027381206,2.529761004563534,388.0
15220,151.37308850120533,2.5228848083534223,395.0
15616,152.29689891790545,2.5382816486317576,396.0
16009,150.6586854555354,2.51097809092559,393.0
16407,145.81831838327395,2.430305306387899,398.0
16818,138.3581548987752,2.30596924831292,411.0
17251,128.8163141261074,2.1469385687684563,433.0
17716,117.8793574470645,1.9646559574510751,465.0
18224,106.68114882374256,1.778019147062376,508.0
18786,97.286236530145,1.6214372755024167,562.0
19402,93.35940895317215,1.5559901492195358,616.0
20044,99.67138786188684,1.661189797698114,642.0
20645,118.33520826156894,1.972253471026149,601.0
