time,hr,freq_hz,duration
0,82.10572699999999,1.368428783333333,0.0
730,89.16611505755486,1.4861019176259143,730.0
1402,87.1077268069904,1.4517954467831733,672.0
2090,91.41616494303916,1.5236027490506527,688.0
2746,97.55920166722137,1.6259866944536896,656.0
3361,106.23908895431165,1.770651482571861,615.0
3925,109.7110486667516,1.8285174777791933,564.0
4471,110.98783590867644,1.8497972651446075,546.0
5011,112.73467829114797,1.8789113048524662,540.0
5543,113.8412579656809,1.897354299428015,532.0
6070,114.50847405759188,1.9084745676265313,527.0
6593,115.490447399797,1.9248407899966167,523.0
7112,117.26307259158,1.954384543193,519.0
7623,118.84319697266929,1.9807199495444883,511.0
8127,119.62844397381302,1.9938073995635504,504.0
8628,121.81812567292029,2.0303020945486714,501.0
9120,122.69110310213703,2.0448517183689505,492.0
9609,123.11357583900046,2.0518929306500078,489.0
10096,125.42258387848362,2.090376397974727,487.0
10574,126.83366748192056,2.1138944580320094,478.0
11047,127.09566531459252,2.118261088576542,473.0
11519,128.71151765583667,2.145191960930611,472.0
11985,130.5734607235419,2.176224345392365,466.0
12444,130.57113042257188,2.176185507042865,459.0
12903,132.46114452417368,2.2076857420695615,459.0
13355,133.34278871575273,2.2223798119292124,452.0
13804,133.92072887456314,2.2320121479093857,449.0
14252,133.34624493027255,2.2224374155045425,448.0
14701,137.1344899124993,2.2855748318749884,449.0
15138,140.8836350686943,2.3480605844782385,437.0
15563,140.26424119130414,2.3377373531884023,425.0
15990,131.87112910620058,2.1978521517700096,427.0
16444,139.81834244847747,2.3303057074746243,454.0
16873,140.13737069911303,2.335622844985217,429.0
17301,140.9500255931218,2.3491670932186968,428.0
17726,142.13888167670663,2.368981361278444,425.0
18148,141.24983961415018,2.3541639935691694,422.0
18572,144.39674118263065,2.4066123530438444,424.0
18987,144.09900806991843,2.4016501344986403,415.0
19403,142.49611709153686,2.374935284858948,416.0
19824,143.84728241018396,2.3974547068363994,421.0
20241,145.7266538542701,2.428777564237835,417.0
20652,145.54917704687867,2.425819617447978,411.0
21064,145.86777014552777,2.431129502425463,412.0
21475,149.04808520932264,2.4841347534887106,411.0
21877,148.92134680515224,2.4820224467525374,402.0
22279,148.57388613069415,2.4762314355115693,402.0
22682,146.5941155096748,2.44323525849458,403.0
23091,151.7824630629086,2.529707717715143,409.0
23486,150.19933606287162,2.5033222677145273,395.0
23885,149.95900080065164,2.499316680010861,399.0
24285,150.22701120670132,2.5037835201116887,400.0
24684,151.73018346278602,2.5288363910464335,399.0
25079,149.73527047828415,2.4955878413047357,395.0
25479,152.8501874926175,2.5475031248769584,400.0
25871,151.9280333065151,2.5321338884419182,392.0
26265,152.04517007013968,2.534086167835661,394.0
26659,152.052568806598,2.5342094801099666,394.0
27053,152.44334648130175,2.540722441355029,394.0
27446,152.38819620681133,2.5398032701135222,393.0
27839,152.48351949018652,2.541391991503109,393.0
28232,153.2328706652964,2.5538811777549397,393.0
28623,153.19794498480005,2.5532990830800006,391.0
29014,153.12503186780862,2.552083864463477,391.0
29405,152.73196167190378,2.5455326945317296,391.0
29797,153.67610966066977,2.561268494344496,392.0
30187,153.77629161943548,2.562938193657258,390.0
30577,155.0242298661981,2.583737164436635,390.0
30964,153.74318962711777,2.5623864937852963,387.0
31354,153.63895985991113,2.5606493309985185,390.0
31744,153.73347631634,2.562224605272333,390.0
32134,154.67600464801015,2.5779334108001692,390.0
32521,154.16278642081727,2.569379773680288,387.0
