rr,hrv_uint8,ee_status,sensor_contact,hr,rr_hr,rr_interval,timestamp_received
,True,False,Sensor contact not supported,0,,False,2024-06-19 12:10:38.274284
,True,False,Sensor contact not supported,0,,False,2024-06-19 12:10:39.267442
[775],True,False,Sensor contact not supported,0,[77],True,2024-06-19 12:10:40.269095
[772],True,False,Sensor contact not supported,0,[77],True,2024-06-19 12:10:41.265495
"[54569, 738]",True,False,Sensor contact not supported,76,"[1, 81]",True,2024-06-19 12:10:42.259485
[731],True,False,Sensor contact not supported,76,[82],True,2024-06-19 12:10:44.259690
[731],True,False,Sensor contact not supported,77,[82],True,2024-06-19 12:10:44.259690
"[728, 730]",True,False,Sensor contact not supported,79,"[82, 82]",True,2024-06-19 12:10:45.256296
[730],True,False,Sensor contact not supported,80,[82],True,2024-06-19 12:10:46.248845
"[729, 729]",True,False,Sensor contact not supported,80,"[82, 82]",True,2024-06-19 12:10:47.246394
[730],True,False,Sensor contact not supported,80,[82],True,2024-06-19 12:10:48.248268
[729],True,False,Sensor contact not supported,80,[82],True,2024-06-19 12:10:49.245182
"[730, 729]",True,False,Sensor contact not supported,81,"[82, 82]",True,2024-06-19 12:10:50.237247
[730],True,False,Sensor contact not supported,81,[82],True,2024-06-19 12:10:51.235998
[730],True,False,Sensor contact not supported,81,[82],True,2024-06-19 12:10:52.234689
"[730, 730]",True,False,Sensor contact not supported,81,"[82, 82]",True,2024-06-19 12:10:53.235333
[730],True,False,Sensor contact not supported,81,[82],True,2024-06-19 12:10:54.227510
[730],True,False,Sensor contact not supported,81,[82],True,2024-06-19 12:10:55.225096
"[730, 730]",True,False,Sensor contact not supported,82,"[82, 82]",True,2024-06-19 12:10:56.221702
[730],True,False,Sensor contact not supported,82,[82],True,2024-06-19 12:10:57.222702
"[730, 730]",True,False,Sensor contact not supported,82,"[82, 82]",True,2024-06-19 12:10:58.220762
[730],True,False,Sensor contact not supported,82,[82],True,2024-06-19 12:10:59.221086
[731],True,False,Sensor contact not supported,82,[82],True,2024-06-19 12:11:00.217287
"[730, 730]",True,False,Sensor contact not supported,82,"[82, 82]",True,2024-06-19 12:11:01.215050
[730],True,False,Sensor contact not supported,82,[82],True,2024-06-19 12:11:02.207847
[730],True,False,Sensor contact not supported,82,[82],True,2024-06-19 12:11:03.210874
"[730, 730]",True,False,Sensor contact not supported,82,"[82, 82]",True,2024-06-19 12:11:04.209228
[730],True,False,Sensor contact not supported,82,[82],True,2024-06-19 12:11:05.206513
[730],True,False,Sensor contact not supported,82,[82],True,2024-06-19 12:11:06.204264
"[730, 730]",True,False,Sensor contact not supported,82,"[82, 82]",True,2024-06-19 12:11:07.200940
[730],True,False,Sensor contact not supported,82,[82],True,2024-06-19 12:11:08.195445
"[730, 730]",True,False,Sensor contact not supported,82,"[82, 82]",True,2024-06-19 12:11:09.190442
[730],True,False,Sensor contact not supported,82,[82],True,2024-06-19 12:11:10.186977
[730],True,False,Sensor contact not supported,82,[82],True,2024-06-19 12:11:11.188940
"[730, 730]",True,False,Sensor contact not supported,82,"[82, 82]",True,2024-06-19 12:11:12.186729
[730],True,False,Sensor contact not supported,82,[82],True,2024-06-19 12:11:13.180827
[730],True,False,Sensor contact not supported,82,[82],True,2024-06-19 12:11:14.182762
"[730, 730]",True,False,Sensor contact not supported,82,"[82, 82]",True,2024-06-19 12:11:15.174243
[730],True,False,Sensor contact not supported,82,[82],True,2024-06-19 12:11:16.172973
"[730, 730]",True,False,Sensor contact not supported,82,"[82, 82]",True,2024-06-19 12:11:17.172805
[730],True,False,Sensor contact not supported,82,[82],True,2024-06-19 12:11:18.166443
[730],True,False,Sensor contact not supported,82,[82],True,2024-06-19 12:11:19.165069
"[730, 730]",True,False,Sensor contact not supported,82,"[82, 82]",True,2024-06-19 12:11:20.168774
[730],True,False,Sensor contact not supported,82,[82],True,2024-06-19 12:11:21.166246
[730],True,False,Sensor contact not supported,82,[82],True,2024-06-19 12:11:22.162286
"[730, 730]",True,False,Sensor contact not supported,82,"[82, 82]",True,2024-06-19 12:11:23.161393
[730],True,False,Sensor contact not supported,82,[82],True,2024-06-19 12:11:24.158749
"[730, 730]",True,False,Sensor contact not supported,82,"[82, 82]",True,2024-06-19 12:11:25.150759
[730],True,False,Sensor contact not supported,82,[82],True,2024-06-19 12:11:26.148138
[730],True,False,Sensor contact not supported,82,[82],True,2024-06-19 12:11:27.146562
"[730, 730]",True,False,Sensor contact not supported,82,"[82, 82]",True,2024-06-19 12:11:28.146115
[730],True,False,Sensor contact not supported,82,[82],True,2024-06-19 12:11:29.140178
[730],True,False,Sensor contact not supported,82,[82],True,2024-06-19 12:11:30.138275
"[730, 730]",True,False,Sensor contact not supported,82,"[82, 82]",True,2024-06-19 12:11:31.141814
[730],True,False,Sensor contact not supported,82,[82],True,2024-06-19 12:11:32.138313
[730],True,False,Sensor contact not supported,82,[82],True,2024-06-19 12:11:33.129040
"[730, 730]",True,False,Sensor contact not supported,82,"[82, 82]",True,2024-06-19 12:11:34.131598
[730],True,False,Sensor contact not supported,82,[82],True,2024-06-19 12:11:35.131744
"[730, 730]",True,False,Sensor contact not supported,82,"[82, 82]",True,2024-06-19 12:11:36.124518
[730],True,False,Sensor contact not supported,82,[82],True,2024-06-19 12:11:37.122735
[730],True,False,Sensor contact not supported,82,[82],True,2024-06-19 12:11:38.122040
"[730, 730]",True,False,Sensor contact not supported,82,"[82, 82]",True,2024-06-19 12:11:39.118872
[730],True,False,Sensor contact not supported,82,[82],True,2024-06-19 12:11:40.113137
"[730, 697]",True,False,Sensor contact not supported,82,"[82, 86]",True,2024-06-19 12:11:41.116597
[680],True,False,Sensor contact not supported,82,[88],True,2024-06-19 12:11:42.111176
"[672, 638]",True,False,Sensor contact not supported,83,"[89, 94]",True,2024-06-19 12:11:43.104598
"[597, 560]",True,False,Sensor contact not supported,86,"[100, 107]",True,2024-06-19 12:11:44.105247
"[545, 540]",True,False,Sensor contact not supported,98,"[110, 111]",True,2024-06-19 12:11:45.106810
"[532, 527]",True,False,Sensor contact not supported,103,"[112, 113]",True,2024-06-19 12:11:46.104085
