rr,hrv_uint8,ee_status,sensor_contact,hr,rr_hr,rr_interval,timestamp_received
,True,False,Sensor contact not supported,0,,False,2024-06-19 11:49:54.913383
[730],True,False,Sensor contact not supported,0,[82],True,2024-06-19 11:49:55.925994
"[730, 28504]",True,False,Sensor contact not supported,82,"[82, 2]",True,2024-06-19 11:49:56.953813
[732],True,False,Sensor contact not supported,82,[81],True,2024-06-19 11:49:58.372792
[734],True,False,Sensor contact not supported,82,[81],True,2024-06-19 11:49:59.371051
"[730, 730]",True,False,Sensor contact not supported,82,"[82, 82]",True,2024-06-19 11:50:00.368723
[730],True,False,Sensor contact not supported,82,[82],True,2024-06-19 11:50:01.365814
[728],True,False,Sensor contact not supported,82,[82],True,2024-06-19 11:50:02.363243
"[729, 730]",True,False,Sensor contact not supported,82,"[82, 82]",True,2024-06-19 11:50:03.361400
[729],True,False,Sensor contact not supported,82,[82],True,2024-06-19 11:50:04.358282
[730],True,False,Sensor contact not supported,82,[82],True,2024-06-19 11:50:05.355901
"[729, 730]",True,False,Sensor contact not supported,82,"[82, 82]",True,2024-06-19 11:50:06.349029
[729],True,False,Sensor contact not supported,82,[82],True,2024-06-19 11:50:07.350550
"[730, 730]",True,False,Sensor contact not supported,82,"[82, 82]",True,2024-06-19 11:50:08.348974
[730],True,False,Sensor contact not supported,82,[82],True,2024-06-19 11:50:09.338138
[730],True,False,Sensor contact not supported,82,[82],True,2024-06-19 11:50:10.337243
"[730, 730]",True,False,Sensor contact not supported,82,"[82, 82]",True,2024-06-19 11:50:11.341466
[730],True,False,Sensor contact not supported,82,[82],True,2024-06-19 11:50:12.331827
[730],True,False,Sensor contact not supported,82,[82],True,2024-06-19 11:50:13.329971
"[730, 730]",True,False,Sensor contact not supported,82,"[82, 82]",True,2024-06-19 11:50:14.333405
[730],True,False,Sensor contact not supported,82,[82],True,2024-06-19 11:50:15.331414
"[731, 730]",True,False,Sensor contact not supported,82,"[82, 82]",True,2024-06-19 11:50:16.329022
[730],True,False,Sensor contact not supported,82,[82],True,2024-06-19 11:50:17.320064
[730],True,False,Sensor contact not supported,82,[82],True,2024-06-19 11:50:18.319761
"[730, 730]",True,False,Sensor contact not supported,82,"[82, 82]",True,2024-06-19 11:50:19.317635
[731],True,False,Sensor contact not supported,82,[82],True,2024-06-19 11:50:20.318323
[730],True,False,Sensor contact not supported,82,[82],True,2024-06-19 11:50:21.311749
"[730, 730]",True,False,Sensor contact not supported,82,"[82, 82]",True,2024-06-19 11:50:22.309634
[730],True,False,Sensor contact not supported,82,[82],True,2024-06-19 11:50:23.310614
"[730, 730]",True,False,Sensor contact not supported,82,"[82, 82]",True,2024-06-19 11:50:24.308558
[730],True,False,Sensor contact not supported,82,[82],True,2024-06-19 11:50:25.302468
[730],True,False,Sensor contact not supported,82,[82],True,2024-06-19 11:50:26.299797
"[730, 730]",True,False,Sensor contact not supported,82,"[82, 82]",True,2024-06-19 11:50:27.293351
[730],True,False,Sensor contact not supported,82,[82],True,2024-06-19 11:50:28.298814
[730],True,False,Sensor contact not supported,82,[82],True,2024-06-19 11:50:29.295029
"[730, 730]",True,False,Sensor contact not supported,82,"[82, 82]",True,2024-06-19 11:50:30.293469
[730],True,False,Sensor contact not supported,82,[82],True,2024-06-19 11:50:31.287717
[730],True,False,Sensor contact not supported,82,[82],True,2024-06-19 11:50:32.288316
"[730, 730]",True,False,Sensor contact not supported,82,"[82, 82]",True,2024-06-19 11:50:33.281863
[730],True,False,Sensor contact not supported,82,[82],True,2024-06-19 11:50:34.283013
"[730, 730]",True,False,Sensor contact not supported,82,"[82, 82]",True,2024-06-19 11:50:35.274220
[730],True,False,Sensor contact not supported,82,[82],True,2024-06-19 11:50:36.278889
[730],True,False,Sensor contact not supported,82,[82],True,2024-06-19 11:50:37.276115
"[730, 730]",True,False,Sensor contact not supported,82,"[82, 82]",True,2024-06-19 11:50:38.272771
[730],True,False,Sensor contact not supported,82,[82],True,2024-06-19 11:50:39.264602
[730],True,False,Sensor contact not supported,82,[82],True,2024-06-19 11:50:40.265681
"[730, 730]",True,False,Sensor contact not supported,82,"[82, 82]",True,2024-06-19 11:50:41.260255
[730],True,False,Sensor contact not supported,82,[82],True,2024-06-19 11:50:42.260872
[730],True,False,Sensor contact not supported,82,[82],True,2024-06-19 11:50:43.257172
"[730, 730]",True,False,Sensor contact not supported,82,"[82, 82]",True,2024-06-19 11:50:44.255289
[730],True,False,Sensor contact not supported,82,[82],True,2024-06-19 11:50:45.250414
"[730, 730]",True,False,Sensor contact not supported,82,"[82, 82]",True,2024-06-19 11:50:46.250836
[730],True,False,Sensor contact not supported,82,[82],True,2024-06-19 11:50:47.250724
[730],True,False,Sensor contact not supported,82,[82],True,2024-06-19 11:50:48.244681
"[730, 730]",True,False,Sensor contact not supported,82,"[82, 82]",True,2024-06-19 11:50:49.246483
[730],True,False,Sensor contact not supported,82,[82],True,2024-06-19 11:50:50.243571
[730],True,False,Sensor contact not supported,82,[82],True,2024-06-19 11:50:51.233552
"[730, 730]",True,False,Sensor contact not supported,82,"[82, 82]",True,2024-06-19 11:50:52.234955
