rr,hrv_uint8,ee_status,sensor_contact,hr,rr_hr,rr_interval,timestamp_received
"[491, 488]",True,False,Sensor contact not supported,115,"[122, 122]",True,2024-06-19 12:51:56.071125
"[485, 476]",True,False,Sensor contact not supported,118,"[123, 126]",True,2024-06-19 12:51:57.073915
"[472, 470]",True,False,Sensor contact not supported,121,"[127, 127]",True,2024-06-19 12:51:58.070556
"[464, 459]",True,False,Sensor contact not supported,123,"[129, 130]",True,2024-06-19 12:52:00.065641
"[458, 453]",True,False,Sensor contact not supported,126,"[131, 132]",True,2024-06-19 12:52:00.066679
"[450, 448, 449]",True,False,Sensor contact not supported,129,"[133, 133, 133]",True,2024-06-19 12:52:01.063413
"[437, 425]",True,False,Sensor contact not supported,131,"[137, 141]",True,2024-06-19 12:52:02.061060
"[427, 454]",True,False,Sensor contact not supported,134,"[140, 132]",True,2024-06-19 12:52:03.054287
"[428, 428, 425]",True,False,Sensor contact not supported,136,"[140, 140, 141]",True,2024-06-19 12:52:04.050308
"[422, 424]",True,False,Sensor contact not supported,138,"[142, 141]",True,2024-06-19 12:52:05.048453
"[416, 416]",True,False,Sensor contact not supported,139,"[144, 144]",True,2024-06-19 12:52:06.051580
"[419, 417, 413]",True,False,Sensor contact not supported,141,"[143, 143, 145]",True,2024-06-19 12:52:07.041155
"[412, 412]",True,False,Sensor contact not supported,143,"[145, 145]",True,2024-06-19 12:52:08.040674
"[405, 402, 403]",True,False,Sensor contact not supported,145,"[148, 149, 148]",True,2024-06-19 12:52:09.041498
"[407, 400]",True,False,Sensor contact not supported,146,"[147, 150]",True,2024-06-19 12:52:10.037363
"[397, 399, 399]",True,False,Sensor contact not supported,148,"[151, 150, 150]",True,2024-06-19 12:52:11.039015
"[397, 398]",True,False,Sensor contact not supported,149,"[151, 150]",True,2024-06-19 12:52:12.036098
"[396, 393, 394]",True,False,Sensor contact not supported,150,"[151, 152, 152]",True,2024-06-19 12:52:13.031302
"[394, 394]",True,False,Sensor contact not supported,151,"[152, 152]",True,2024-06-19 12:52:14.030945
"[393, 393, 392]",True,False,Sensor contact not supported,151,"[152, 152, 153]",True,2024-06-19 12:52:15.029605
"[391, 391, 392]",True,False,Sensor contact not supported,152,"[153, 153, 153]",True,2024-06-19 12:52:16.020868
"[392, 390]",True,False,Sensor contact not supported,152,"[153, 153]",True,2024-06-19 12:52:17.023894
"[389, 387, 390]",True,False,Sensor contact not supported,153,"[154, 155, 153]",True,2024-06-19 12:52:18.020306
"[390, 389]",True,False,Sensor contact not supported,154,"[153, 154]",True,2024-06-19 12:52:19.018587
"[387, 389, 387]",True,False,Sensor contact not supported,154,"[155, 154, 155]",True,2024-06-19 12:52:20.016637
"[383, 384]",True,False,Sensor contact not supported,154,"[156, 156]",True,2024-06-19 12:52:21.013687
"[389, 387, 383]",True,False,Sensor contact not supported,155,"[154, 155, 156]",True,2024-06-19 12:52:22.011051
"[381, 382, 383]",True,False,Sensor contact not supported,156,"[157, 157, 156]",True,2024-06-19 12:52:23.009347
"[384, 385]",True,False,Sensor contact not supported,156,"[156, 155]",True,2024-06-19 12:52:25.004817
"[383, 383, 384]",True,False,Sensor contact not supported,156,"[156, 156, 156]",True,2024-06-19 12:52:25.007815
"[385, 384]",True,False,Sensor contact not supported,156,"[155, 156]",True,2024-06-19 12:52:26.002016
"[378, 383, 387]",True,False,Sensor contact not supported,156,"[158, 156, 155]",True,2024-06-19 12:52:26.997938
"[383, 382, 380]",True,False,Sensor contact not supported,156,"[156, 157, 157]",True,2024-06-19 12:52:27.995956
"[382, 383]",True,False,Sensor contact not supported,157,"[157, 156]",True,2024-06-19 12:52:28.993630
"[383, 384, 379]",True,False,Sensor contact not supported,156,"[156, 156, 158]",True,2024-06-19 12:52:29.987705
"[380, 386, 384]",True,False,Sensor contact not supported,157,"[157, 155, 156]",True,2024-06-19 12:52:30.988534
"[381, 381]",True,False,Sensor contact not supported,157,"[157, 157]",True,2024-06-19 12:52:31.979474
"[381, 382, 383]",True,False,Sensor contact not supported,157,"[157, 157, 156]",True,2024-06-19 12:52:32.978199
"[382, 380]",True,False,Sensor contact not supported,157,"[157, 157]",True,2024-06-19 12:52:33.976553
"[378, 382, 385]",True,False,Sensor contact not supported,157,"[158, 157, 155]",True,2024-06-19 12:52:34.977685
"[381, 381, 381]",True,False,Sensor contact not supported,157,"[157, 157, 157]",True,2024-06-19 12:52:35.975910
"[383, 379]",True,False,Sensor contact not supported,157,"[156, 158]",True,2024-06-19 12:52:36.967047
"[381, 384, 382]",True,False,Sensor contact not supported,157,"[157, 156, 157]",True,2024-06-19 12:52:37.970328
"[377, 381, 381]",True,False,Sensor contact not supported,157,"[159, 157, 157]",True,2024-06-19 12:52:39.965615
"[381, 381]",True,False,Sensor contact not supported,157,"[157, 157]",True,2024-06-19 12:52:39.968175
"[388, 379, 380]",True,False,Sensor contact not supported,157,"[154, 158, 157]",True,2024-06-19 12:52:40.963287
"[379, 377]",True,False,Sensor contact not supported,157,"[158, 159]",True,2024-06-19 12:52:41.961069
"[382, 383, 380]",True,False,Sensor contact not supported,157,"[157, 156, 157]",True,2024-06-19 12:52:43.955858
"[381, 381, 385]",True,False,Sensor contact not supported,157,"[157, 157, 155]",True,2024-06-19 12:52:43.958781
"[379, 378]",True,False,Sensor contact not supported,157,"[158, 158]",True,2024-06-19 12:52:44.945619
"[384, 379, 381]",True,False,Sensor contact not supported,157,"[156, 158, 157]",True,2024-06-19 12:52:45.945057
"[383, 381]",True,False,Sensor contact not supported,157,"[156, 157]",True,2024-06-19 12:52:46.947993
"[378, 376, 376]",True,False,Sensor contact not supported,157,"[158, 159, 159]",True,2024-06-19 12:52:47.945932
"[377, 379, 380]",True,False,Sensor contact not supported,158,"[159, 158, 157]",True,2024-06-19 12:52:48.938198
"[380, 380]",True,False,Sensor contact not supported,158,"[157, 157]",True,2024-06-19 12:52:49.940391
"[381, 381, 381]",True,False,Sensor contact not supported,158,"[157, 157, 157]",True,2024-06-19 12:52:50.935336
"[379, 377, 380]",True,False,Sensor contact not supported,158,"[158, 159, 157]",True,2024-06-19 12:52:51.933067
"[381, 383]",True,False,Sensor contact not supported,158,"[157, 156]",True,2024-06-19 12:52:52.927128
"[383, 381, 376]",True,False,Sensor contact not supported,157,"[156, 157, 159]",True,2024-06-19 12:52:53.930702
"[378, 380]",True,False,Sensor contact not supported,158,"[158, 157]",True,2024-06-19 12:52:54.921156
"[380, 381, 380]",True,False,Sensor contact not supported,158,"[157, 157, 157]",True,2024-06-19 12:52:55.921028
"[380, 378, 379]",True,False,Sensor contact not supported,158,"[157, 158, 158]",True,2024-06-19 12:52:56.919237
"[380, 379]",True,False,Sensor contact not supported,158,"[157, 158]",True,2024-06-19 12:52:57.921013
"[378, 378, 378]",True,False,Sensor contact not supported,158,"[158, 158, 158]",True,2024-06-19 12:52:58.918285
"[377, 377, 376]",True,False,Sensor contact not supported,158,"[159, 159, 159]",True,2024-06-19 12:52:59.915379
"[375, 375]",True,False,Sensor contact not supported,159,"[160, 160]",True,2024-06-19 12:53:00.912996
"[376, 377, 375]",True,False,Sensor contact not supported,159,"[159, 159, 160]",True,2024-06-19 12:53:01.911017
"[375, 377, 378]",True,False,Sensor contact not supported,159,"[160, 159, 158]",True,2024-06-19 12:53:03.905384
