rr_interval,hr,hrv_uint8,sensor_contact,ee_status,timestamp_received,rr,rr_hr
False,180,True,Contact detected,False,2024-08-12 13:15:19.215689,,
False,180,True,Contact detected,False,2024-08-12 13:15:20.235962,,
False,180,True,Contact detected,False,2024-08-12 13:15:21.226315,,
False,180,True,Contact detected,False,2024-08-12 13:15:22.216668,,
True,180,True,Contact detected,False,2024-08-12 13:15:23.265863,"[326, 326, 326]","[184, 184, 184]"
True,180,True,Contact detected,False,2024-08-12 13:15:24.226295,"[326, 326, 326, 326]","[184, 184, 184, 184]"
True,180,True,Contact detected,False,2024-08-12 13:15:25.216649,"[326, 326]","[184, 184]"
True,180,True,Contact detected,False,2024-08-12 13:15:26.235924,"[326, 326, 322]","[184, 184, 186]"
True,180,True,Contact detected,False,2024-08-12 13:15:27.226277,"[326, 326, 326, 326]","[184, 184, 184, 184]"
True,180,True,Contact detected,False,2024-08-12 13:15:28.216629,"[326, 326]","[184, 184]"
True,180,True,Contact detected,False,2024-08-12 13:15:29.235905,"[326, 326, 326]","[184, 184, 184]"
True,180,True,Contact detected,False,2024-08-12 13:15:30.226258,"[326, 326, 326, 326]","[184, 184, 184, 184]"
True,180,True,Contact detected,False,2024-08-12 13:15:31.217608,"[322, 326]","[186, 184]"
True,180,True,Contact detected,False,2024-08-12 13:15:32.295726,"[326, 326, 326, 326]","[184, 184, 184, 184]"
True,180,True,Contact detected,False,2024-08-12 13:15:33.226239,"[326, 326]","[184, 184]"
True,180,True,Contact detected,False,2024-08-12 13:15:34.216591,"[326, 326, 326]","[184, 184, 184]"
True,180,True,Contact detected,False,2024-08-12 13:15:35.235867,"[326, 326, 322, 326]","[184, 184, 186, 184]"
True,180,True,Contact detected,False,2024-08-12 13:15:36.226222,"[326, 326]","[184, 184]"
True,180,True,Contact detected,False,2024-08-12 13:15:37.216574,"[326, 326, 326]","[184, 184, 184]"
True,180,True,Contact detected,False,2024-08-12 13:15:38.235848,"[326, 326, 326, 326]","[184, 184, 184, 184]"
True,180,True,Contact detected,False,2024-08-12 13:15:39.226200,"[326, 326]","[184, 184]"
True,180,True,Contact detected,False,2024-08-12 13:15:40.216553,"[322, 326, 326]","[186, 184, 184]"
True,180,True,Contact detected,False,2024-08-12 13:15:41.235829,"[326, 326, 326, 326]","[184, 184, 184, 184]"
True,180,True,Contact detected,False,2024-08-12 13:15:42.226181,"[326, 326]","[184, 184]"
True,180,True,Contact detected,False,2024-08-12 13:15:43.217531,"[326, 326, 326]","[184, 184, 184]"
True,180,True,Contact detected,False,2024-08-12 13:15:44.235811,"[326, 326, 322, 326]","[184, 184, 186, 184]"
True,180,True,Contact detected,False,2024-08-12 13:15:45.226162,"[326, 326]","[184, 184]"
