ee_status,timestamp_received,rr_interval,sensor_contact,rr,hrv_uint8,hr,rr_hr
False,2024-08-12 12:53:16.301512,False,Contact detected,,True,180,
False,2024-08-12 12:53:17.319780,False,Contact detected,,True,180,
False,2024-08-12 12:53:18.310133,False,Contact detected,,True,180,
False,2024-08-12 12:53:19.300487,False,Contact detected,,True,180,
False,2024-08-12 12:53:20.319760,True,Contact detected,"[322, 326, 326]",True,180,"[186, 184, 184]"
False,2024-08-12 12:53:21.310114,True,Contact detected,"[326, 326]",True,180,"[184, 184]"
False,2024-08-12 12:53:22.301467,True,Contact detected,"[326, 326, 326, 326]",True,180,"[184, 184, 184, 184]"
False,2024-08-12 12:53:23.319741,True,Contact detected,"[326, 326]",True,180,"[184, 184]"
False,2024-08-12 12:53:24.310094,True,Contact detected,"[326, 326, 322]",True,180,"[184, 184, 186]"
False,2024-08-12 12:53:25.299449,True,Contact detected,"[326, 326, 326, 326]",True,180,"[184, 184, 184, 184]"
False,2024-08-12 12:53:26.319722,True,Contact detected,"[326, 326]",True,180,"[184, 184]"
False,2024-08-12 12:53:27.310151,True,Contact detected,"[326, 326, 326]",True,180,"[184, 184, 184]"
False,2024-08-12 12:53:28.299545,True,Contact detected,"[326, 326, 326, 322]",True,180,"[184, 184, 184, 186]"
False,2024-08-12 12:53:29.319821,True,Contact detected,"[326, 326]",True,180,"[184, 184]"
False,2024-08-12 12:53:30.310132,True,Contact detected,"[326, 326, 326]",True,180,"[184, 184, 184]"
False,2024-08-12 12:53:31.299526,True,Contact detected,"[326, 326, 326, 326]",True,180,"[184, 184, 184, 184]"
False,2024-08-12 12:53:32.319803,True,Contact detected,"[326, 326]",True,180,"[184, 184]"
False,2024-08-12 12:53:33.310113,True,Contact detected,"[322, 326, 326, 326]",True,180,"[186, 184, 184, 184]"
False,2024-08-12 12:53:34.299508,True,Contact detected,"[326, 326, 326]",True,180,"[184, 184, 184]"
False,2024-08-12 12:53:35.289859,True,Contact detected,"[326, 326]",True,180,"[184, 184]"
False,2024-08-12 12:53:36.310174,True,Contact detected,"[326, 326, 326, 326]",True,180,"[184, 184, 184, 184]"
False,2024-08-12 12:53:37.299487,True,Contact detected,"[322, 326]",True,180,"[186, 184]"
False,2024-08-12 12:53:38.289840,True,Contact detected,"[326, 326, 326]",True,180,"[184, 184, 184]"
False,2024-08-12 12:53:39.310075,True,Contact detected,"[326, 326, 326, 326]",True,180,"[184, 184, 184, 184]"
False,2024-08-12 12:53:40.299469,True,Contact detected,"[326, 326]",True,180,"[184, 184]"
False,2024-08-12 12:53:41.289821,True,Contact detected,"[326, 326, 322]",True,180,"[184, 184, 186]"
False,2024-08-12 12:53:42.310056,True,Contact detected,"[326, 326, 326, 326]",True,180,"[184, 184, 184, 184]"
False,2024-08-12 12:53:43.299451,True,Contact detected,"[326, 326]",True,180,"[184, 184]"
False,2024-08-12 12:53:44.320682,True,Contact detected,"[326, 326, 326, 326]",True,180,"[184, 184, 184, 184]"
False,2024-08-12 12:53:45.310037,True,Contact detected,"[326, 326, 322]",True,180,"[184, 184, 186]"
False,2024-08-12 12:53:46.330308,True,Contact detected,"[326, 326]",True,180,"[184, 184]"
False,2024-08-12 12:53:47.320664,True,Contact detected,"[326, 326, 326, 326]",True,180,"[184, 184, 184, 184]"
False,2024-08-12 12:53:48.339937,True,Contact detected,"[326, 326, 326]",True,180,"[184, 184, 184]"
False,2024-08-12 12:53:49.299413,True,Contact detected,"[326, 326]",True,180,"[184, 184]"
False,2024-08-12 12:53:50.289765,True,Contact detected,"[322, 326, 326, 326]",True,180,"[186, 184, 184, 184]"
False,2024-08-12 12:53:51.309999,True,Contact detected,"[326, 326]",True,180,"[184, 184]"
False,2024-08-12 12:53:52.299408,True,Contact detected,"[326, 326, 326]",True,180,"[184, 184, 184]"
False,2024-08-12 12:53:53.289759,True,Contact detected,"[326, 326, 326, 326]",True,180,"[184, 184, 184, 184]"
False,2024-08-12 12:53:54.309979,True,Contact detected,"[322, 326]",True,180,"[186, 184]"
False,2024-08-12 12:53:55.299335,True,Contact detected,"[326, 326, 326]",True,180,"[184, 184, 184]"
False,2024-08-12 12:53:56.289726,True,Contact detected,"[326, 326, 326, 326]",True,180,"[184, 184, 184, 184]"
False,2024-08-12 12:53:57.309961,True,Contact detected,"[326, 326]",True,180,"[184, 184]"
False,2024-08-12 12:53:58.299379,True,Contact detected,"[326, 326, 322]",True,180,"[184, 184, 186]"
False,2024-08-12 12:53:59.289707,True,Contact detected,"[326, 326, 326, 326]",True,180,"[184, 184, 184, 184]"
False,2024-08-12 12:54:00.309943,True,Contact detected,"[326, 326]",True,180,"[184, 184]"
False,2024-08-12 12:54:01.299365,True,Contact detected,"[326, 326, 326, 326]",True,180,"[184, 184, 184, 184]"
False,2024-08-12 12:54:02.289689,True,Contact detected,"[326, 326]",True,180,"[184, 184]"
False,2024-08-12 12:54:03.309922,True,Contact detected,"[322, 326, 326]",True,180,"[186, 184, 184]"
False,2024-08-12 12:54:04.300276,True,Contact detected,"[326, 326, 326, 326]",True,180,"[184, 184, 184, 184]"
False,2024-08-12 12:54:05.289671,True,Contact detected,"[326, 326]",True,180,"[184, 184]"
False,2024-08-12 12:54:06.309906,True,Contact detected,"[326, 326, 326]",True,180,"[184, 184, 184]"
False,2024-08-12 12:54:07.299302,True,Contact detected,"[326, 322, 326, 326]",True,180,"[184, 186, 184, 184]"
False,2024-08-12 12:54:08.289650,True,Contact detected,"[326, 326]",True,180,"[184, 184]"
False,2024-08-12 12:54:09.309886,True,Contact detected,"[326, 326, 326]",True,180,"[184, 184, 184]"
False,2024-08-12 12:54:10.300238,True,Contact detected,"[326, 326, 326, 326]",True,180,"[184, 184, 184, 184]"
