sensor_contact,rr_hr,hr,timestamp_received,rr,rr_interval,hrv_uint8,ee_status
Sensor contact not supported,[163],163,2024-06-19 15:25:09.672591,[366],True,True,False
Sensor contact not supported,[132],159,2024-06-19 15:25:10.182620,[452],True,True,False
Sensor contact not supported,[183],182,2024-06-19 15:25:10.467030,[327],True,True,False
Sensor contact not supported,[179],181,2024-06-19 15:25:10.812208,[334],True,True,False
Sensor contact not supported,[179],181,2024-06-19 15:25:11.142695,[334],True,True,False
Sensor contact not supported,[183],181,2024-06-19 15:25:11.487246,[327],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:25:11.833775,[334],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:25:12.147389,[334],True,True,False
Sensor contact not supported,[183],181,2024-06-19 15:25:12.492120,[327],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:25:12.822291,[334],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:25:13.167125,[334],True,True,False
Sensor contact not supported,[183],180,2024-06-19 15:25:13.498328,[327],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:25:13.841923,[334],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:25:14.171848,[334],True,True,False
Sensor contact not supported,[183],180,2024-06-19 15:25:14.516932,[327],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:25:14.847102,[334],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:25:15.177329,[334],True,True,False
Sensor contact not supported,[183],180,2024-06-19 15:25:15.537070,[327],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:25:15.897322,[334],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:25:16.197192,[334],True,True,False
Sensor contact not supported,[183],180,2024-06-19 15:25:16.527236,[327],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:25:16.857219,[334],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:25:17.187728,[334],True,True,False
Sensor contact not supported,[183],180,2024-06-19 15:25:17.532673,[327],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:25:17.907350,[334],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:25:18.192751,[334],True,True,False
Sensor contact not supported,[183],180,2024-06-19 15:25:18.522253,[327],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:25:18.866920,[334],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:25:19.197860,[334],True,True,False
Sensor contact not supported,[183],180,2024-06-19 15:25:19.526934,[327],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:25:19.857065,[334],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:25:20.232149,[334],True,True,False
Sensor contact not supported,[183],180,2024-06-19 15:25:20.546884,[327],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:25:20.862129,[334],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:25:21.192068,[334],True,True,False
Sensor contact not supported,[183],180,2024-06-19 15:25:21.522231,[327],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:25:21.867035,[334],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:25:22.197332,[334],True,True,False
Sensor contact not supported,[183],180,2024-06-19 15:25:22.527183,[327],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:25:22.857259,[334],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:25:23.232504,[334],True,True,False
Sensor contact not supported,[183],180,2024-06-19 15:25:23.547178,[327],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:25:23.922378,[334],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:25:24.238529,[334],True,True,False
Sensor contact not supported,[183],180,2024-06-19 15:25:24.521997,[327],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:25:24.867183,[334],True,True,False
Sensor contact not supported,[183],181,2024-06-19 15:25:25.198421,[327],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:25:25.527331,[334],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:25:25.872191,[334],True,True,False
Sensor contact not supported,[179],179,2024-06-19 15:25:26.202514,[334],True,True,False
Sensor contact not supported,[183],180,2024-06-19 15:25:26.532836,[327],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:25:26.862050,[334],True,True,False
Sensor contact not supported,[183],181,2024-06-19 15:25:27.192837,[327],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:25:27.567461,[334],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:25:27.867182,[334],True,True,False
Sensor contact not supported,[183],180,2024-06-19 15:25:28.197693,[327],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:25:28.527359,[334],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:25:28.902292,[334],True,True,False
Sensor contact not supported,[183],180,2024-06-19 15:25:29.202830,[327],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:25:29.577884,[334],True,True,False
