sensor_contact,timestamp_received,rr,hr,rr_hr,hrv_uint8,rr_interval,ee_status
Sensor contact not supported,2024-06-19 10:36:12.122785,,0,,True,False,False
Sensor contact not supported,2024-06-19 10:36:13.119366,"[333, 333, 25000]",180,"[180, 180, 2]",True,True,False
Sensor contact not supported,2024-06-19 10:36:14.121636,"[331, 333, 333]",180,"[181, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:36:15.111808,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:36:16.115634,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:36:17.109101,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:36:18.104641,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:36:19.104588,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:36:20.103552,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:36:21.100389,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:36:22.094434,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:36:24.095877,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:36:24.096875,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:36:25.090399,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:36:26.091583,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:36:27.089670,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:36:28.082229,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:36:29.077457,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:36:30.079710,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:36:31.075854,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:36:32.073638,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:36:33.069196,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:36:34.065259,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:36:35.067929,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:36:36.058660,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:36:37.063687,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:36:38.061367,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:36:39.058719,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:36:40.050063,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:36:41.047383,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:36:42.050935,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:36:44.045844,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:36:44.046841,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:36:45.043213,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:36:46.037014,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:36:47.034988,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:36:48.032319,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:36:50.023984,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:36:50.528321,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:36:51.522743,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:36:52.525320,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:36:53.516485,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:36:54.514087,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
