ee_status,hr,sensor_contact,rr,timestamp_received,rr_hr,rr_interval,hrv_uint8
False,120,Sensor contact not supported,[20715],2024-06-20 14:49:10.786313,[2],True,True
False,120,Sensor contact not supported,"[282, 501]",2024-06-20 14:49:11.561901,"[212, 119]",True,True
False,120,Sensor contact not supported,"[500, 500]",2024-06-20 14:49:12.338542,"[120, 120]",True,True
False,120,Sensor contact not supported,[500],2024-06-20 14:49:13.114286,[120],True,True
False,120,Sensor contact not supported,"[500, 500]",2024-06-20 14:49:13.891160,"[120, 120]",True,True
False,120,Sensor contact not supported,[500],2024-06-20 14:49:14.666687,[120],True,True
False,120,Sensor contact not supported,"[500, 500]",2024-06-20 14:49:15.443794,"[120, 120]",True,True
False,120,Sensor contact not supported,[500],2024-06-20 14:49:16.219570,[120],True,True
False,119,Sensor contact not supported,"[500, 500]",2024-06-20 14:49:16.995750,"[120, 120]",True,True
False,120,Sensor contact not supported,[499],2024-06-20 14:49:17.772418,[120],True,True
False,119,Sensor contact not supported,"[500, 500]",2024-06-20 14:49:18.548064,"[120, 120]",True,True
False,120,Sensor contact not supported,"[500, 500]",2024-06-20 14:49:19.324640,"[120, 120]",True,True
False,120,Sensor contact not supported,[500],2024-06-20 14:49:20.100577,[120],True,True
False,120,Sensor contact not supported,"[500, 499]",2024-06-20 14:49:20.876755,"[120, 120]",True,True
False,120,Sensor contact not supported,[500],2024-06-20 14:49:21.653157,[120],True,True
False,120,Sensor contact not supported,"[500, 500]",2024-06-20 14:49:22.429837,"[120, 120]",True,True
False,120,Sensor contact not supported,[500],2024-06-20 14:49:23.205669,[120],True,True
False,120,Sensor contact not supported,"[500, 500]",2024-06-20 14:49:23.982282,"[120, 120]",True,True
False,120,Sensor contact not supported,[500],2024-06-20 14:49:24.758435,[120],True,True
False,120,Sensor contact not supported,"[500, 500]",2024-06-20 14:49:25.534329,"[120, 120]",True,True
False,120,Sensor contact not supported,[500],2024-06-20 14:49:26.310795,[120],True,True
False,120,Sensor contact not supported,"[500, 500]",2024-06-20 14:49:27.087167,"[120, 120]",True,True
False,120,Sensor contact not supported,"[500, 500]",2024-06-20 14:49:27.863776,"[120, 120]",True,True
False,120,Sensor contact not supported,[500],2024-06-20 14:49:28.639433,[120],True,True
False,120,Sensor contact not supported,"[500, 500]",2024-06-20 14:49:29.415650,"[120, 120]",True,True
False,120,Sensor contact not supported,[500],2024-06-20 14:49:30.191768,[120],True,True
False,120,Sensor contact not supported,"[500, 500]",2024-06-20 14:49:30.968164,"[120, 120]",True,True
False,120,Sensor contact not supported,[500],2024-06-20 14:49:31.744639,[120],True,True
