rr,hrv_uint8,ee_status,sensor_contact,hr,rr_hr,rr_interval,timestamp_received
,True,False,Sensor contact not supported,0,,False,2024-06-19 12:39:14.983676
,True,False,Sensor contact not supported,0,,False,2024-06-19 12:39:15.980469
"[355, 355, 22744]",True,False,Sensor contact not supported,168,"[169, 169, 2]",True,2024-06-19 12:39:16.976418
"[362, 362, 359]",True,False,Sensor contact not supported,168,"[165, 165, 167]",True,2024-06-19 12:39:17.968706
"[360, 361, 362]",True,False,Sensor contact not supported,167,"[166, 166, 165]",True,2024-06-19 12:39:18.968305
"[362, 362, 362]",True,False,Sensor contact not supported,167,"[165, 165, 165]",True,2024-06-19 12:39:19.967317
"[362, 362]",True,False,Sensor contact not supported,166,"[165, 165]",True,2024-06-19 12:39:20.963516
"[362, 362, 362]",True,False,Sensor contact not supported,166,"[165, 165, 165]",True,2024-06-19 12:39:21.965932
"[362, 362, 362]",True,False,Sensor contact not supported,166,"[165, 165, 165]",True,2024-06-19 12:39:22.961510
"[362, 362, 362]",True,False,Sensor contact not supported,166,"[165, 165, 165]",True,2024-06-19 12:39:23.957114
"[362, 362]",True,False,Sensor contact not supported,166,"[165, 165]",True,2024-06-19 12:39:24.952727
"[362, 362, 362]",True,False,Sensor contact not supported,166,"[165, 165, 165]",True,2024-06-19 12:39:25.948702
"[362, 362, 362]",True,False,Sensor contact not supported,166,"[165, 165, 165]",True,2024-06-19 12:39:26.951143
"[362, 362, 362]",True,False,Sensor contact not supported,166,"[165, 165, 165]",True,2024-06-19 12:39:27.947317
"[362, 362]",True,False,Sensor contact not supported,166,"[165, 165]",True,2024-06-19 12:39:28.948449
"[362, 362, 362]",True,False,Sensor contact not supported,166,"[165, 165, 165]",True,2024-06-19 12:39:29.940693
"[362, 362, 362]",True,False,Sensor contact not supported,166,"[165, 165, 165]",True,2024-06-19 12:39:30.943140
"[362, 362, 362]",True,False,Sensor contact not supported,166,"[165, 165, 165]",True,2024-06-19 12:39:32.937592
"[362, 362]",True,False,Sensor contact not supported,166,"[165, 165]",True,2024-06-19 12:39:32.938633
"[362, 362, 362]",True,False,Sensor contact not supported,166,"[165, 165, 165]",True,2024-06-19 12:39:33.934936
"[362, 362, 362]",True,False,Sensor contact not supported,166,"[165, 165, 165]",True,2024-06-19 12:39:34.929475
"[362, 362, 362]",True,False,Sensor contact not supported,166,"[165, 165, 165]",True,2024-06-19 12:39:35.928942
"[362, 362]",True,False,Sensor contact not supported,166,"[165, 165]",True,2024-06-19 12:39:36.925783
"[362, 362, 362]",True,False,Sensor contact not supported,166,"[165, 165, 165]",True,2024-06-19 12:39:37.925691
"[362, 362, 362]",True,False,Sensor contact not supported,166,"[165, 165, 165]",True,2024-06-19 12:39:38.920100
"[362, 362, 362]",True,False,Sensor contact not supported,166,"[165, 165, 165]",True,2024-06-19 12:39:39.920635
"[362, 362, 362]",True,False,Sensor contact not supported,166,"[165, 165, 165]",True,2024-06-19 12:39:40.910786
"[362, 362]",True,False,Sensor contact not supported,166,"[165, 165]",True,2024-06-19 12:39:41.913063
