rr,hrv_uint8,ee_status,sensor_contact,hr,rr_hr,rr_interval,timestamp_received
"[362, 362, 362]",True,False,Sensor contact not supported,166,"[165, 165, 165]",True,2024-06-19 12:19:10.988130
"[362, 362, 362]",True,False,Sensor contact not supported,166,"[165, 165, 165]",True,2024-06-19 12:19:11.984801
"[362, 362]",True,False,Sensor contact not supported,166,"[165, 165]",True,2024-06-19 12:19:12.977818
"[362, 362, 362]",True,False,Sensor contact not supported,166,"[165, 165, 165]",True,2024-06-19 12:19:13.982941
"[362, 362, 363]",True,False,Sensor contact not supported,166,"[165, 165, 165]",True,2024-06-19 12:19:14.975677
"[360, 360, 365]",True,False,Sensor contact not supported,166,"[166, 166, 164]",True,2024-06-19 12:19:15.969709
"[363, 361]",True,False,Sensor contact not supported,166,"[165, 166]",True,2024-06-19 12:19:16.971171
"[361, 357, 360]",True,False,Sensor contact not supported,166,"[166, 168, 166]",True,2024-06-19 12:19:17.967937
"[363, 363, 361]",True,False,Sensor contact not supported,166,"[165, 165, 166]",True,2024-06-19 12:19:18.969641
"[366, 364, 364]",True,False,Sensor contact not supported,165,"[163, 164, 164]",True,2024-06-19 12:19:19.972757
"[363, 367]",True,False,Sensor contact not supported,165,"[165, 163]",True,2024-06-19 12:19:20.962899
"[361, 361, 371]",True,False,Sensor contact not supported,165,"[166, 166, 161]",True,2024-06-19 12:19:21.961988
"[363, 370, 371]",True,False,Sensor contact not supported,164,"[165, 162, 161]",True,2024-06-19 12:19:22.959570
"[364, 377]",True,False,Sensor contact not supported,164,"[164, 159]",True,2024-06-19 12:19:23.952644
"[372, 382, 383]",True,False,Sensor contact not supported,162,"[161, 157, 156]",True,2024-06-19 12:19:24.954547
"[379, 370, 383]",True,False,Sensor contact not supported,160,"[158, 162, 156]",True,2024-06-19 12:19:25.946217
"[381, 373]",True,False,Sensor contact not supported,159,"[157, 160]",True,2024-06-19 12:19:27.946992
"[374, 382, 393]",True,False,Sensor contact not supported,159,"[160, 157, 152]",True,2024-06-19 12:19:27.946992
"[396, 390]",True,False,Sensor contact not supported,157,"[151, 153]",True,2024-06-19 12:19:28.938961
"[385, 387, 393]",True,False,Sensor contact not supported,156,"[155, 155, 152]",True,2024-06-19 12:19:29.941966
"[396, 394]",True,False,Sensor contact not supported,155,"[151, 152]",True,2024-06-19 12:19:30.934465
"[396, 407]",True,False,Sensor contact not supported,154,"[151, 147]",True,2024-06-19 12:19:31.937621
"[426, 457]",True,False,Sensor contact not supported,151,"[140, 131]",True,2024-06-19 12:19:32.931294
"[500, 555]",True,False,Sensor contact not supported,142,"[120, 108]",True,2024-06-19 12:19:33.931944
"[614, 639]",True,False,Sensor contact not supported,138,"[97, 93]",True,2024-06-19 12:19:34.925530
"[601, 509]",True,False,Sensor contact not supported,137,"[99, 117]",True,2024-06-19 12:19:35.926949
"[451, 436]",True,False,Sensor contact not supported,136,"[133, 137]",True,2024-06-19 12:19:36.924384
"[439, 442]",True,False,Sensor contact not supported,136,"[136, 135]",True,2024-06-19 12:19:37.922239
"[446, 447, 451]",True,False,Sensor contact not supported,136,"[134, 134, 133]",True,2024-06-19 12:19:38.917375
"[457, 463]",True,False,Sensor contact not supported,135,"[131, 129]",True,2024-06-19 12:19:39.912131
"[465, 459]",True,False,Sensor contact not supported,133,"[129, 130]",True,2024-06-19 12:19:40.908344
"[460, 458]",True,False,Sensor contact not supported,132,"[130, 131]",True,2024-06-19 12:19:41.910985
