rr_hr,timestamp_received,ee_status,rr_interval,rr,sensor_contact,hrv_uint8,hr
"[2, 495]",2024-06-20 15:35:51.085111,False,True,"[26378, 121]",Sensor contact not supported,True,120
[120],2024-06-20 15:35:51.861409,False,True,[500],Sensor contact not supported,True,120
"[120, 120]",2024-06-20 15:35:52.637927,False,True,"[500, 500]",Sensor contact not supported,True,119
[120],2024-06-20 15:35:53.414203,False,True,[499],Sensor contact not supported,True,120
"[120, 120]",2024-06-20 15:35:54.190427,False,True,"[500, 500]",Sensor contact not supported,True,119
"[120, 120]",2024-06-20 15:35:54.966023,False,True,"[500, 500]",Sensor contact not supported,True,120
[120],2024-06-20 15:35:55.742340,False,True,[500],Sensor contact not supported,True,120
"[120, 120]",2024-06-20 15:35:56.518581,False,True,"[500, 500]",Sensor contact not supported,True,120
[120],2024-06-20 15:35:57.294920,False,True,[500],Sensor contact not supported,True,120
"[120, 120]",2024-06-20 15:35:58.071208,False,True,"[500, 500]",Sensor contact not supported,True,120
[120],2024-06-20 15:35:58.848095,False,True,[500],Sensor contact not supported,True,120
"[120, 120]",2024-06-20 15:35:59.624003,False,True,"[500, 500]",Sensor contact not supported,True,120
[120],2024-06-20 15:36:00.400645,False,True,[500],Sensor contact not supported,True,120
"[120, 120]",2024-06-20 15:36:01.176283,False,True,"[500, 500]",Sensor contact not supported,True,120
[120],2024-06-20 15:36:01.952650,False,True,[500],Sensor contact not supported,True,120
"[120, 120]",2024-06-20 15:36:02.729160,False,True,"[500, 500]",Sensor contact not supported,True,120
"[120, 120]",2024-06-20 15:36:03.505281,False,True,"[500, 500]",Sensor contact not supported,True,120
[120],2024-06-20 15:36:04.281164,False,True,[500],Sensor contact not supported,True,120
"[120, 120]",2024-06-20 15:36:05.058073,False,True,"[500, 500]",Sensor contact not supported,True,120
[120],2024-06-20 15:36:05.834342,False,True,[500],Sensor contact not supported,True,120
"[120, 120]",2024-06-20 15:36:06.610576,False,True,"[500, 500]",Sensor contact not supported,True,120
[120],2024-06-20 15:36:07.386790,False,True,[500],Sensor contact not supported,True,120
"[120, 120]",2024-06-20 15:36:08.163157,False,True,"[500, 500]",Sensor contact not supported,True,120
[120],2024-06-20 15:36:08.939228,False,True,[500],Sensor contact not supported,True,120
