rr_hr,timestamp_received,ee_status,rr_interval,rr,sensor_contact,hrv_uint8,hr
[2],2024-06-20 15:30:01.769159,False,True,[20999],Sensor contact not supported,True,120
"[216, 120]",2024-06-20 15:30:02.544763,False,True,"[277, 500]",Sensor contact not supported,True,120
"[120, 120]",2024-06-20 15:30:03.321383,False,True,"[500, 500]",Sensor contact not supported,True,120
[120],2024-06-20 15:30:04.097950,False,True,[500],Sensor contact not supported,True,120
"[120, 120]",2024-06-20 15:30:04.873539,False,True,"[500, 500]",Sensor contact not supported,True,120
[120],2024-06-20 15:30:05.649596,False,True,[500],Sensor contact not supported,True,120
"[120, 120]",2024-06-20 15:30:06.426458,False,True,"[500, 500]",Sensor contact not supported,True,120
[120],2024-06-20 15:30:07.202508,False,True,[500],Sensor contact not supported,True,120
"[120, 120]",2024-06-20 15:30:07.978516,False,True,"[500, 500]",Sensor contact not supported,True,120
[120],2024-06-20 15:30:08.755476,False,True,[500],Sensor contact not supported,True,120
"[120, 120]",2024-06-20 15:30:09.531066,False,True,"[500, 500]",Sensor contact not supported,True,119
[120],2024-06-20 15:30:10.307730,False,True,[500],Sensor contact not supported,True,120
"[120, 120]",2024-06-20 15:30:11.083633,False,True,"[499, 500]",Sensor contact not supported,True,120
"[120, 120]",2024-06-20 15:30:11.860016,False,True,"[500, 500]",Sensor contact not supported,True,120
[120],2024-06-20 15:30:12.635973,False,True,[499],Sensor contact not supported,True,120
"[120, 120]",2024-06-20 15:30:13.412257,False,True,"[500, 500]",Sensor contact not supported,True,120
[120],2024-06-20 15:30:14.188917,False,True,[500],Sensor contact not supported,True,120
"[120, 120]",2024-06-20 15:30:14.964790,False,True,"[500, 500]",Sensor contact not supported,True,120
[120],2024-06-20 15:30:15.741228,False,True,[500],Sensor contact not supported,True,120
"[120, 120]",2024-06-20 15:30:16.517582,False,True,"[500, 500]",Sensor contact not supported,True,120
[120],2024-06-20 15:30:17.294081,False,True,[500],Sensor contact not supported,True,120
"[120, 120]",2024-06-20 15:30:18.070451,False,True,"[499, 500]",Sensor contact not supported,True,120
"[120, 120]",2024-06-20 15:30:18.845787,False,True,"[500, 500]",Sensor contact not supported,True,120
[120],2024-06-20 15:30:19.622146,False,True,[500],Sensor contact not supported,True,120
"[120, 120]",2024-06-20 15:30:20.399102,False,True,"[500, 500]",Sensor contact not supported,True,120
[120],2024-06-20 15:30:21.174966,False,True,[500],Sensor contact not supported,True,120
"[120, 120]",2024-06-20 15:30:21.951274,False,True,"[500, 500]",Sensor contact not supported,True,120
[120],2024-06-20 15:30:22.728001,False,True,[500],Sensor contact not supported,True,120
"[120, 120]",2024-06-20 15:30:23.503527,False,True,"[500, 500]",Sensor contact not supported,True,120
[120],2024-06-20 15:30:24.279953,False,True,[500],Sensor contact not supported,True,120
"[120, 120]",2024-06-20 15:30:25.056234,False,True,"[500, 500]",Sensor contact not supported,True,120
[120],2024-06-20 15:30:25.832116,False,True,[500],Sensor contact not supported,True,120
"[120, 120]",2024-06-20 15:30:26.608912,False,True,"[500, 500]",Sensor contact not supported,True,120
"[120, 120]",2024-06-20 15:30:27.384730,False,True,"[500, 500]",Sensor contact not supported,True,120
[120],2024-06-20 15:30:28.161543,False,True,[500],Sensor contact not supported,True,120
"[120, 120]",2024-06-20 15:30:28.937134,False,True,"[500, 500]",Sensor contact not supported,True,120
[120],2024-06-20 15:30:29.713331,False,True,[500],Sensor contact not supported,True,120
"[120, 120]",2024-06-20 15:30:30.490348,False,True,"[500, 500]",Sensor contact not supported,True,120
[120],2024-06-20 15:30:31.266552,False,True,[500],Sensor contact not supported,True,120
"[120, 120]",2024-06-20 15:30:32.042168,False,True,"[500, 500]",Sensor contact not supported,True,120
[120],2024-06-20 15:30:32.818381,False,True,[500],Sensor contact not supported,True,120
"[120, 120]",2024-06-20 15:30:33.594919,False,True,"[500, 500]",Sensor contact not supported,True,120
[120],2024-06-20 15:30:34.370713,False,True,[500],Sensor contact not supported,True,120
"[120, 120]",2024-06-20 15:30:35.147290,False,True,"[500, 500]",Sensor contact not supported,True,120
"[120, 120]",2024-06-20 15:30:35.923332,False,True,"[500, 500]",Sensor contact not supported,True,120
[120],2024-06-20 15:30:36.700202,False,True,[500],Sensor contact not supported,True,120
"[120, 120]",2024-06-20 15:30:37.475923,False,True,"[500, 500]",Sensor contact not supported,True,120
[120],2024-06-20 15:30:38.252131,False,True,[500],Sensor contact not supported,True,120
"[120, 120]",2024-06-20 15:30:39.028859,False,True,"[500, 500]",Sensor contact not supported,True,120
[120],2024-06-20 15:30:39.804907,False,True,[500],Sensor contact not supported,True,120
"[120, 120]",2024-06-20 15:30:40.581510,False,True,"[500, 500]",Sensor contact not supported,True,120
[120],2024-06-20 15:30:41.357824,False,True,[500],Sensor contact not supported,True,120
"[120, 120]",2024-06-20 15:30:42.133909,False,True,"[500, 500]",Sensor contact not supported,True,120
"[120, 120]",2024-06-20 15:30:43.168745,False,True,"[500, 500]",Sensor contact not supported,True,120
[120],2024-06-20 15:30:43.686504,False,True,[500],Sensor contact not supported,True,120
"[120, 120]",2024-06-20 15:30:44.462656,False,True,"[500, 500]",Sensor contact not supported,True,120
[120],2024-06-20 15:30:45.238504,False,True,[500],Sensor contact not supported,True,120
"[120, 120]",2024-06-20 15:30:46.014810,False,True,"[500, 500]",Sensor contact not supported,True,120
[120],2024-06-20 15:30:46.791224,False,True,[500],Sensor contact not supported,True,120
