rr_hr,timestamp_received,ee_status,rr_interval,rr,sensor_contact,hrv_uint8,hr
[2],2024-06-20 15:18:33.227479,False,True,[27123],Sensor contact not supported,True,120
"[157, 120]",2024-06-20 15:18:34.003482,False,True,"[381, 500]",Sensor contact not supported,True,120
[120],2024-06-20 15:18:34.780529,False,True,[500],Sensor contact not supported,True,120
"[120, 120]",2024-06-20 15:18:35.556484,False,True,"[500, 500]",Sensor contact not supported,True,120
[120],2024-06-20 15:18:36.332475,False,True,[500],Sensor contact not supported,True,120
"[120, 120]",2024-06-20 15:18:37.108668,False,True,"[500, 500]",Sensor contact not supported,True,120
"[120, 120]",2024-06-20 15:18:37.885236,False,True,"[500, 500]",Sensor contact not supported,True,120
[120],2024-06-20 15:18:38.661028,False,True,[500],Sensor contact not supported,True,120
"[120, 120]",2024-06-20 15:18:39.438067,False,True,"[500, 500]",Sensor contact not supported,True,120
[120],2024-06-20 15:18:40.213526,False,True,[500],Sensor contact not supported,True,120
"[120, 120]",2024-06-20 15:18:40.990289,False,True,"[500, 500]",Sensor contact not supported,True,120
[120],2024-06-20 15:18:41.766089,False,True,[500],Sensor contact not supported,True,120
"[120, 120]",2024-06-20 15:18:42.542888,False,True,"[500, 500]",Sensor contact not supported,True,120
[120],2024-06-20 15:18:43.319338,False,True,[500],Sensor contact not supported,True,120
"[120, 120]",2024-06-20 15:18:44.094793,False,True,"[500, 500]",Sensor contact not supported,True,120
[120],2024-06-20 15:18:44.871201,False,True,[500],Sensor contact not supported,True,120
"[120, 120]",2024-06-20 15:18:45.647524,False,True,"[500, 500]",Sensor contact not supported,True,120
"[120, 120]",2024-06-20 15:18:46.423566,False,True,"[500, 500]",Sensor contact not supported,True,120
[120],2024-06-20 15:18:47.458947,False,True,[500],Sensor contact not supported,True,120
"[120, 120]",2024-06-20 15:18:47.976074,False,True,"[500, 500]",Sensor contact not supported,True,120
[120],2024-06-20 15:18:48.752950,False,True,[500],Sensor contact not supported,True,120
"[120, 120]",2024-06-20 15:18:49.528976,False,True,"[500, 500]",Sensor contact not supported,True,120
[120],2024-06-20 15:18:50.305243,False,True,[499],Sensor contact not supported,True,120
"[120, 120]",2024-06-20 15:18:51.081381,False,True,"[500, 500]",Sensor contact not supported,True,120
[120],2024-06-20 15:18:51.857389,False,True,[500],Sensor contact not supported,True,119
