rr_interval,hr,hrv_uint8,sensor_contact,ee_status,timestamp_received,rr,rr_hr
False,120,True,Contact detected,False,2024-08-12 13:12:28.374388,,
False,120,True,Contact detected,False,2024-08-12 13:12:29.235088,,
False,120,True,Contact detected,False,2024-08-12 13:12:30.225440,,
False,120,True,Contact detected,False,2024-08-12 13:12:31.244717,,
False,120,True,Contact detected,False,2024-08-12 13:12:32.235070,,
False,120,True,Contact detected,False,2024-08-12 13:12:33.225421,,
True,120,True,Contact detected,False,2024-08-12 13:12:34.244696,"[488, 488]","[122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:12:35.235049,"[488, 492]","[122, 121]"
True,120,True,Contact detected,False,2024-08-12 13:12:36.225402,"[481, 488]","[124, 122]"
True,120,True,Contact detected,False,2024-08-12 13:12:37.244677,"[488, 488]","[122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:12:38.235031,"[488, 488]","[122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:12:39.225383,"[488, 488]","[122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:12:40.244658,"[492, 481]","[121, 124]"
True,120,True,Contact detected,False,2024-08-12 13:12:41.235011,[488],[122]
True,120,True,Contact detected,False,2024-08-12 13:12:42.225364,"[488, 488, 488]","[122, 122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:12:43.244639,"[488, 488]","[122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:12:44.234992,"[488, 492]","[122, 121]"
True,120,True,Contact detected,False,2024-08-12 13:12:45.225345,"[481, 488]","[124, 122]"
True,120,True,Contact detected,False,2024-08-12 13:12:46.274540,"[488, 488]","[122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:12:47.264892,"[488, 488]","[122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:12:48.255246,"[488, 492]","[122, 121]"
True,120,True,Contact detected,False,2024-08-12 13:12:49.244601,"[481, 488]","[124, 122]"
True,120,True,Contact detected,False,2024-08-12 13:12:50.234954,"[488, 488]","[122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:12:51.255227,"[488, 488]","[122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:12:52.244582,"[488, 488]","[122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:12:53.234935,"[492, 481]","[121, 124]"
True,120,True,Contact detected,False,2024-08-12 13:12:54.225288,"[488, 488]","[122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:12:55.244563,[488],[122]
True,120,True,Contact detected,False,2024-08-12 13:12:56.234918,"[488, 488, 488]","[122, 122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:12:57.225269,"[488, 492]","[122, 121]"
True,120,True,Contact detected,False,2024-08-12 13:12:58.244545,"[481, 488]","[124, 122]"
True,120,True,Contact detected,False,2024-08-12 13:12:59.234897,"[488, 488]","[122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:13:00.255169,"[488, 488]","[122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:13:01.244525,"[488, 492]","[122, 121]"
True,120,True,Contact detected,False,2024-08-12 13:13:02.234879,"[481, 488]","[124, 122]"
True,120,True,Contact detected,False,2024-08-12 13:13:03.225231,"[488, 488]","[122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:13:04.244506,"[488, 488]","[122, 122]"
