rr_interval,hr,hrv_uint8,sensor_contact,ee_status,timestamp_received,rr,rr_hr
False,118,True,Contact detected,False,2024-08-12 12:59:49.321209,,
False,118,True,Contact detected,False,2024-08-12 12:59:50.310604,,
False,118,True,Contact detected,False,2024-08-12 12:59:51.271037,,
False,118,True,Contact detected,False,2024-08-12 12:59:52.291270,,
False,118,True,Contact detected,False,2024-08-12 12:59:53.310585,,
False,118,True,Contact detected,False,2024-08-12 12:59:54.271017,,
True,118,True,Contact detected,False,2024-08-12 12:59:55.291251,"[489, 485]","[122, 123]"
True,118,True,Contact detected,False,2024-08-12 12:59:56.280644,"[489, 489]","[122, 122]"
True,118,True,Contact detected,False,2024-08-12 12:59:57.271958,"[489, 489]","[122, 122]"
True,118,True,Contact detected,False,2024-08-12 12:59:58.291232,"[489, 489]","[122, 122]"
True,119,True,Contact detected,False,2024-08-12 12:59:59.280627,"[485, 489]","[123, 122]"
True,120,True,Contact detected,False,2024-08-12 13:00:00.270431,"[489, 489]","[122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:00:01.290704,"[489, 489]","[122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:00:02.281056,"[489, 485, 489]","[122, 123, 122]"
True,120,True,Contact detected,False,2024-08-12 13:00:03.270412,[489],[122]
True,120,True,Contact detected,False,2024-08-12 13:00:04.290684,"[489, 489]","[122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:00:05.281038,"[489, 489, 489]","[122, 122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:00:06.271391,[485],[123]
True,120,True,Contact detected,False,2024-08-12 13:00:07.290667,"[489, 489]","[122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:00:08.281019,"[489, 489, 489]","[122, 122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:00:09.271372,[489],[122]
True,120,True,Contact detected,False,2024-08-12 13:00:10.290647,"[485, 489]","[123, 122]"
True,120,True,Contact detected,False,2024-08-12 13:00:11.280999,"[489, 489]","[122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:00:12.270354,"[489, 489]","[122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:00:13.290628,"[489, 492]","[122, 121]"
True,120,True,Contact detected,False,2024-08-12 13:00:14.280980,"[481, 489]","[124, 122]"
True,120,True,Contact detected,False,2024-08-12 13:00:15.271333,"[489, 489]","[122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:00:16.290608,"[489, 489]","[122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:00:17.280962,"[492, 481]","[121, 124]"
True,120,True,Contact detected,False,2024-08-12 13:00:18.271314,"[489, 489]","[122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:00:19.290591,"[489, 489, 489]","[122, 122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:00:20.280942,[489],[122]
True,120,True,Contact detected,False,2024-08-12 13:00:21.271295,"[485, 489]","[123, 122]"
True,120,True,Contact detected,False,2024-08-12 13:00:22.320492,"[489, 489]","[122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:00:23.310843,"[489, 489]","[122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:00:24.301196,"[489, 485]","[122, 123]"
True,120,True,Contact detected,False,2024-08-12 13:00:25.290551,"[489, 489]","[122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:00:26.280904,"[489, 489]","[122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:00:27.271259,"[489, 489]","[122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:00:28.290532,"[485, 489]","[123, 122]"
True,120,True,Contact detected,False,2024-08-12 13:00:29.280885,"[489, 489]","[122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:00:30.271238,"[489, 489]","[122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:00:31.290513,"[489, 489]","[122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:00:32.280866,"[485, 489]","[123, 122]"
True,120,True,Contact detected,False,2024-08-12 13:00:33.301139,"[489, 489, 489]","[122, 122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:00:34.290494,[489],[122]
True,120,True,Contact detected,False,2024-08-12 13:00:35.280847,"[489, 485]","[122, 123]"
True,120,True,Contact detected,False,2024-08-12 13:00:36.271200,"[489, 489]","[122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:00:37.290475,"[489, 489]","[122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:00:38.280828,"[489, 489]","[122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:00:39.271183,"[485, 489]","[123, 122]"
True,120,True,Contact detected,False,2024-08-12 13:00:40.290456,"[489, 489]","[122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:00:41.280809,"[489, 489]","[122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:00:42.271162,"[489, 489]","[122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:00:43.290609,"[485, 489]","[123, 122]"
True,120,True,Contact detected,False,2024-08-12 13:00:44.280960,"[489, 489]","[122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:00:45.271354,"[489, 489]","[122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:00:46.290588,"[489, 485]","[122, 123]"
True,120,True,Contact detected,False,2024-08-12 13:00:47.310861,"[489, 489, 489]","[122, 122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:00:48.271294,[489],[122]
True,120,True,Contact detected,False,2024-08-12 13:00:49.290850,"[489, 489]","[122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:00:50.281204,"[492, 481, 447, 326]","[121, 124, 134, 184]"
True,120,True,Contact detected,False,2024-08-12 13:00:51.270558,"[326, 326]","[184, 184]"
True,121,True,Contact detected,False,2024-08-12 13:00:52.290831,"[322, 326, 326]","[186, 184, 184]"
True,152,True,Contact detected,False,2024-08-12 13:00:53.281184,"[326, 326, 326, 326]","[184, 184, 184, 184]"
True,176,True,Contact detected,False,2024-08-12 13:00:54.270539,"[326, 326, 326]","[184, 184, 184]"
True,179,True,Contact detected,False,2024-08-12 13:00:55.320733,"[326, 322]","[184, 186]"
True,180,True,Contact detected,False,2024-08-12 13:00:56.311085,"[326, 326, 326, 326]","[184, 184, 184, 184]"
