rr_interval,hr,hrv_uint8,sensor_contact,ee_status,timestamp_received,rr,rr_hr
False,120,True,Contact detected,False,2024-08-12 13:05:32.525772,,
False,120,True,Contact detected,False,2024-08-12 13:05:33.273771,,
False,120,True,Contact detected,False,2024-08-12 13:05:34.264124,,
False,120,True,Contact detected,False,2024-08-12 13:05:35.253479,,
False,120,True,Contact detected,False,2024-08-12 13:05:36.303775,,
False,120,True,Contact detected,False,2024-08-12 13:05:37.294089,,
True,120,True,Contact detected,False,2024-08-12 13:05:38.253566,[489],[122]
True,120,True,Contact detected,False,2024-08-12 13:05:39.273840,"[485, 489]","[123, 122]"
True,120,True,Contact detected,False,2024-08-12 13:05:40.264150,"[489, 489]","[122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:05:41.253550,[489],[122]
True,120,True,Contact detected,False,2024-08-12 13:05:42.273779,"[489, 489, 489]","[122, 122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:05:43.264131,"[485, 489]","[123, 122]"
True,120,True,Contact detected,False,2024-08-12 13:05:44.284403,"[489, 489]","[122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:05:45.273671,"[489, 489]","[122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:05:46.264024,"[489, 489]","[122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:05:47.254378,"[485, 489]","[123, 122]"
True,120,True,Contact detected,False,2024-08-12 13:05:48.273652,"[489, 489]","[122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:05:49.264005,"[489, 489]","[122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:05:50.254361,"[489, 489]","[122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:05:51.273657,"[485, 489]","[123, 122]"
True,120,True,Contact detected,False,2024-08-12 13:05:52.263987,"[489, 489]","[122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:05:53.254340,"[489, 489]","[122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:05:54.273659,"[489, 489]","[122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:05:55.263967,[485],[123]
True,120,True,Contact detected,False,2024-08-12 13:05:56.254320,"[489, 489, 489]","[122, 122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:05:57.273595,"[489, 489]","[122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:05:58.263948,[489],[122]
True,120,True,Contact detected,False,2024-08-12 13:05:59.254301,"[489, 489, 485]","[122, 122, 123]"
