hr,rr_interval,timestamp_received,rr,ee_status,sensor_contact,hrv_uint8,rr_hr
75,True,2024-06-20 16:24:02.261353,[49200],False,Sensor contact not supported,True,[1]
75,True,2024-06-20 16:24:03.038053,[823],False,Sensor contact not supported,True,[72]
74,True,2024-06-20 16:24:03.813865,[833],False,Sensor contact not supported,True,[72]
74,True,2024-06-20 16:24:04.590853,[833],False,Sensor contact not supported,True,[72]
74,True,2024-06-20 16:24:05.366494,[833],False,Sensor contact not supported,True,[72]
74,False,2024-06-20 16:24:06.143192,,False,Sensor contact not supported,True,
73,True,2024-06-20 16:24:06.919514,[833],False,Sensor contact not supported,True,[72]
73,True,2024-06-20 16:24:07.695259,[833],False,Sensor contact not supported,True,[72]
73,True,2024-06-20 16:24:08.472167,[833],False,Sensor contact not supported,True,[72]
73,True,2024-06-20 16:24:09.248326,[833],False,Sensor contact not supported,True,[72]
73,True,2024-06-20 16:24:10.024268,[833],False,Sensor contact not supported,True,[72]
73,True,2024-06-20 16:24:10.800455,[833],False,Sensor contact not supported,True,[72]
72,True,2024-06-20 16:24:11.576722,[833],False,Sensor contact not supported,True,[72]
72,True,2024-06-20 16:24:12.352656,[833],False,Sensor contact not supported,True,[72]
72,True,2024-06-20 16:24:13.128860,[833],False,Sensor contact not supported,True,[72]
72,True,2024-06-20 16:24:13.905392,[833],False,Sensor contact not supported,True,[72]
72,True,2024-06-20 16:24:14.681976,[833],False,Sensor contact not supported,True,[72]
72,True,2024-06-20 16:24:15.457691,[833],False,Sensor contact not supported,True,[72]
72,True,2024-06-20 16:24:16.234270,[833],False,Sensor contact not supported,True,[72]
72,False,2024-06-20 16:24:17.010296,,False,Sensor contact not supported,True,
72,True,2024-06-20 16:24:17.786411,[833],False,Sensor contact not supported,True,[72]
72,True,2024-06-20 16:24:18.562651,[833],False,Sensor contact not supported,True,[72]
72,True,2024-06-20 16:24:19.339046,[833],False,Sensor contact not supported,True,[72]
72,True,2024-06-20 16:24:20.115227,[833],False,Sensor contact not supported,True,[72]
72,True,2024-06-20 16:24:20.891303,[833],False,Sensor contact not supported,True,[72]
72,True,2024-06-20 16:24:21.668415,[833],False,Sensor contact not supported,True,[72]
72,True,2024-06-20 16:24:22.444194,[833],False,Sensor contact not supported,True,[72]
72,True,2024-06-20 16:24:23.220713,[833],False,Sensor contact not supported,True,[72]
72,True,2024-06-20 16:24:23.996553,[833],False,Sensor contact not supported,True,[72]
72,True,2024-06-20 16:24:24.772859,[833],False,Sensor contact not supported,True,[72]
72,True,2024-06-20 16:24:25.548989,[833],False,Sensor contact not supported,True,[72]
72,True,2024-06-20 16:24:26.325340,[833],False,Sensor contact not supported,True,[72]
72,True,2024-06-20 16:24:27.101687,[833],False,Sensor contact not supported,True,[72]
72,False,2024-06-20 16:24:27.877593,,False,Sensor contact not supported,True,
72,True,2024-06-20 16:24:28.654494,[833],False,Sensor contact not supported,True,[72]
72,True,2024-06-20 16:24:29.429905,[833],False,Sensor contact not supported,True,[72]
71,True,2024-06-20 16:24:30.207171,[833],False,Sensor contact not supported,True,[72]
72,True,2024-06-20 16:24:30.982668,[833],False,Sensor contact not supported,True,[72]
72,True,2024-06-20 16:24:31.758887,[833],False,Sensor contact not supported,True,[72]
71,True,2024-06-20 16:24:32.793849,[833],False,Sensor contact not supported,True,[72]
72,True,2024-06-20 16:24:33.311387,[833],False,Sensor contact not supported,True,[72]
72,True,2024-06-20 16:24:34.088256,[833],False,Sensor contact not supported,True,[72]
72,True,2024-06-20 16:24:34.864379,[833],False,Sensor contact not supported,True,[72]
72,True,2024-06-20 16:24:35.640211,[833],False,Sensor contact not supported,True,[72]
72,True,2024-06-20 16:24:36.416447,[833],False,Sensor contact not supported,True,[72]
72,True,2024-06-20 16:24:37.193195,[833],False,Sensor contact not supported,True,[72]
71,True,2024-06-20 16:24:37.969304,[833],False,Sensor contact not supported,True,[72]
72,False,2024-06-20 16:24:38.745329,,False,Sensor contact not supported,True,
72,True,2024-06-20 16:24:39.521642,[833],False,Sensor contact not supported,True,[72]
71,True,2024-06-20 16:24:40.297720,[833],False,Sensor contact not supported,True,[72]
72,True,2024-06-20 16:24:41.074568,[833],False,Sensor contact not supported,True,[72]
72,True,2024-06-20 16:24:41.850290,[833],False,Sensor contact not supported,True,[72]
71,True,2024-06-20 16:24:42.626978,[833],False,Sensor contact not supported,True,[72]
72,True,2024-06-20 16:24:43.403401,[833],False,Sensor contact not supported,True,[72]
72,True,2024-06-20 16:24:44.179027,[833],False,Sensor contact not supported,True,[72]
71,True,2024-06-20 16:24:44.955015,[833],False,Sensor contact not supported,True,[72]
71,True,2024-06-20 16:24:45.731693,[833],False,Sensor contact not supported,True,[72]
71,True,2024-06-20 16:24:46.508308,[833],False,Sensor contact not supported,True,[72]
71,True,2024-06-20 16:24:47.283949,[833],False,Sensor contact not supported,True,[72]
72,True,2024-06-20 16:24:48.060360,[833],False,Sensor contact not supported,True,[72]
71,True,2024-06-20 16:24:48.836972,[833],False,Sensor contact not supported,True,[72]
71,False,2024-06-20 16:24:49.612646,,False,Sensor contact not supported,True,
72,True,2024-06-20 16:24:50.389275,[833],False,Sensor contact not supported,True,[72]
72,True,2024-06-20 16:24:51.165668,[833],False,Sensor contact not supported,True,[72]
71,True,2024-06-20 16:24:51.941558,[833],False,Sensor contact not supported,True,[72]
72,True,2024-06-20 16:24:52.717868,[833],False,Sensor contact not supported,True,[72]
72,True,2024-06-20 16:24:53.494632,[833],False,Sensor contact not supported,True,[72]
71,True,2024-06-20 16:24:54.270634,[833],False,Sensor contact not supported,True,[72]
72,True,2024-06-20 16:24:55.046256,[833],False,Sensor contact not supported,True,[72]
72,True,2024-06-20 16:24:55.822597,[833],False,Sensor contact not supported,True,[72]
71,True,2024-06-20 16:24:56.599017,[833],False,Sensor contact not supported,True,[72]
72,True,2024-06-20 16:24:57.375657,[833],False,Sensor contact not supported,True,[72]
72,True,2024-06-20 16:24:58.151237,[833],False,Sensor contact not supported,True,[72]
71,True,2024-06-20 16:24:58.927825,[833],False,Sensor contact not supported,True,[72]
71,True,2024-06-20 16:24:59.703834,[833],False,Sensor contact not supported,True,[72]
72,False,2024-06-20 16:25:00.480645,,False,Sensor contact not supported,True,
71,True,2024-06-20 16:25:01.257242,[833],False,Sensor contact not supported,True,[72]
72,True,2024-06-20 16:25:02.032698,[833],False,Sensor contact not supported,True,[72]
72,True,2024-06-20 16:25:02.809366,[833],False,Sensor contact not supported,True,[72]
72,True,2024-06-20 16:25:03.585548,[812],False,Sensor contact not supported,True,[73]
72,True,2024-06-20 16:25:04.361441,[787],False,Sensor contact not supported,True,[76]
73,True,2024-06-20 16:25:05.137694,[762],False,Sensor contact not supported,True,[78]
74,True,2024-06-20 16:25:05.914626,[741],False,Sensor contact not supported,True,[80]
75,True,2024-06-20 16:25:06.948715,[720],False,Sensor contact not supported,True,[83]
78,True,2024-06-20 16:25:07.725849,"[701, 682]",False,Sensor contact not supported,True,"[85, 87]"
78,True,2024-06-20 16:25:08.242539,[665],False,Sensor contact not supported,True,[90]
81,True,2024-06-20 16:25:09.019151,[649],False,Sensor contact not supported,True,[92]
82,True,2024-06-20 16:25:09.795170,[634],False,Sensor contact not supported,True,[94]
84,True,2024-06-20 16:25:10.572205,"[621, 607]",False,Sensor contact not supported,True,"[96, 98]"
86,True,2024-06-20 16:25:11.347981,[596],False,Sensor contact not supported,True,[100]
89,True,2024-06-20 16:25:12.124475,[584],False,Sensor contact not supported,True,[102]
93,True,2024-06-20 16:25:12.900051,"[575, 565]",False,Sensor contact not supported,True,"[104, 106]"
93,True,2024-06-20 16:25:13.677086,[556],False,Sensor contact not supported,True,[107]
97,True,2024-06-20 16:25:14.452653,[548],False,Sensor contact not supported,True,[109]
98,True,2024-06-20 16:25:15.229434,"[541, 533]",False,Sensor contact not supported,True,"[110, 112]"
102,True,2024-06-20 16:25:16.005155,[526],False,Sensor contact not supported,True,[114]
103,True,2024-06-20 16:25:16.781536,"[520, 514]",False,Sensor contact not supported,True,"[115, 116]"
106,True,2024-06-20 16:25:17.557811,[509],False,Sensor contact not supported,True,[117]
108,True,2024-06-20 16:25:18.334483,"[504, 499]",False,Sensor contact not supported,True,"[119, 120]"
111,True,2024-06-20 16:25:19.110447,[495],False,Sensor contact not supported,True,[121]
112,True,2024-06-20 16:25:19.886975,"[490, 486]",False,Sensor contact not supported,True,"[122, 123]"
115,True,2024-06-20 16:25:20.663112,"[483, 478]",False,Sensor contact not supported,True,"[124, 125]"
117,True,2024-06-20 16:25:21.439450,[475],False,Sensor contact not supported,True,[126]
118,True,2024-06-20 16:25:22.215704,"[472, 468]",False,Sensor contact not supported,True,"[127, 128]"
121,True,2024-06-20 16:25:22.992057,"[466, 463]",False,Sensor contact not supported,True,"[128, 129]"
122,True,2024-06-20 16:25:23.767456,[465],False,Sensor contact not supported,True,[129]
123,True,2024-06-20 16:25:24.543782,"[470, 474]",False,Sensor contact not supported,True,"[127, 126]"
124,True,2024-06-20 16:25:25.320201,[479],False,Sensor contact not supported,True,[125]
123,True,2024-06-20 16:25:26.097117,"[484, 488]",False,Sensor contact not supported,True,"[123, 122]"
