sensor_contact,rr_hr,hr,timestamp_received,rr,rr_interval,hrv_uint8,ee_status
Sensor contact not supported,[120],120,2024-06-19 15:22:58.465630,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:22:58.961058,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:22:59.440675,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:22:59.921204,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:23:00.460382,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:23:00.926110,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:23:01.466341,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:23:01.915566,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:23:02.425843,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:23:02.966230,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:23:03.475440,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:23:03.970954,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:23:04.465366,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:23:04.960720,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:23:05.426168,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:23:05.965608,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:23:06.460318,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:23:06.926102,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:23:07.465645,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:23:07.960801,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:23:08.425495,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:23:08.965808,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:23:09.461244,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:23:09.925519,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:23:10.466037,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:23:10.960686,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:23:11.425859,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:23:11.966106,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:23:12.461138,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:23:12.926131,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:23:13.465574,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:23:13.961180,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:23:14.425524,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:23:14.980745,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:23:15.415798,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:23:15.941133,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:23:16.421259,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:23:16.960945,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:23:17.425394,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:23:17.966047,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:23:18.461167,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:23:18.925855,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:23:19.465563,[500],True,True,False
Sensor contact not supported,[160],120,2024-06-19 15:23:19.871171,[375],True,True,False
Sensor contact not supported,[183],120,2024-06-19 15:23:20.156168,[327],True,True,False
Sensor contact not supported,[179],120,2024-06-19 15:23:20.485849,[334],True,True,False
Sensor contact not supported,[179],120,2024-06-19 15:23:20.816126,[334],True,True,False
Sensor contact not supported,[183],120,2024-06-19 15:23:21.160407,[327],True,True,False
Sensor contact not supported,[179],120,2024-06-19 15:23:21.490757,[334],True,True,False
Sensor contact not supported,[179],120,2024-06-19 15:23:21.835316,[334],True,True,False
Sensor contact not supported,[183],120,2024-06-19 15:23:22.166186,[327],True,True,False
Sensor contact not supported,[179],120,2024-06-19 15:23:22.510958,[334],True,True,False
Sensor contact not supported,[179],120,2024-06-19 15:23:22.840701,[334],True,True,False
Sensor contact not supported,[183],120,2024-06-19 15:23:23.186171,[327],True,True,False
Sensor contact not supported,[179],120,2024-06-19 15:23:23.515541,[334],True,True,False
Sensor contact not supported,[179],120,2024-06-19 15:23:23.861051,[334],True,True,False
Sensor contact not supported,[183],120,2024-06-19 15:23:24.191050,[327],True,True,False
Sensor contact not supported,[179],120,2024-06-19 15:23:24.535762,[334],True,True,False
Sensor contact not supported,[179],125,2024-06-19 15:23:24.865245,[334],True,True,False
Sensor contact not supported,[183],133,2024-06-19 15:23:25.195485,[327],True,True,False
Sensor contact not supported,[179],141,2024-06-19 15:23:25.570512,[334],True,True,False
Sensor contact not supported,[179],148,2024-06-19 15:23:25.870325,[334],True,True,False
Sensor contact not supported,[183],155,2024-06-19 15:23:26.200460,[327],True,True,False
Sensor contact not supported,[179],160,2024-06-19 15:23:26.545964,[334],True,True,False
Sensor contact not supported,[179],166,2024-06-19 15:23:26.905936,[334],True,True,False
Sensor contact not supported,[183],169,2024-06-19 15:23:27.191192,[327],True,True,False
Sensor contact not supported,[179],172,2024-06-19 15:23:27.535858,[334],True,True,False
Sensor contact not supported,[179],174,2024-06-19 15:23:27.866078,[334],True,True,False
Sensor contact not supported,[183],177,2024-06-19 15:23:28.195986,[327],True,True,False
Sensor contact not supported,[179],177,2024-06-19 15:23:28.526027,[334],True,True,False
Sensor contact not supported,[179],178,2024-06-19 15:23:28.870959,[334],True,True,False
Sensor contact not supported,[183],179,2024-06-19 15:23:29.200929,[327],True,True,False
Sensor contact not supported,[179],179,2024-06-19 15:23:29.546001,[334],True,True,False
Sensor contact not supported,[179],179,2024-06-19 15:23:29.860384,[334],True,True,False
Sensor contact not supported,[183],180,2024-06-19 15:23:30.190320,[327],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:23:30.535395,[334],True,True,False
Sensor contact not supported,[179],179,2024-06-19 15:23:30.865418,[334],True,True,False
Sensor contact not supported,[183],180,2024-06-19 15:23:31.241067,[327],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:23:31.525934,[334],True,True,False
Sensor contact not supported,[179],179,2024-06-19 15:23:31.871196,[334],True,True,False
Sensor contact not supported,[183],180,2024-06-19 15:23:32.245717,[327],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:23:32.531198,[334],True,True,False
Sensor contact not supported,[179],179,2024-06-19 15:23:32.860454,[334],True,True,False
Sensor contact not supported,[183],180,2024-06-19 15:23:33.190695,[327],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:23:33.535562,[334],True,True,False
