sensor_contact,rr_hr,hr,timestamp_received,rr,rr_interval,hrv_uint8,ee_status
Sensor contact not supported,[163],163,2024-06-19 15:28:00.823486,[366],True,True,False
Sensor contact not supported,[163],163,2024-06-19 15:28:01.243723,[366],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:01.784358,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:02.278621,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:02.744350,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:03.238575,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:03.779280,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:04.243673,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:04.784336,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:05.279196,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:05.744388,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:06.284281,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:06.779259,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:07.243608,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:07.783663,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:08.278738,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:08.743899,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:09.239289,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:09.779220,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:10.243812,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:10.739457,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:11.278808,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:11.744128,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:12.254040,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:12.733660,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:13.244432,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:13.783998,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:14.233976,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:14.759143,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:15.238471,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:15.733904,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:16.289525,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:16.783652,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:17.279001,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:17.744033,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:18.283941,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:18.778379,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:19.243940,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:19.784433,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:20.279190,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:20.743646,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:21.239206,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:21.778730,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:22.243922,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:22.783612,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:23.279397,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:23.743701,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:24.283604,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:24.779135,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:25.244329,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:25.785048,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:26.278958,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:26.744115,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:27.239143,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:27.793552,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:28.288877,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:28.783991,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:29.279141,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:29.744107,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:30.283627,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:30.779089,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:31.243652,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:31.783861,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:32.278631,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:32.743547,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:33.284301,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:33.734350,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:34.243648,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:34.783833,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:35.278866,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:35.745058,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:36.238788,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:36.778447,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:37.244424,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:37.754401,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:38.249070,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:38.759079,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:39.284250,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:39.779567,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:40.243824,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:40.784057,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:41.278749,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:41.744187,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:42.313603,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:42.778698,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:43.243617,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:43.783933,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:44.248915,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:44.743969,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:45.284309,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:45.748726,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:46.288923,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:46.738718,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:47.278585,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:47.743988,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:48.239264,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:48.779101,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:49.243590,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:49.738574,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:50.279132,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:50.744228,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:51.238966,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:51.779111,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:52.244143,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:52.739625,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:53.249318,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:53.789325,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:54.283896,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:54.779024,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:55.244270,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:55.783756,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:56.248580,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:56.744018,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:57.239337,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:57.779196,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:58.288508,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:58.783492,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:59.234357,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:28:59.744031,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:29:00.239072,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:29:00.778502,[500],True,True,False
Sensor contact not supported,[128],120,2024-06-19 15:29:01.213768,[467],True,True,False
Sensor contact not supported,[192],121,2024-06-19 15:29:01.559059,[311],True,True,False
Sensor contact not supported,[179],121,2024-06-19 15:29:01.919343,[334],True,True,False
Sensor contact not supported,[183],121,2024-06-19 15:29:02.218546,[327],True,True,False
Sensor contact not supported,[179],122,2024-06-19 15:29:02.549117,[334],True,True,False
Sensor contact not supported,[179],122,2024-06-19 15:29:02.909220,[334],True,True,False
Sensor contact not supported,[183],122,2024-06-19 15:29:03.238526,[327],True,True,False
Sensor contact not supported,[179],122,2024-06-19 15:29:03.568506,[334],True,True,False
Sensor contact not supported,[179],122,2024-06-19 15:29:03.913962,[334],True,True,False
Sensor contact not supported,[183],122,2024-06-19 15:29:04.243643,[327],True,True,False
Sensor contact not supported,[179],122,2024-06-19 15:29:04.588898,[334],True,True,False
Sensor contact not supported,[179],122,2024-06-19 15:29:04.918800,[334],True,True,False
Sensor contact not supported,[183],122,2024-06-19 15:29:05.249215,[327],True,True,False
Sensor contact not supported,[179],122,2024-06-19 15:29:05.639331,[334],True,True,False
Sensor contact not supported,[179],122,2024-06-19 15:29:05.923899,[334],True,True,False
Sensor contact not supported,[183],122,2024-06-19 15:29:06.299081,[327],True,True,False
Sensor contact not supported,[179],127,2024-06-19 15:29:06.613562,[334],True,True,False
Sensor contact not supported,[179],134,2024-06-19 15:29:06.913590,[334],True,True,False
Sensor contact not supported,[183],142,2024-06-19 15:29:07.259161,[327],True,True,False
Sensor contact not supported,[179],149,2024-06-19 15:29:07.588971,[334],True,True,False
Sensor contact not supported,[179],155,2024-06-19 15:29:07.933870,[334],True,True,False
Sensor contact not supported,[183],161,2024-06-19 15:29:08.294055,[327],True,True,False
Sensor contact not supported,[179],166,2024-06-19 15:29:08.593759,[334],True,True,False
Sensor contact not supported,[179],170,2024-06-19 15:29:08.968705,[334],True,True,False
Sensor contact not supported,[183],174,2024-06-19 15:29:09.254120,[327],True,True,False
Sensor contact not supported,[179],175,2024-06-19 15:29:09.644248,[334],True,True,False
Sensor contact not supported,[179],176,2024-06-19 15:29:09.929141,[334],True,True,False
Sensor contact not supported,[183],178,2024-06-19 15:29:10.304186,[327],True,True,False
Sensor contact not supported,[179],178,2024-06-19 15:29:10.633543,[334],True,True,False
