rr_hr,timestamp_received,ee_status,rr_interval,rr,sensor_contact,hrv_uint8,hr
[2],2024-06-20 15:38:42.637231,False,True,[20253],Sensor contact not supported,True,60
[116],2024-06-20 15:38:43.414018,False,True,[517],Sensor contact not supported,True,60
[60],2024-06-20 15:38:44.189883,False,True,[1000],Sensor contact not supported,True,60
[60],2024-06-20 15:38:44.966096,False,True,[1000],Sensor contact not supported,True,60
,2024-06-20 15:38:45.742170,False,False,,Sensor contact not supported,True,60
[60],2024-06-20 15:38:46.518561,False,True,[1000],Sensor contact not supported,True,60
[60],2024-06-20 15:38:47.294868,False,True,[1000],Sensor contact not supported,True,60
[60],2024-06-20 15:38:48.071677,False,True,[1000],Sensor contact not supported,True,60
,2024-06-20 15:38:48.847293,False,False,,Sensor contact not supported,True,60
[60],2024-06-20 15:38:49.623562,False,True,[1000],Sensor contact not supported,True,60
[60],2024-06-20 15:38:50.399780,False,True,[1000],Sensor contact not supported,True,60
[60],2024-06-20 15:38:51.176524,False,True,[1000],Sensor contact not supported,True,60
[60],2024-06-20 15:38:51.952753,False,True,[1000],Sensor contact not supported,True,60
,2024-06-20 15:38:52.728712,False,False,,Sensor contact not supported,True,60
[60],2024-06-20 15:38:53.505400,False,True,[1000],Sensor contact not supported,True,60
[60],2024-06-20 15:38:54.281405,False,True,[1000],Sensor contact not supported,True,60
[60],2024-06-20 15:38:55.057861,False,True,[1000],Sensor contact not supported,True,60
,2024-06-20 15:38:55.834199,False,False,,Sensor contact not supported,True,60
[60],2024-06-20 15:38:56.610420,False,True,[1000],Sensor contact not supported,True,60
[60],2024-06-20 15:38:57.386003,False,True,[1000],Sensor contact not supported,True,60
[60],2024-06-20 15:38:58.162933,False,True,[1000],Sensor contact not supported,True,60
,2024-06-20 15:38:58.938760,False,False,,Sensor contact not supported,True,60
[60],2024-06-20 15:38:59.715096,False,True,[1000],Sensor contact not supported,True,60
[60],2024-06-20 15:39:00.491262,False,True,[1000],Sensor contact not supported,True,60
[60],2024-06-20 15:39:01.267816,False,True,[1000],Sensor contact not supported,True,60
[60],2024-06-20 15:39:02.043784,False,True,[1000],Sensor contact not supported,True,60
,2024-06-20 15:39:02.819591,False,False,,Sensor contact not supported,True,60
[60],2024-06-20 15:39:03.596204,False,True,[1000],Sensor contact not supported,True,60
[60],2024-06-20 15:39:04.372398,False,True,[1000],Sensor contact not supported,True,60
[60],2024-06-20 15:39:05.148711,False,True,[999],Sensor contact not supported,True,60
,2024-06-20 15:39:05.924877,False,False,,Sensor contact not supported,True,60
[60],2024-06-20 15:39:06.701154,False,True,[1000],Sensor contact not supported,True,60
[60],2024-06-20 15:39:07.477163,False,True,[999],Sensor contact not supported,True,60
[60],2024-06-20 15:39:08.254267,False,True,[1000],Sensor contact not supported,True,60
[60],2024-06-20 15:39:09.030038,False,True,[999],Sensor contact not supported,True,60
,2024-06-20 15:39:09.806440,False,False,,Sensor contact not supported,True,60
[60],2024-06-20 15:39:10.582936,False,True,[1000],Sensor contact not supported,True,60
[60],2024-06-20 15:39:11.359038,False,True,[1000],Sensor contact not supported,True,60
[60],2024-06-20 15:39:12.135183,False,True,[1000],Sensor contact not supported,True,60
,2024-06-20 15:39:12.911706,False,False,,Sensor contact not supported,True,60
[60],2024-06-20 15:39:13.687174,False,True,[1000],Sensor contact not supported,True,60
[60],2024-06-20 15:39:14.463860,False,True,[1000],Sensor contact not supported,True,60
[60],2024-06-20 15:39:15.240172,False,True,[1000],Sensor contact not supported,True,60
[60],2024-06-20 15:39:16.016160,False,True,[1000],Sensor contact not supported,True,60
,2024-06-20 15:39:16.792278,False,False,,Sensor contact not supported,True,60
[60],2024-06-20 15:39:17.568762,False,True,[1000],Sensor contact not supported,True,60
[60],2024-06-20 15:39:18.344872,False,True,[1000],Sensor contact not supported,True,60
[60],2024-06-20 15:39:19.121513,False,True,[1000],Sensor contact not supported,True,60
,2024-06-20 15:39:19.897388,False,False,,Sensor contact not supported,True,60
[60],2024-06-20 15:39:20.673844,False,True,[1000],Sensor contact not supported,True,60
[60],2024-06-20 15:39:21.449781,False,True,[1000],Sensor contact not supported,True,60
[60],2024-06-20 15:39:22.226248,False,True,[1000],Sensor contact not supported,True,60
,2024-06-20 15:39:23.002235,False,False,,Sensor contact not supported,True,60
[60],2024-06-20 15:39:23.778476,False,True,[1000],Sensor contact not supported,True,60
[60],2024-06-20 15:39:24.554827,False,True,[1000],Sensor contact not supported,True,60
[60],2024-06-20 15:39:25.330818,False,True,[1000],Sensor contact not supported,True,60
[60],2024-06-20 15:39:26.107716,False,True,[1000],Sensor contact not supported,True,60
,2024-06-20 15:39:26.883533,False,False,,Sensor contact not supported,True,60
[60],2024-06-20 15:39:27.660112,False,True,[1000],Sensor contact not supported,True,60
[60],2024-06-20 15:39:28.435906,False,True,[1000],Sensor contact not supported,True,60
[60],2024-06-20 15:39:29.212782,False,True,[1000],Sensor contact not supported,True,60
,2024-06-20 15:39:29.988977,False,False,,Sensor contact not supported,True,60
[60],2024-06-20 15:39:30.765245,False,True,[1000],Sensor contact not supported,True,60
[60],2024-06-20 15:39:31.541601,False,True,[1000],Sensor contact not supported,True,60
[60],2024-06-20 15:39:32.317444,False,True,[1000],Sensor contact not supported,True,60
[60],2024-06-20 15:39:33.093556,False,True,[1000],Sensor contact not supported,True,60
,2024-06-20 15:39:33.870312,False,False,,Sensor contact not supported,True,60
[60],2024-06-20 15:39:34.646515,False,True,[1000],Sensor contact not supported,True,60
[60],2024-06-20 15:39:35.422165,False,True,[1000],Sensor contact not supported,True,60
[60],2024-06-20 15:39:36.198573,False,True,[1000],Sensor contact not supported,True,60
,2024-06-20 15:39:36.975263,False,False,,Sensor contact not supported,True,60
[60],2024-06-20 15:39:37.751606,False,True,[1000],Sensor contact not supported,True,60
[60],2024-06-20 15:39:38.528052,False,True,[1000],Sensor contact not supported,True,60
[60],2024-06-20 15:39:39.304124,False,True,[1000],Sensor contact not supported,True,60
,2024-06-20 15:39:40.079870,False,False,,Sensor contact not supported,True,60
[60],2024-06-20 15:39:40.855980,False,True,[1000],Sensor contact not supported,True,60
[60],2024-06-20 15:39:41.632318,False,True,[1000],Sensor contact not supported,True,60
[60],2024-06-20 15:39:42.408546,False,True,[1000],Sensor contact not supported,True,60
[74],2024-06-20 15:39:43.184876,False,True,[810],Sensor contact not supported,True,60
"[120, 120]",2024-06-20 15:39:44.220107,False,True,"[500, 500]",Sensor contact not supported,True,60
[120],2024-06-20 15:39:44.737606,False,True,[500],Sensor contact not supported,True,60
"[120, 120]",2024-06-20 15:39:45.513467,False,True,"[500, 500]",Sensor contact not supported,True,60
[120],2024-06-20 15:39:46.289725,False,True,[500],Sensor contact not supported,True,60
"[120, 120]",2024-06-20 15:39:47.066598,False,True,"[500, 500]",Sensor contact not supported,True,60
[120],2024-06-20 15:39:47.842169,False,True,[500],Sensor contact not supported,True,60
"[120, 120]",2024-06-20 15:39:48.618811,False,True,"[500, 500]",Sensor contact not supported,True,60
[120],2024-06-20 15:39:49.395078,False,True,[500],Sensor contact not supported,True,60
"[120, 120]",2024-06-20 15:39:50.171638,False,True,"[500, 500]",Sensor contact not supported,True,60
"[120, 120]",2024-06-20 15:39:50.947466,False,True,"[500, 500]",Sensor contact not supported,True,60
[120],2024-06-20 15:39:51.723565,False,True,[500],Sensor contact not supported,True,60
"[120, 120]",2024-06-20 15:39:52.499810,False,True,"[500, 500]",Sensor contact not supported,True,60
[120],2024-06-20 15:39:53.276555,False,True,[500],Sensor contact not supported,True,67
"[120, 120]",2024-06-20 15:39:54.052412,False,True,"[500, 500]",Sensor contact not supported,True,79
[120],2024-06-20 15:39:54.828904,False,True,[500],Sensor contact not supported,True,85
"[120, 120]",2024-06-20 15:39:55.605485,False,True,"[500, 500]",Sensor contact not supported,True,93
[120],2024-06-20 15:39:56.381096,False,True,[500],Sensor contact not supported,True,96
"[120, 120]",2024-06-20 15:39:57.157418,False,True,"[500, 500]",Sensor contact not supported,True,102
[120],2024-06-20 15:39:57.933558,False,True,[500],Sensor contact not supported,True,106
"[120, 120]",2024-06-20 15:39:58.710015,False,True,"[500, 500]",Sensor contact not supported,True,108
"[120, 120]",2024-06-20 15:39:59.486410,False,True,"[500, 500]",Sensor contact not supported,True,111
[120],2024-06-20 15:40:00.262381,False,True,[500],Sensor contact not supported,True,112
"[120, 120]",2024-06-20 15:40:01.038568,False,True,"[500, 500]",Sensor contact not supported,True,114
[120],2024-06-20 15:40:01.815580,False,True,[500],Sensor contact not supported,True,114
"[120, 120]",2024-06-20 15:40:02.591015,False,True,"[500, 500]",Sensor contact not supported,True,116
[120],2024-06-20 15:40:03.367314,False,True,[500],Sensor contact not supported,True,116
"[120, 120]",2024-06-20 15:40:04.144008,False,True,"[500, 500]",Sensor contact not supported,True,117
