rr_hr,timestamp_received,ee_status,rr_interval,rr,sensor_contact,hrv_uint8,hr
"[120, 120]",2024-06-20 15:23:32.861894,False,True,"[500, 500]",Sensor contact not supported,True,120
[120],2024-06-20 15:23:33.637490,False,True,[500],Sensor contact not supported,True,120
"[120, 120]",2024-06-20 15:23:34.414339,False,True,"[500, 500]",Sensor contact not supported,True,120
[120],2024-06-20 15:23:35.190250,False,True,[500],Sensor contact not supported,True,120
"[120, 120]",2024-06-20 15:23:35.966547,False,True,"[500, 500]",Sensor contact not supported,True,120
[120],2024-06-20 15:23:36.742978,False,True,[500],Sensor contact not supported,True,120
"[120, 120]",2024-06-20 15:23:37.519510,False,True,"[500, 500]",Sensor contact not supported,True,120
"[120, 120]",2024-06-20 15:23:38.295142,False,True,"[500, 500]",Sensor contact not supported,True,120
[120],2024-06-20 15:23:39.071470,False,True,[500],Sensor contact not supported,True,120
"[120, 120]",2024-06-20 15:23:39.847796,False,True,"[500, 500]",Sensor contact not supported,True,120
[120],2024-06-20 15:23:40.623638,False,True,[500],Sensor contact not supported,True,120
"[120, 120]",2024-06-20 15:23:41.400031,False,True,"[500, 500]",Sensor contact not supported,True,120
[120],2024-06-20 15:23:42.176891,False,True,[500],Sensor contact not supported,True,120
"[120, 120]",2024-06-20 15:23:42.953287,False,True,"[500, 500]",Sensor contact not supported,True,120
[120],2024-06-20 15:23:43.729112,False,True,[500],Sensor contact not supported,True,120
"[120, 120]",2024-06-20 15:23:44.505820,False,True,"[500, 500]",Sensor contact not supported,True,120
[120],2024-06-20 15:23:45.281241,False,True,[500],Sensor contact not supported,True,120
"[120, 120]",2024-06-20 15:23:46.058250,False,True,"[500, 500]",Sensor contact not supported,True,120
"[120, 120]",2024-06-20 15:23:46.833961,False,True,"[500, 500]",Sensor contact not supported,True,120
[120],2024-06-20 15:23:47.610873,False,True,[500],Sensor contact not supported,True,120
"[120, 120]",2024-06-20 15:23:48.386533,False,True,"[500, 500]",Sensor contact not supported,True,120
[120],2024-06-20 15:23:49.162519,False,True,[500],Sensor contact not supported,True,120
"[120, 120]",2024-06-20 15:23:49.939876,False,True,"[500, 500]",Sensor contact not supported,True,120
[120],2024-06-20 15:23:50.716222,False,True,[500],Sensor contact not supported,True,120
"[120, 120]",2024-06-20 15:23:51.491704,False,True,"[500, 500]",Sensor contact not supported,True,120
[120],2024-06-20 15:23:52.268633,False,True,[500],Sensor contact not supported,True,120
"[120, 120]",2024-06-20 15:23:53.044361,False,True,"[500, 500]",Sensor contact not supported,True,120
"[120, 120]",2024-06-20 15:23:53.820370,False,True,"[500, 500]",Sensor contact not supported,True,120
[120],2024-06-20 15:23:54.596874,False,True,[500],Sensor contact not supported,True,120
"[120, 120]",2024-06-20 15:23:55.373546,False,True,"[500, 500]",Sensor contact not supported,True,120
[120],2024-06-20 15:23:56.149867,False,True,[500],Sensor contact not supported,True,120
"[120, 264]",2024-06-20 15:23:56.926233,False,True,"[500, 227]",Sensor contact not supported,True,120
,2024-06-20 15:23:57.702148,False,False,,Sensor contact not supported,True,120
,2024-06-20 15:23:58.478192,False,False,,Sensor contact not supported,True,120
