rr_hr,timestamp_received,ee_status,rr_interval,rr,sensor_contact,hrv_uint8,hr
"[2, 952]",2024-06-20 15:27:09.956677,False,True,"[20978, 63]",Sensor contact not supported,True,60
,2024-06-20 15:27:10.732863,False,False,,Sensor contact not supported,True,60
[59],2024-06-20 15:27:11.509296,False,True,[1002],Sensor contact not supported,True,60
[60],2024-06-20 15:27:12.285710,False,True,[1000],Sensor contact not supported,True,60
[60],2024-06-20 15:27:13.061704,False,True,[1000],Sensor contact not supported,True,60
[60],2024-06-20 15:27:13.838217,False,True,[1000],Sensor contact not supported,True,60
,2024-06-20 15:27:14.614418,False,False,,Sensor contact not supported,True,60
[60],2024-06-20 15:27:15.391035,False,True,[1000],Sensor contact not supported,True,60
[60],2024-06-20 15:27:16.167375,False,True,[1000],Sensor contact not supported,True,60
[60],2024-06-20 15:27:16.943216,False,True,[1000],Sensor contact not supported,True,60
,2024-06-20 15:27:17.719733,False,False,,Sensor contact not supported,True,60
[60],2024-06-20 15:27:18.495582,False,True,[999],Sensor contact not supported,True,60
[60],2024-06-20 15:27:19.272288,False,True,[1000],Sensor contact not supported,True,60
[60],2024-06-20 15:27:20.048026,False,True,[1000],Sensor contact not supported,True,60
[60],2024-06-20 15:27:20.824679,False,True,[999],Sensor contact not supported,True,60
,2024-06-20 15:27:21.600312,False,False,,Sensor contact not supported,True,60
[60],2024-06-20 15:27:22.376706,False,True,[1000],Sensor contact not supported,True,60
[60],2024-06-20 15:27:23.152987,False,True,[1000],Sensor contact not supported,True,60
[60],2024-06-20 15:27:23.929853,False,True,[1000],Sensor contact not supported,True,60
,2024-06-20 15:27:24.705884,False,False,,Sensor contact not supported,True,60
[60],2024-06-20 15:27:25.481632,False,True,[1000],Sensor contact not supported,True,60
[60],2024-06-20 15:27:26.258448,False,True,[1000],Sensor contact not supported,True,60
[60],2024-06-20 15:27:27.034155,False,True,[1000],Sensor contact not supported,True,60
,2024-06-20 15:27:27.810810,False,False,,Sensor contact not supported,True,60
[60],2024-06-20 15:27:28.587170,False,True,[1000],Sensor contact not supported,True,60
[60],2024-06-20 15:27:29.362746,False,True,[1000],Sensor contact not supported,True,60
[60],2024-06-20 15:27:30.138880,False,True,[1000],Sensor contact not supported,True,60
[60],2024-06-20 15:27:30.915424,False,True,[1000],Sensor contact not supported,True,60
,2024-06-20 15:27:31.691677,False,False,,Sensor contact not supported,True,60
[60],2024-06-20 15:27:32.468201,False,True,[1000],Sensor contact not supported,True,60
[60],2024-06-20 15:27:33.244357,False,True,[1000],Sensor contact not supported,True,60
[60],2024-06-20 15:27:34.021079,False,True,[1000],Sensor contact not supported,True,60
,2024-06-20 15:27:34.796577,False,False,,Sensor contact not supported,True,60
[60],2024-06-20 15:27:35.572816,False,True,[1000],Sensor contact not supported,True,60
[60],2024-06-20 15:27:36.349847,False,True,[1000],Sensor contact not supported,True,60
[60],2024-06-20 15:27:37.126172,False,True,[1000],Sensor contact not supported,True,60
[60],2024-06-20 15:27:37.901682,False,True,[1000],Sensor contact not supported,True,60
,2024-06-20 15:27:38.678014,False,False,,Sensor contact not supported,True,60
[60],2024-06-20 15:27:39.454554,False,True,[1000],Sensor contact not supported,True,60
[60],2024-06-20 15:27:40.230949,False,True,[1000],Sensor contact not supported,True,60
