timestamp_received,rr,rr_interval,hr,ee_status,rr_hr,hrv_uint8,sensor_contact
2024-06-20 09:32:48.252337,[366],True,165,False,[163],True,Sensor contact not supported
2024-06-20 09:32:48.611994,[358],True,166,False,[167],True,Sensor contact not supported
2024-06-20 09:32:48.972447,[358],True,166,False,[167],True,Sensor contact not supported
2024-06-20 09:32:49.331649,[366],True,165,False,[163],True,Sensor contact not supported
2024-06-20 09:32:49.662301,[358],True,166,False,[167],True,Sensor contact not supported
2024-06-20 09:32:50.067020,[358],True,166,False,[167],True,Sensor contact not supported
2024-06-20 09:32:50.382143,[366],True,165,False,[163],True,Sensor contact not supported
2024-06-20 09:32:50.742149,[358],True,166,False,[167],True,Sensor contact not supported
2024-06-20 09:32:51.147478,[358],True,166,False,[167],True,Sensor contact not supported
2024-06-20 09:32:51.507267,[366],True,165,False,[163],True,Sensor contact not supported
2024-06-20 09:32:51.836576,[358],True,166,False,[167],True,Sensor contact not supported
2024-06-20 09:32:52.241687,[358],True,166,False,[167],True,Sensor contact not supported
2024-06-20 09:32:52.602484,[366],True,165,False,[163],True,Sensor contact not supported
2024-06-20 09:32:52.961915,[358],True,166,False,[167],True,Sensor contact not supported
2024-06-20 09:32:53.321732,[358],True,166,False,[167],True,Sensor contact not supported
2024-06-20 09:32:53.682301,[366],True,165,False,[163],True,Sensor contact not supported
2024-06-20 09:32:54.042409,[358],True,166,False,[167],True,Sensor contact not supported
2024-06-20 09:32:54.401961,[358],True,166,False,[167],True,Sensor contact not supported
2024-06-20 09:32:54.761461,[366],True,165,False,[163],True,Sensor contact not supported
2024-06-20 09:32:55.091762,[358],True,166,False,[167],True,Sensor contact not supported
2024-06-20 09:32:55.497153,[358],True,166,False,[167],True,Sensor contact not supported
2024-06-20 09:32:55.857271,[366],True,165,False,[163],True,Sensor contact not supported
2024-06-20 09:32:56.171498,[358],True,166,False,[167],True,Sensor contact not supported
2024-06-20 09:32:56.576815,[358],True,166,False,[167],True,Sensor contact not supported
2024-06-20 09:32:56.936868,[366],True,165,False,[163],True,Sensor contact not supported
2024-06-20 09:32:57.267127,[358],True,166,False,[167],True,Sensor contact not supported
2024-06-20 09:32:57.671648,[358],True,166,False,[167],True,Sensor contact not supported
2024-06-20 09:32:58.032239,[366],True,165,False,[163],True,Sensor contact not supported
2024-06-20 09:32:58.391965,[358],True,166,False,[167],True,Sensor contact not supported
2024-06-20 09:32:58.751531,[358],True,166,False,[167],True,Sensor contact not supported
