timestamp_received,hr,sensor_contact,rr,ee_status,rr_interval,rr_hr,hrv_uint8
2024-07-11 16:12:26.782111,72,Sensor contact not supported,[819],False,True,[73],True
2024-07-11 16:12:27.532136,73,Sensor contact not supported,[788],False,True,[76],True
2024-07-11 16:12:28.342119,74,Sensor contact not supported,[803],False,True,[74],True
2024-07-11 16:12:29.196622,74,Sensor contact not supported,[811],False,True,[73],True
2024-07-11 16:12:29.945981,74,Sensor contact not supported,[803],False,True,[74],True
2024-07-11 16:12:30.801787,74,Sensor contact not supported,[811],False,True,[73],True
2024-07-11 16:12:31.596678,73,Sensor contact not supported,[834],False,True,[71],True
2024-07-11 16:12:32.452087,72,Sensor contact not supported,[834],False,True,[71],True
2024-07-11 16:12:33.276363,72,Sensor contact not supported,[842],False,True,[71],True
2024-07-11 16:12:34.146685,71,Sensor contact not supported,[866],False,True,[69],True
2024-07-11 16:12:35.046443,71,Sensor contact not supported,[842],False,True,[71],True
2024-07-11 16:12:35.812108,72,Sensor contact not supported,[811],False,True,[73],True
2024-07-11 16:12:36.607114,73,Sensor contact not supported,[795],False,True,[75],True
2024-07-11 16:12:37.401715,73,Sensor contact not supported,[795],False,True,[75],True
2024-07-11 16:12:38.181467,74,Sensor contact not supported,[780],False,True,[76],True
2024-07-11 16:12:38.961466,75,Sensor contact not supported,[788],False,True,[76],True
2024-07-11 16:12:39.756690,75,Sensor contact not supported,[795],False,True,[75],True
2024-07-11 16:12:40.611471,75,Sensor contact not supported,[803],False,True,[74],True
2024-07-11 16:12:41.362141,75,Sensor contact not supported,[795],False,True,[75],True
2024-07-11 16:12:42.215787,74,Sensor contact not supported,[803],False,True,[74],True
2024-07-11 16:12:42.952064,75,Sensor contact not supported,[788],False,True,[76],True
2024-07-11 16:12:43.747151,75,Sensor contact not supported,[788],False,True,[76],True
2024-07-11 16:12:44.526542,75,Sensor contact not supported,[780],False,True,[76],True
2024-07-11 16:12:45.336469,76,Sensor contact not supported,[772],False,True,[77],True
2024-07-11 16:12:46.102089,77,Sensor contact not supported,[756],False,True,[79],True
2024-07-11 16:12:46.866436,77,Sensor contact not supported,[764],False,True,[78],True
2024-07-11 16:12:47.601715,77,Sensor contact not supported,[772],False,True,[77],True
2024-07-11 16:12:48.412094,77,Sensor contact not supported,[772],False,True,[77],True
2024-07-11 16:12:49.161719,77,Sensor contact not supported,[788],False,True,[76],True
2024-07-11 16:12:49.956701,76,Sensor contact not supported,[795],False,True,[75],True
2024-07-11 16:12:50.811944,75,Sensor contact not supported,[811],False,True,[73],True
2024-07-11 16:12:51.546511,76,Sensor contact not supported,[780],False,True,[76],True
2024-07-11 16:12:52.325983,76,Sensor contact not supported,[764],False,True,[78],True
2024-07-11 16:12:53.136438,77,Sensor contact not supported,[772],False,True,[77],True
2024-07-11 16:12:53.902148,77,Sensor contact not supported,[756],False,True,[79],True
2024-07-11 16:12:54.606472,77,Sensor contact not supported,[764],False,True,[78],True
2024-07-11 16:12:55.416539,78,Sensor contact not supported,[764],False,True,[78],True
2024-07-11 16:12:56.152508,77,Sensor contact not supported,[772],False,True,[77],True
2024-07-11 16:12:56.962054,78,Sensor contact not supported,[764],False,True,[78],True
2024-07-11 16:12:57.726530,78,Sensor contact not supported,[764],False,True,[78],True
2024-07-11 16:12:58.432501,78,Sensor contact not supported,[756],False,True,[79],True
2024-07-11 16:12:59.242048,79,Sensor contact not supported,[750],False,True,[80],True
2024-07-11 16:12:59.947134,79,Sensor contact not supported,[750],False,True,[80],True
2024-07-11 16:13:00.697021,79,Sensor contact not supported,[750],False,True,[80],True
2024-07-11 16:13:01.446703,79,Sensor contact not supported,[756],False,True,[79],True
2024-07-11 16:13:02.196445,79,Sensor contact not supported,[750],False,True,[80],True
2024-07-11 16:13:02.946660,80,Sensor contact not supported,[741],False,True,[80],True
2024-07-11 16:13:03.682200,80,Sensor contact not supported,[733],False,True,[81],True
2024-07-11 16:13:04.447176,81,Sensor contact not supported,[725],False,True,[82],True
2024-07-11 16:13:05.166009,81,Sensor contact not supported,[725],False,True,[82],True
2024-07-11 16:13:05.856702,82,Sensor contact not supported,[717],False,True,[83],True
2024-07-11 16:13:06.591717,81,Sensor contact not supported,[741],False,True,[80],True
