hr,rr_hr,timestamp_received,ee_status,hrv_uint8,sensor_contact,rr_interval,rr
120,[120],2024-07-11 16:36:14.794895,False,True,Sensor contact not supported,True,[500]
120,[120],2024-07-11 16:36:15.260209,False,True,Sensor contact not supported,True,[500]
120,[120],2024-07-11 16:36:15.815364,False,True,Sensor contact not supported,True,[500]
120,[120],2024-07-11 16:36:16.249692,False,True,Sensor contact not supported,True,[500]
120,[120],2024-07-11 16:36:16.774810,False,True,Sensor contact not supported,True,[500]
120,[120],2024-07-11 16:36:17.300248,False,True,Sensor contact not supported,True,[500]
120,[120],2024-07-11 16:36:17.795261,False,True,Sensor contact not supported,True,[500]
120,[120],2024-07-11 16:36:18.260257,False,True,Sensor contact not supported,True,[500]
120,[120],2024-07-11 16:36:18.755344,False,True,Sensor contact not supported,True,[500]
120,[120],2024-07-11 16:36:19.265033,False,True,Sensor contact not supported,True,[500]
120,[120],2024-07-11 16:36:19.805650,False,True,Sensor contact not supported,True,[500]
120,[120],2024-07-11 16:36:20.299990,False,True,Sensor contact not supported,True,[500]
120,[120],2024-07-11 16:36:20.794852,False,True,Sensor contact not supported,True,[500]
120,[120],2024-07-11 16:36:21.260228,False,True,Sensor contact not supported,True,[500]
120,[120],2024-07-11 16:36:21.755635,False,True,Sensor contact not supported,True,[500]
120,[120],2024-07-11 16:36:22.295008,False,True,Sensor contact not supported,True,[500]
120,[120],2024-07-11 16:36:22.760104,False,True,Sensor contact not supported,True,[500]
120,[120],2024-07-11 16:36:23.254986,False,True,Sensor contact not supported,True,[500]
120,[120],2024-07-11 16:36:23.750207,False,True,Sensor contact not supported,True,[500]
120,[120],2024-07-11 16:36:24.260188,False,True,Sensor contact not supported,True,[500]
120,[120],2024-07-11 16:36:24.800117,False,True,Sensor contact not supported,True,[500]
120,[120],2024-07-11 16:36:25.250224,False,True,Sensor contact not supported,True,[500]
120,[120],2024-07-11 16:36:25.760091,False,True,Sensor contact not supported,True,[500]
120,[120],2024-07-11 16:36:26.315317,False,True,Sensor contact not supported,True,[500]
120,[120],2024-07-11 16:36:26.750318,False,True,Sensor contact not supported,True,[500]
120,[120],2024-07-11 16:36:27.260427,False,True,Sensor contact not supported,True,[500]
120,[120],2024-07-11 16:36:27.799568,False,True,Sensor contact not supported,True,[500]
120,[120],2024-07-11 16:36:28.249898,False,True,Sensor contact not supported,True,[500]
120,[120],2024-07-11 16:36:28.804638,False,True,Sensor contact not supported,True,[500]
120,[120],2024-07-11 16:36:29.254833,False,True,Sensor contact not supported,True,[500]
120,[120],2024-07-11 16:36:29.795021,False,True,Sensor contact not supported,True,[500]
120,[120],2024-07-11 16:36:30.259904,False,True,Sensor contact not supported,True,[500]
120,[120],2024-07-11 16:36:30.799628,False,True,Sensor contact not supported,True,[500]
120,[120],2024-07-11 16:36:31.249706,False,True,Sensor contact not supported,True,[500]
120,[120],2024-07-11 16:36:31.759757,False,True,Sensor contact not supported,True,[500]
120,[120],2024-07-11 16:36:32.299676,False,True,Sensor contact not supported,True,[500]
120,[120],2024-07-11 16:36:32.795151,False,True,Sensor contact not supported,True,[500]
120,[120],2024-07-11 16:36:33.260146,False,True,Sensor contact not supported,True,[500]
120,[120],2024-07-11 16:36:33.799376,False,True,Sensor contact not supported,True,[500]
120,[120],2024-07-11 16:36:34.310123,False,True,Sensor contact not supported,True,[500]
120,[120],2024-07-11 16:36:34.760052,False,True,Sensor contact not supported,True,[500]
120,[120],2024-07-11 16:36:35.300121,False,True,Sensor contact not supported,True,[500]
120,[120],2024-07-11 16:36:35.794827,False,True,Sensor contact not supported,True,[500]
120,[120],2024-07-11 16:36:36.259696,False,True,Sensor contact not supported,True,[500]
120,[120],2024-07-11 16:36:36.799678,False,True,Sensor contact not supported,True,[500]
120,[120],2024-07-11 16:36:37.294300,False,True,Sensor contact not supported,True,[500]
120,[62],2024-07-11 16:36:38.239746,False,True,Sensor contact not supported,True,[967]
120,[60],2024-07-11 16:36:39.244861,False,True,Sensor contact not supported,True,[1000]
120,[60],2024-07-11 16:36:40.279873,False,True,Sensor contact not supported,True,[1000]
120,[60],2024-07-11 16:36:41.239217,False,True,Sensor contact not supported,True,[1000]
120,[60],2024-07-11 16:36:42.259996,False,True,Sensor contact not supported,True,[1000]
120,[60],2024-07-11 16:36:43.235111,False,True,Sensor contact not supported,True,[1000]
120,[60],2024-07-11 16:36:44.239798,False,True,Sensor contact not supported,True,[1000]
120,[60],2024-07-11 16:36:45.245055,False,True,Sensor contact not supported,True,[1000]
120,[60],2024-07-11 16:36:46.234397,False,True,Sensor contact not supported,True,[1000]
120,[60],2024-07-11 16:36:47.239983,False,True,Sensor contact not supported,True,[1000]
120,[60],2024-07-11 16:36:48.289770,False,True,Sensor contact not supported,True,[1000]
