rr,rr_interval,timestamp_received,hr,hrv_uint8,sensor_contact,ee_status,rr_hr
[366],True,2024-06-19 14:52:19.537093,163,True,Sensor contact not supported,False,[163]
[413],True,2024-06-19 14:52:20.001483,160,True,Sensor contact not supported,False,[145]
[500],True,2024-06-19 14:52:20.541791,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:52:21.037352,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:52:21.501558,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:52:22.041628,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:52:22.537301,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:52:23.002253,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:52:23.541661,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:52:24.036706,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:52:24.501482,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:52:25.041502,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:52:25.507126,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:52:26.046543,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:52:26.541605,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:52:27.007204,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:52:27.547000,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:52:28.042043,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:52:28.507233,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:52:29.046975,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:52:29.541681,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:52:30.007256,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:52:30.502081,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:52:31.041818,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:52:31.506938,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:52:32.046538,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:52:32.542092,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:52:33.007313,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:52:33.547356,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:52:34.041400,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:52:34.506375,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:52:35.046383,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:52:35.541551,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:52:36.007083,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:52:36.502263,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:52:37.041619,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:52:37.506614,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:52:38.047294,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:52:38.542082,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:52:39.006561,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:52:39.501515,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:52:40.041674,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:52:40.507098,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:52:41.046809,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:52:41.542288,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:52:42.006624,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:52:42.547047,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:52:43.041576,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:52:43.551381,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:52:44.047294,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:52:44.542297,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:52:45.007268,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:52:45.546420,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:52:46.041352,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:52:46.506688,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:52:47.046512,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:52:47.541991,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:52:48.006828,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:52:48.547207,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:52:48.996427,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:52:49.521850,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:52:50.001645,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:52:50.541312,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:52:51.006640,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:52:51.547072,120,True,Sensor contact not supported,False,[120]
