rr,rr_interval,timestamp_received,hr,hrv_uint8,sensor_contact,ee_status,rr_hr
[500],True,2024-06-19 14:58:39.579878,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:58:40.074699,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:58:40.569964,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:58:41.034984,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:58:41.529684,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:58:42.069657,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:58:42.579708,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:58:43.074749,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:58:43.584735,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:58:44.035160,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:58:44.575265,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:58:45.069711,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:58:45.595078,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:58:46.029603,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:58:46.569811,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:58:47.035472,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:58:47.574744,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:58:48.070355,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:58:48.534646,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:58:49.075276,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:58:49.569686,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:58:50.035504,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:58:50.575302,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:58:51.070135,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:58:51.534835,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:58:52.075316,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:58:52.569955,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:58:53.035190,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:58:53.574679,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:58:54.070226,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:58:54.535195,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:58:55.074780,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:58:55.585039,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:58:56.079924,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:58:56.575486,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:58:57.070321,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:58:57.535378,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:58:58.075020,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:58:58.570020,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:58:59.035386,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:58:59.530244,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:59:00.070161,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:59:00.535254,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:59:01.074780,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:59:01.570239,120,True,Sensor contact not supported,False,[120]
[491],True,2024-06-19 14:59:02.019698,120,True,Sensor contact not supported,False,[122]
[889],True,2024-06-19 14:59:02.935335,120,True,Sensor contact not supported,False,[67]
[1000],True,2024-06-19 14:59:03.969938,120,True,Sensor contact not supported,False,[60]
