rr,rr_interval,timestamp_received,hr,hrv_uint8,sensor_contact,ee_status,rr_hr
[366],True,2024-06-19 14:41:56.359667,163,True,Sensor contact not supported,False,[163]
[256],True,2024-06-19 14:41:56.644144,171,True,Sensor contact not supported,False,[234]
[983],True,2024-06-19 14:41:57.649256,61,True,Sensor contact not supported,False,[61]
[1000],True,2024-06-19 14:41:58.654592,60,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:41:59.644321,60,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:42:00.649941,60,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:42:01.654031,60,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:42:02.659866,60,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:42:03.664404,60,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:42:04.669614,60,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:42:05.674418,60,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:42:06.664322,60,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:42:07.669322,60,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:42:08.704264,60,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:42:09.709324,60,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:42:10.669263,60,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:42:11.674027,60,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:42:12.709754,60,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:42:13.714414,60,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:42:14.704127,60,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:42:15.709654,60,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:42:16.669819,60,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:42:17.704877,60,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:42:18.664410,60,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:42:19.669358,60,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:42:20.704663,60,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:42:21.709397,60,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:42:22.714596,60,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:42:23.704602,60,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:42:24.708946,60,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:42:25.714159,60,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:42:26.659575,60,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:42:27.664273,60,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:42:28.669537,60,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:42:29.674640,60,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:42:30.709716,60,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:42:31.669041,60,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:42:32.704536,60,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:42:33.709372,60,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:42:34.714160,60,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:42:35.704242,60,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:42:36.709432,60,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:42:37.669567,60,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:42:38.703972,60,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:42:39.709013,60,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:42:40.669866,60,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:42:41.674006,60,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:42:42.664205,60,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:42:43.668963,60,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:42:44.704711,60,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:42:45.664667,60,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:42:46.669493,60,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:42:47.704136,60,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:42:48.709754,60,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:42:49.669063,60,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:42:50.704812,60,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:42:51.664147,60,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:42:52.669843,60,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:42:53.704643,60,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:42:54.664273,60,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:42:55.669697,60,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:42:56.674830,60,True,Sensor contact not supported,False,[60]
[538],True,2024-06-19 14:42:57.184359,60,True,Sensor contact not supported,False,[111]
[500],True,2024-06-19 14:42:57.738978,60,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:42:58.234654,60,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:42:58.729588,60,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:42:59.194334,60,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:42:59.734047,60,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:43:00.229634,60,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:43:00.694399,60,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:43:01.234820,60,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:43:01.728972,60,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:43:02.193980,60,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:43:02.734198,60,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:43:03.228988,60,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:43:03.694120,60,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:43:04.234081,60,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:43:04.729741,65,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:43:05.194263,73,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:43:05.734827,81,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:43:06.229865,88,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:43:06.694507,94,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:43:07.234330,100,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:43:07.729222,106,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:43:08.194564,110,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:43:08.734211,113,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:43:09.229401,115,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:43:09.693958,116,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:43:10.234248,117,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:43:10.729268,118,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:43:11.194524,118,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:43:11.734612,119,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:43:12.229312,119,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:43:12.694602,119,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:43:13.234448,119,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:43:13.729274,119,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:43:14.194198,119,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:43:14.734255,119,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:43:15.184231,119,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:43:15.693869,119,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:43:16.234813,119,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:43:16.729746,119,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:43:17.239522,119,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:43:17.734699,119,True,Sensor contact not supported,False,[120]
