sensor_contact,timestamp_received,rr,hr,rr_hr,hrv_uint8,rr_interval,ee_status
Sensor contact not supported,2024-06-19 10:34:10.425379,"[500, 500]",120,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:34:11.423782,"[500, 500]",120,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:34:12.420140,"[500, 500]",120,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:34:13.418025,"[500, 500]",120,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:34:14.413322,"[500, 500]",120,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:34:15.410076,"[500, 500]",120,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:34:16.413853,"[500, 500]",120,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:34:17.411787,"[500, 500]",120,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:34:18.404604,"[500, 437, 333]",120,"[120, 137, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:34:19.400841,"[333, 333, 333]",122,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:34:20.403784,"[333, 333, 333]",136,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:34:21.401571,"[333, 333, 333]",167,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:34:22.397861,"[333, 333, 333]",174,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:34:23.397604,"[333, 333, 333]",177,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:34:24.386555,"[333, 333, 333]",178,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:34:25.392397,"[333, 333, 333]",179,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:34:26.385953,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:34:27.379891,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
