sensor_contact,timestamp_received,rr,hr,rr_hr,hrv_uint8,rr_interval,ee_status
Sensor contact not supported,2024-06-19 10:39:05.188535,,0,,True,False,False
Sensor contact not supported,2024-06-19 10:39:06.190638,"[500, 500, 22651]",120,"[120, 120, 2]",True,True,False
Sensor contact not supported,2024-06-19 10:39:07.187801,[347],120,[172],True,True,False
Sensor contact not supported,2024-06-19 10:39:08.179685,"[500, 500]",120,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:39:09.177222,"[500, 498]",120,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:39:10.178480,"[499, 499]",120,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:39:11.178609,"[500, 500]",120,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:39:12.176191,"[500, 500]",120,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:39:13.171726,"[500, 500]",120,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:39:14.170451,"[500, 500]",120,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:39:15.164064,"[500, 500]",120,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:39:16.161698,"[500, 500]",120,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:39:17.159600,"[500, 500]",120,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:39:18.160028,"[500, 500]",120,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:39:19.152371,"[500, 500]",120,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:39:20.150641,"[500, 500]",120,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:39:22.151759,"[500, 500]",120,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:39:22.151759,"[500, 500]",120,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:39:23.142136,"[500, 500]",120,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:39:24.146135,"[500, 500]",120,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:39:25.138443,"[500, 500]",120,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:39:26.134713,"[500, 500]",120,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:39:27.131474,"[500, 500]",120,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:39:28.129828,"[500, 500]",120,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:39:29.129721,"[500, 500]",120,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:39:30.131591,"[500, 500]",120,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:39:31.123087,"[500, 500]",120,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:39:33.124602,"[500, 500]",120,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:39:33.124602,"[500, 500]",120,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:39:34.114418,"[500, 500]",120,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:39:35.112009,"[500, 500]",120,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:39:36.110860,"[500, 500]",120,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:39:37.107909,"[500, 500]",120,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:39:38.109258,"[500, 500]",120,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:39:39.108603,"[500, 500]",120,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:39:40.101248,"[500, 500]",120,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:39:42.100753,"[500, 500]",120,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:39:42.103316,"[500, 500]",120,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:39:43.093896,"[500, 500]",120,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:39:44.096262,"[500, 500]",120,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:39:45.087842,"[500, 500]",120,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:39:46.083688,"[500, 500]",120,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:39:47.081802,"[500, 500]",120,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:39:48.085558,"[500, 500]",120,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:39:49.083363,"[500, 500]",120,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:39:50.078599,"[500, 500]",120,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:39:51.074059,"[500, 500]",120,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:39:52.068965,"[500, 500]",120,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:39:53.073651,"[500, 500]",120,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:39:54.066535,"[500, 500]",120,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:39:55.068327,"[500, 500]",120,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:39:56.060105,"[500, 500]",120,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:39:57.061736,"[500, 500]",120,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:39:58.057185,"[500, 500]",120,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:39:59.057923,"[500, 500]",120,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:40:00.053098,"[500, 500]",120,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:40:02.050659,"[500, 500]",120,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:40:02.051699,"[500, 500]",120,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:40:03.047782,"[500, 500]",120,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:40:04.045495,"[500, 500]",120,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:40:05.036449,"[500, 500]",120,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:40:06.036810,"[500, 500, 500]",120,"[120, 120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:40:07.034213,"[419, 333, 333]",120,"[143, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:40:08.032428,"[333, 333, 333]",123,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:40:09.030187,"[333, 333, 333]",154,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:40:10.027386,"[333, 333, 333]",170,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:40:11.526743,"[333, 333, 333]",175,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:40:12.525346,"[333, 333, 333]",178,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:40:13.522199,"[333, 333, 333]",179,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:40:15.517994,"[333, 333, 333]",179,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:40:15.517994,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:40:16.509922,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:40:17.512326,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:40:18.502932,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:40:19.506492,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
