sensor_contact,rr,rr_hr,rr_interval,timestamp_received,hrv_uint8,hr,ee_status
Sensor contact not supported,"[500, 500]","[120, 120]",True,2024-06-19 10:50:39.487653,True,120,False
Sensor contact not supported,"[500, 500]","[120, 120]",True,2024-06-19 10:50:40.481710,True,120,False
Sensor contact not supported,"[500, 500]","[120, 120]",True,2024-06-19 10:50:41.480885,True,120,False
Sensor contact not supported,"[500, 500]","[120, 120]",True,2024-06-19 10:50:42.480704,True,120,False
Sensor contact not supported,"[500, 500]","[120, 120]",True,2024-06-19 10:50:43.482124,True,120,False
Sensor contact not supported,"[500, 500]","[120, 120]",True,2024-06-19 10:50:44.479902,True,120,False
Sensor contact not supported,"[500, 478, 333]","[120, 125, 180]",True,2024-06-19 10:50:45.472294,True,120,False
Sensor contact not supported,"[333, 333, 333]","[180, 180, 180]",True,2024-06-19 10:50:46.468422,True,122,False
Sensor contact not supported,"[333, 333, 333]","[180, 180, 180]",True,2024-06-19 10:50:47.469320,True,136,False
Sensor contact not supported,"[333, 333, 333]","[180, 180, 180]",True,2024-06-19 10:50:48.462522,True,167,False
Sensor contact not supported,"[333, 333, 333]","[180, 180, 180]",True,2024-06-19 10:50:49.463761,True,174,False
Sensor contact not supported,"[333, 333, 333]","[180, 180, 180]",True,2024-06-19 10:50:50.460436,True,177,False
Sensor contact not supported,"[333, 333, 333]","[180, 180, 180]",True,2024-06-19 10:50:51.456113,True,178,False
Sensor contact not supported,"[333, 333, 333]","[180, 180, 180]",True,2024-06-19 10:50:52.454958,True,179,False
Sensor contact not supported,"[333, 333, 333]","[180, 180, 180]",True,2024-06-19 10:50:53.457288,True,180,False
Sensor contact not supported,"[333, 333, 333]","[180, 180, 180]",True,2024-06-19 10:50:54.454312,True,180,False
Sensor contact not supported,"[333, 333, 333]","[180, 180, 180]",True,2024-06-19 10:50:55.451226,True,180,False
Sensor contact not supported,"[333, 333, 333]","[180, 180, 180]",True,2024-06-19 10:50:56.441882,True,180,False
Sensor contact not supported,"[333, 333, 333]","[180, 180, 180]",True,2024-06-19 10:50:57.440147,True,180,False
Sensor contact not supported,"[333, 333, 333]","[180, 180, 180]",True,2024-06-19 10:50:58.444712,True,180,False
Sensor contact not supported,"[333, 333, 333]","[180, 180, 180]",True,2024-06-19 10:50:59.441688,True,180,False
Sensor contact not supported,"[333, 333, 333]","[180, 180, 180]",True,2024-06-19 10:51:00.432463,True,180,False
Sensor contact not supported,"[333, 333, 333]","[180, 180, 180]",True,2024-06-19 10:51:01.436503,True,180,False
Sensor contact not supported,"[333, 333, 333]","[180, 180, 180]",True,2024-06-19 10:51:02.428408,True,180,False
Sensor contact not supported,"[333, 333, 333]","[180, 180, 180]",True,2024-06-19 10:51:03.425055,True,180,False
Sensor contact not supported,"[333, 333, 333]","[180, 180, 180]",True,2024-06-19 10:51:04.429068,True,180,False
Sensor contact not supported,"[333, 333, 333]","[180, 180, 180]",True,2024-06-19 10:51:05.423595,True,180,False
Sensor contact not supported,"[333, 333, 333]","[180, 180, 180]",True,2024-06-19 10:51:06.424423,True,180,False
Sensor contact not supported,"[333, 333, 333]","[180, 180, 180]",True,2024-06-19 10:51:07.419546,True,180,False
Sensor contact not supported,"[333, 333, 333]","[180, 180, 180]",True,2024-06-19 10:51:08.419403,True,180,False
Sensor contact not supported,"[333, 333, 333]","[180, 180, 180]",True,2024-06-19 10:51:09.412047,True,180,False
Sensor contact not supported,"[333, 333, 333]","[180, 180, 180]",True,2024-06-19 10:51:10.410650,True,180,False
Sensor contact not supported,"[333, 333, 333]","[180, 180, 180]",True,2024-06-19 10:51:11.412012,True,180,False
Sensor contact not supported,"[333, 333, 333]","[180, 180, 180]",True,2024-06-19 10:51:12.408794,True,180,False
Sensor contact not supported,"[333, 333, 333]","[180, 180, 180]",True,2024-06-19 10:51:13.402880,True,180,False
Sensor contact not supported,"[333, 333, 333]","[180, 180, 180]",True,2024-06-19 10:51:14.404038,True,180,False
Sensor contact not supported,"[333, 333, 333]","[180, 180, 180]",True,2024-06-19 10:51:15.401798,True,180,False
Sensor contact not supported,"[333, 333, 333]","[180, 180, 180]",True,2024-06-19 10:51:16.398846,True,180,False
Sensor contact not supported,"[333, 333, 333]","[180, 180, 180]",True,2024-06-19 10:51:17.396302,True,180,False
