ee_status,hrv_uint8,sensor_contact,hr,rr_hr,rr_interval,rr,timestamp_received
False,True,Contact detected,120,,False,,2024-08-13 14:25:27.534512
False,True,Contact detected,120,,False,,2024-08-13 14:25:28.493947
False,True,Contact detected,120,,False,,2024-08-13 14:25:29.514260
False,True,Contact detected,120,,False,,2024-08-13 14:25:30.503616
False,True,Contact detected,120,,False,,2024-08-13 14:25:31.493927
False,True,Contact detected,120,,False,,2024-08-13 14:25:32.514240
False,True,Contact detected,120,,False,,2024-08-13 14:25:33.503596
False,True,Contact detected,120,,False,,2024-08-13 14:25:34.493925
False,True,Contact detected,120,,False,,2024-08-13 14:25:35.515218
False,True,Contact detected,120,,False,,2024-08-13 14:25:36.503577
False,True,Contact detected,120,,False,,2024-08-13 14:25:37.493929
False,True,Contact detected,120,[61],True,[977],2024-08-13 14:25:38.514162
False,True,Contact detected,120,,False,,2024-08-13 14:25:39.503559
False,True,Contact detected,120,[61],True,[977],2024-08-13 14:25:40.493910
False,True,Contact detected,120,"[61, 61]",True,"[973, 977]",2024-08-13 14:25:41.514183
False,True,Contact detected,120,,False,,2024-08-13 14:25:42.503554
False,True,Contact detected,120,[61],True,[977],2024-08-13 14:25:43.493891
False,True,Contact detected,120,[61],True,[977],2024-08-13 14:25:44.514164
False,True,Contact detected,120,[61],True,[977],2024-08-13 14:25:45.503519
False,True,Contact detected,113,"[61, 61]",True,"[973, 977]",2024-08-13 14:25:46.493877
False,True,Contact detected,113,,False,,2024-08-13 14:25:47.514145
False,True,Contact detected,107,[61],True,[977],2024-08-13 14:25:48.533424
False,True,Contact detected,90,"[61, 61]",True,"[977, 977]",2024-08-13 14:25:49.523733
False,True,Contact detected,90,,False,,2024-08-13 14:25:50.514127
False,True,Contact detected,80,[61],True,[973],2024-08-13 14:25:51.503482
False,True,Contact detected,65,"[61, 61]",True,"[977, 977]",2024-08-13 14:25:52.493834
False,True,Contact detected,65,,False,,2024-08-13 14:25:53.514068
False,True,Contact detected,62,[61],True,[977],2024-08-13 14:25:54.504492
False,True,Contact detected,61,"[61, 61]",True,"[973, 977]",2024-08-13 14:25:55.493775
False,True,Contact detected,61,,False,,2024-08-13 14:25:56.514049
False,True,Contact detected,60,"[61, 61]",True,"[977, 977]",2024-08-13 14:25:57.503444
False,True,Contact detected,60,,False,,2024-08-13 14:25:58.493756
False,True,Contact detected,60,[61],True,[977],2024-08-13 14:25:59.543949
False,True,Contact detected,60,"[61, 61]",True,"[973, 977]",2024-08-13 14:26:00.503448
False,True,Contact detected,60,,False,,2024-08-13 14:26:01.493782
False,True,Contact detected,60,[61],True,[977],2024-08-13 14:26:02.514011
False,True,Contact detected,60,"[61, 61]",True,"[977, 977]",2024-08-13 14:26:03.503429
False,True,Contact detected,60,,False,,2024-08-13 14:26:04.493763
False,True,Contact detected,60,[61],True,[973],2024-08-13 14:26:05.513992
False,True,Contact detected,60,"[61, 61]",True,"[977, 977]",2024-08-13 14:26:06.503386
False,True,Contact detected,60,,False,,2024-08-13 14:26:07.493744
False,True,Contact detected,60,[61],True,[977],2024-08-13 14:26:08.484052
False,True,Contact detected,60,"[61, 61]",True,"[973, 977]",2024-08-13 14:26:09.503368
False,True,Contact detected,60,,False,,2024-08-13 14:26:10.493730
False,True,Contact detected,60,"[61, 61]",True,"[977, 977]",2024-08-13 14:26:11.513952
False,True,Contact detected,60,,False,,2024-08-13 14:26:12.503349
False,True,Contact detected,60,[61],True,[977],2024-08-13 14:26:13.493554
False,True,Contact detected,60,"[61, 61]",True,"[973, 977]",2024-08-13 14:26:14.483906
False,True,Contact detected,60,,False,,2024-08-13 14:26:15.504180
False,True,Contact detected,60,[61],True,[977],2024-08-13 14:26:16.493534
False,True,Contact detected,60,"[61, 61]",True,"[977, 977]",2024-08-13 14:26:17.483888
False,True,Contact detected,60,,False,,2024-08-13 14:26:18.504160
False,True,Contact detected,60,[61],True,[973],2024-08-13 14:26:19.493516
False,True,Contact detected,60,"[61, 61]",True,"[977, 977]",2024-08-13 14:26:20.483868
False,True,Contact detected,60,,False,,2024-08-13 14:26:21.534061
