rr_interval,timestamp_received,rr,sensor_contact,rr_hr,hr,hrv_uint8,ee_status
True,2024-06-20 08:49:11.484806,[366],Sensor contact not supported,[163],163,True,False
True,2024-06-20 08:49:11.829905,[327],Sensor contact not supported,[183],165,True,False
True,2024-06-20 08:49:12.654640,[834],Sensor contact not supported,[71],153,True,False
True,2024-06-20 08:49:13.494944,[834],Sensor contact not supported,[71],142,True,False
True,2024-06-20 08:49:14.334655,[827],Sensor contact not supported,[72],134,True,False
True,2024-06-20 08:49:15.160535,[834],Sensor contact not supported,[71],126,True,False
True,2024-06-20 08:49:15.999789,[834],Sensor contact not supported,[71],119,True,False
True,2024-06-20 08:49:16.839904,[827],Sensor contact not supported,[72],113,True,False
True,2024-06-20 08:49:17.664966,[834],Sensor contact not supported,[71],107,True,False
True,2024-06-20 08:49:18.489780,[834],Sensor contact not supported,[71],103,True,False
True,2024-06-20 08:49:19.330437,[827],Sensor contact not supported,[72],99,True,False
True,2024-06-20 08:49:20.155009,[834],Sensor contact not supported,[71],95,True,False
True,2024-06-20 08:49:20.995367,[834],Sensor contact not supported,[71],92,True,False
True,2024-06-20 08:49:21.834798,[827],Sensor contact not supported,[72],90,True,False
True,2024-06-20 08:49:22.659759,[834],Sensor contact not supported,[71],87,True,False
True,2024-06-20 08:49:23.499531,[834],Sensor contact not supported,[71],85,True,False
True,2024-06-20 08:49:24.339799,[827],Sensor contact not supported,[72],72,True,False
True,2024-06-20 08:49:25.210303,[834],Sensor contact not supported,[71],72,True,False
True,2024-06-20 08:49:25.989736,[834],Sensor contact not supported,[71],72,True,False
True,2024-06-20 08:49:26.829933,[827],Sensor contact not supported,[72],72,True,False
True,2024-06-20 08:49:27.654956,[834],Sensor contact not supported,[71],72,True,False
True,2024-06-20 08:49:28.495252,[834],Sensor contact not supported,[71],72,True,False
True,2024-06-20 08:49:29.335229,[827],Sensor contact not supported,[72],72,True,False
True,2024-06-20 08:49:30.159796,[834],Sensor contact not supported,[71],72,True,False
True,2024-06-20 08:49:30.999850,[834],Sensor contact not supported,[71],72,True,False
True,2024-06-20 08:49:31.825374,[827],Sensor contact not supported,[72],72,True,False
True,2024-06-20 08:49:32.665330,[834],Sensor contact not supported,[71],72,True,False
True,2024-06-20 08:49:33.490223,[834],Sensor contact not supported,[71],72,True,False
