hrv_uint8,timestamp_received,ee_status,sensor_contact,hr,rr,rr_hr,rr_interval
True,2024-07-11 15:37:21.745723,False,Sensor contact not supported,163,[366],[163],True
True,2024-07-11 15:37:22.345381,False,Sensor contact not supported,156,[545],[110],True
True,2024-07-11 15:37:23.185042,False,Sensor contact not supported,145,[827],[72],True
True,2024-07-11 15:37:24.010463,False,Sensor contact not supported,136,[834],[71],True
True,2024-07-11 15:37:24.849998,False,Sensor contact not supported,128,[834],[71],True
True,2024-07-11 15:37:25.691310,False,Sensor contact not supported,121,[827],[72],True
True,2024-07-11 15:37:26.530206,False,Sensor contact not supported,115,[834],[71],True
True,2024-07-11 15:37:27.370250,False,Sensor contact not supported,110,[834],[71],True
True,2024-07-11 15:37:28.225216,False,Sensor contact not supported,105,[827],[72],True
True,2024-07-11 15:37:29.004915,False,Sensor contact not supported,100,[834],[71],True
True,2024-07-11 15:37:29.845416,False,Sensor contact not supported,97,[834],[71],True
True,2024-07-11 15:37:30.685310,False,Sensor contact not supported,93,[827],[72],True
True,2024-07-11 15:37:31.510604,False,Sensor contact not supported,91,[834],[71],True
True,2024-07-11 15:37:32.364842,False,Sensor contact not supported,88,[834],[71],True
True,2024-07-11 15:37:33.234874,False,Sensor contact not supported,86,[827],[72],True
True,2024-07-11 15:37:34.015446,False,Sensor contact not supported,85,[834],[71],True
True,2024-07-11 15:37:34.854774,False,Sensor contact not supported,71,[834],[71],True
True,2024-07-11 15:37:35.694754,False,Sensor contact not supported,72,[827],[72],True
True,2024-07-11 15:37:36.520706,False,Sensor contact not supported,72,[834],[71],True
True,2024-07-11 15:37:37.389801,False,Sensor contact not supported,72,[834],[71],True
True,2024-07-11 15:37:38.185904,False,Sensor contact not supported,72,[827],[72],True
True,2024-07-11 15:37:39.055070,False,Sensor contact not supported,72,[834],[71],True
True,2024-07-11 15:37:39.850494,False,Sensor contact not supported,72,[834],[71],True
True,2024-07-11 15:37:40.690287,False,Sensor contact not supported,72,[827],[72],True
True,2024-07-11 15:37:41.515238,False,Sensor contact not supported,72,[834],[71],True
True,2024-07-11 15:37:42.354890,False,Sensor contact not supported,72,[834],[71],True
True,2024-07-11 15:37:43.180379,False,Sensor contact not supported,72,[827],[72],True
True,2024-07-11 15:37:44.005556,False,Sensor contact not supported,72,[834],[71],True
True,2024-07-11 15:37:44.889755,False,Sensor contact not supported,72,[834],[71],True
True,2024-07-11 15:37:45.685293,False,Sensor contact not supported,72,[827],[72],True
True,2024-07-11 15:37:46.510050,False,Sensor contact not supported,72,[834],[71],True
True,2024-07-11 15:37:47.350100,False,Sensor contact not supported,72,[834],[71],True
True,2024-07-11 15:37:48.190273,False,Sensor contact not supported,72,[827],[72],True
True,2024-07-11 15:37:49.015368,False,Sensor contact not supported,72,[834],[71],True
True,2024-07-11 15:37:49.855060,False,Sensor contact not supported,72,[834],[71],True
