hrv_uint8,timestamp_received,ee_status,sensor_contact,hr,rr,rr_hr,rr_interval
True,2024-07-11 15:45:22.369505,False,Sensor contact not supported,124,[491],[122],True
True,2024-07-11 15:45:22.925079,False,Sensor contact not supported,122,[500],[120],True
True,2024-07-11 15:45:23.419940,False,Sensor contact not supported,121,[506],[118],True
True,2024-07-11 15:45:23.884220,False,Sensor contact not supported,120,[506],[118],True
True,2024-07-11 15:45:24.395308,False,Sensor contact not supported,119,[514],[116],True
True,2024-07-11 15:45:24.920469,False,Sensor contact not supported,118,[514],[116],True
True,2024-07-11 15:45:25.445190,False,Sensor contact not supported,117,[522],[114],True
True,2024-07-11 15:45:25.969737,False,Sensor contact not supported,116,[530],[113],True
True,2024-07-11 15:45:26.554969,False,Sensor contact not supported,115,[530],[113],True
True,2024-07-11 15:45:27.094664,False,Sensor contact not supported,113,[545],[110],True
True,2024-07-11 15:45:27.634956,False,Sensor contact not supported,112,[538],[111],True
True,2024-07-11 15:45:28.145115,False,Sensor contact not supported,111,[553],[108],True
True,2024-07-11 15:45:28.699982,False,Sensor contact not supported,110,[553],[108],True
True,2024-07-11 15:45:29.255045,False,Sensor contact not supported,109,[561],[106],True
True,2024-07-11 15:45:29.854595,False,Sensor contact not supported,109,[553],[108],True
True,2024-07-11 15:45:30.364727,False,Sensor contact not supported,108,[553],[108],True
True,2024-07-11 15:45:30.949892,False,Sensor contact not supported,109,[538],[111],True
True,2024-07-11 15:45:31.489985,False,Sensor contact not supported,110,[530],[113],True
True,2024-07-11 15:45:31.970053,False,Sensor contact not supported,111,[530],[113],True
True,2024-07-11 15:45:32.494889,False,Sensor contact not supported,112,[522],[114],True
True,2024-07-11 15:45:33.004605,False,Sensor contact not supported,113,[514],[116],True
True,2024-07-11 15:45:33.514217,False,Sensor contact not supported,115,[506],[118],True
True,2024-07-11 15:45:34.024954,False,Sensor contact not supported,116,[500],[120],True
True,2024-07-11 15:45:34.564861,False,Sensor contact not supported,117,[500],[120],True
True,2024-07-11 15:45:35.059798,False,Sensor contact not supported,118,[500],[120],True
True,2024-07-11 15:45:35.554333,False,Sensor contact not supported,119,[491],[122],True
True,2024-07-11 15:45:36.004269,False,Sensor contact not supported,120,[483],[124],True
True,2024-07-11 15:45:36.485144,False,Sensor contact not supported,121,[483],[124],True
True,2024-07-11 15:45:36.949799,False,Sensor contact not supported,123,[475],[126],True
True,2024-07-11 15:45:37.429408,False,Sensor contact not supported,124,[475],[126],True
True,2024-07-11 15:45:37.910871,False,Sensor contact not supported,124,[475],[126],True
True,2024-07-11 15:45:38.374932,False,Sensor contact not supported,125,[467],[128],True
True,2024-07-11 15:45:38.839840,False,Sensor contact not supported,127,[459],[130],True
True,2024-07-11 15:45:39.305083,False,Sensor contact not supported,127,[467],[128],True
True,2024-07-11 15:45:39.800024,False,Sensor contact not supported,128,[459],[130],True
True,2024-07-11 15:45:40.220033,False,Sensor contact not supported,129,[452],[132],True
True,2024-07-11 15:45:40.684442,False,Sensor contact not supported,129,[459],[130],True
True,2024-07-11 15:45:41.179402,False,Sensor contact not supported,130,[452],[132],True
True,2024-07-11 15:45:41.630116,False,Sensor contact not supported,131,[452],[132],True
True,2024-07-11 15:45:42.079217,False,Sensor contact not supported,132,[444],[135],True
True,2024-07-11 15:45:42.530120,False,Sensor contact not supported,133,[444],[135],True
True,2024-07-11 15:45:42.980115,False,Sensor contact not supported,133,[444],[135],True
True,2024-07-11 15:45:43.369586,False,Sensor contact not supported,134,[444],[135],True
True,2024-07-11 15:45:43.864886,False,Sensor contact not supported,134,[444],[135],True
True,2024-07-11 15:45:44.254559,False,Sensor contact not supported,135,[436],[137],True
True,2024-07-11 15:45:44.704609,False,Sensor contact not supported,135,[436],[137],True
True,2024-07-11 15:45:45.124414,False,Sensor contact not supported,136,[436],[137],True
True,2024-07-11 15:45:45.575021,False,Sensor contact not supported,136,[436],[137],True
True,2024-07-11 15:45:46.009629,False,Sensor contact not supported,137,[428],[140],True
True,2024-07-11 15:45:46.429949,False,Sensor contact not supported,138,[428],[140],True
True,2024-07-11 15:45:46.864257,False,Sensor contact not supported,138,[436],[137],True
True,2024-07-11 15:45:47.299311,False,Sensor contact not supported,138,[428],[140],True
True,2024-07-11 15:45:47.720014,False,Sensor contact not supported,139,[420],[142],True
True,2024-07-11 15:45:48.154339,False,Sensor contact not supported,139,[428],[140],True
True,2024-07-11 15:45:48.574326,False,Sensor contact not supported,139,[428],[140],True
True,2024-07-11 15:45:48.994976,False,Sensor contact not supported,140,[420],[142],True
True,2024-07-11 15:45:49.429300,False,Sensor contact not supported,141,[420],[142],True
True,2024-07-11 15:45:49.849552,False,Sensor contact not supported,141,[420],[142],True
True,2024-07-11 15:45:50.269146,False,Sensor contact not supported,141,[428],[140],True
True,2024-07-11 15:45:50.704523,False,Sensor contact not supported,141,[420],[142],True
True,2024-07-11 15:45:51.169918,False,Sensor contact not supported,141,[428],[140],True
True,2024-07-11 15:45:51.574617,False,Sensor contact not supported,139,[436],[137],True
True,2024-07-11 15:45:52.009317,False,Sensor contact not supported,139,[436],[137],True
True,2024-07-11 15:45:52.445056,False,Sensor contact not supported,137,[444],[135],True
True,2024-07-11 15:45:52.895017,False,Sensor contact not supported,136,[444],[135],True
True,2024-07-11 15:45:53.344518,False,Sensor contact not supported,136,[444],[135],True
True,2024-07-11 15:45:53.839929,False,Sensor contact not supported,135,[452],[132],True
True,2024-07-11 15:45:54.289456,False,Sensor contact not supported,133,[459],[130],True
True,2024-07-11 15:45:54.710017,False,Sensor contact not supported,132,[459],[130],True
True,2024-07-11 15:45:55.175076,False,Sensor contact not supported,131,[467],[128],True
True,2024-07-11 15:45:55.640580,False,Sensor contact not supported,130,[467],[128],True
True,2024-07-11 15:45:56.119527,False,Sensor contact not supported,129,[475],[126],True
True,2024-07-11 15:45:56.600000,False,Sensor contact not supported,128,[475],[126],True
True,2024-07-11 15:45:57.079479,False,Sensor contact not supported,126,[483],[124],True
True,2024-07-11 15:45:57.619431,False,Sensor contact not supported,125,[491],[122],True
True,2024-07-11 15:45:58.114900,False,Sensor contact not supported,124,[491],[122],True
True,2024-07-11 15:45:58.610010,False,Sensor contact not supported,123,[500],[120],True
True,2024-07-11 15:45:59.104311,False,Sensor contact not supported,122,[500],[120],True
True,2024-07-11 15:45:59.569958,False,Sensor contact not supported,121,[506],[118],True
True,2024-07-11 15:46:00.094174,False,Sensor contact not supported,119,[514],[116],True
True,2024-07-11 15:46:00.605067,False,Sensor contact not supported,118,[514],[116],True
True,2024-07-11 15:46:01.114536,False,Sensor contact not supported,118,[506],[118],True
True,2024-07-11 15:46:01.624383,False,Sensor contact not supported,119,[500],[120],True
True,2024-07-11 15:46:02.165137,False,Sensor contact not supported,119,[500],[120],True
True,2024-07-11 15:46:02.659902,False,Sensor contact not supported,119,[500],[120],True
True,2024-07-11 15:46:03.094290,False,Sensor contact not supported,120,[483],[124],True
True,2024-07-11 15:46:03.634629,False,Sensor contact not supported,121,[491],[122],True
True,2024-07-11 15:46:04.069510,False,Sensor contact not supported,122,[475],[126],True
True,2024-07-11 15:46:04.549562,False,Sensor contact not supported,123,[475],[126],True
True,2024-07-11 15:46:05.015282,False,Sensor contact not supported,124,[475],[126],True
True,2024-07-11 15:46:05.494942,False,Sensor contact not supported,124,[475],[126],True
True,2024-07-11 15:46:05.959782,False,Sensor contact not supported,125,[467],[128],True
True,2024-07-11 15:46:06.424384,False,Sensor contact not supported,127,[459],[130],True
True,2024-07-11 15:46:06.904615,False,Sensor contact not supported,128,[459],[130],True
True,2024-07-11 15:46:07.399839,False,Sensor contact not supported,128,[459],[130],True
True,2024-07-11 15:46:07.849893,False,Sensor contact not supported,129,[459],[130],True
True,2024-07-11 15:46:08.315291,False,Sensor contact not supported,130,[452],[132],True
True,2024-07-11 15:46:08.719279,False,Sensor contact not supported,131,[452],[132],True
True,2024-07-11 15:46:09.215067,False,Sensor contact not supported,131,[452],[132],True
True,2024-07-11 15:46:09.665170,False,Sensor contact not supported,132,[444],[135],True
True,2024-07-11 15:46:10.114746,False,Sensor contact not supported,132,[452],[132],True
True,2024-07-11 15:46:10.535125,False,Sensor contact not supported,133,[436],[137],True
True,2024-07-11 15:46:10.954534,False,Sensor contact not supported,134,[444],[135],True
True,2024-07-11 15:46:11.389683,False,Sensor contact not supported,134,[444],[135],True
True,2024-07-11 15:46:11.840174,False,Sensor contact not supported,135,[436],[137],True
True,2024-07-11 15:46:12.274670,False,Sensor contact not supported,135,[436],[137],True
True,2024-07-11 15:46:12.709866,False,Sensor contact not supported,136,[436],[137],True
True,2024-07-11 15:46:13.144996,False,Sensor contact not supported,137,[428],[140],True
True,2024-07-11 15:46:13.580260,False,Sensor contact not supported,137,[436],[137],True
True,2024-07-11 15:46:14.015101,False,Sensor contact not supported,138,[428],[140],True
True,2024-07-11 15:46:14.435041,False,Sensor contact not supported,138,[428],[140],True
True,2024-07-11 15:46:14.870770,False,Sensor contact not supported,139,[428],[140],True
True,2024-07-11 15:46:15.304295,False,Sensor contact not supported,139,[428],[140],True
True,2024-07-11 15:46:15.724195,False,Sensor contact not supported,139,[428],[140],True
True,2024-07-11 15:46:16.144654,False,Sensor contact not supported,140,[420],[142],True
True,2024-07-11 15:46:16.580173,False,Sensor contact not supported,141,[420],[142],True
True,2024-07-11 15:46:17.044788,False,Sensor contact not supported,140,[428],[140],True
True,2024-07-11 15:46:17.450167,False,Sensor contact not supported,141,[420],[142],True
True,2024-07-11 15:46:17.839852,False,Sensor contact not supported,141,[420],[142],True
True,2024-07-11 15:46:18.260239,False,Sensor contact not supported,142,[413],[145],True
True,2024-07-11 15:46:18.680205,False,Sensor contact not supported,142,[420],[142],True
True,2024-07-11 15:46:19.099839,False,Sensor contact not supported,143,[413],[145],True
True,2024-07-11 15:46:19.519271,False,Sensor contact not supported,143,[420],[142],True
True,2024-07-11 15:46:19.939686,False,Sensor contact not supported,143,[413],[145],True
True,2024-07-11 15:46:20.389277,False,Sensor contact not supported,144,[413],[145],True
True,2024-07-11 15:46:20.764744,False,Sensor contact not supported,144,[413],[145],True
True,2024-07-11 15:46:21.215286,False,Sensor contact not supported,143,[420],[142],True
True,2024-07-11 15:46:21.605087,False,Sensor contact not supported,144,[413],[145],True
True,2024-07-11 15:46:22.024571,False,Sensor contact not supported,143,[420],[142],True
True,2024-07-11 15:46:22.444464,False,Sensor contact not supported,142,[428],[140],True
True,2024-07-11 15:46:22.865129,False,Sensor contact not supported,142,[420],[142],True
True,2024-07-11 15:46:23.299808,False,Sensor contact not supported,140,[436],[137],True
True,2024-07-11 15:46:23.734786,False,Sensor contact not supported,140,[428],[140],True
True,2024-07-11 15:46:24.185137,False,Sensor contact not supported,138,[444],[135],True
