rr_interval,timestamp_received,rr,sensor_contact,rr_hr,hr,hrv_uint8,ee_status
True,2024-06-20 08:45:57.373391,[491],Sensor contact not supported,[122],121,True,False
True,2024-06-20 08:45:57.913622,[483],Sensor contact not supported,[124],122,True,False
True,2024-06-20 08:45:58.348580,[483],Sensor contact not supported,[124],122,True,False
True,2024-06-20 08:45:58.828765,[475],Sensor contact not supported,[126],123,True,False
True,2024-06-20 08:45:59.292964,[475],Sensor contact not supported,[126],124,True,False
True,2024-06-20 08:45:59.773399,[475],Sensor contact not supported,[126],124,True,False
True,2024-06-20 08:46:00.238944,[467],Sensor contact not supported,[128],125,True,False
True,2024-06-20 08:46:00.703937,[459],Sensor contact not supported,[130],127,True,False
True,2024-06-20 08:46:01.168390,[459],Sensor contact not supported,[130],128,True,False
True,2024-06-20 08:46:01.632963,[459],Sensor contact not supported,[130],128,True,False
True,2024-06-20 08:46:02.128619,[459],Sensor contact not supported,[130],129,True,False
True,2024-06-20 08:46:02.548443,[452],Sensor contact not supported,[132],130,True,False
True,2024-06-20 08:46:03.043689,[452],Sensor contact not supported,[132],131,True,False
True,2024-06-20 08:46:03.493669,[452],Sensor contact not supported,[132],131,True,False
True,2024-06-20 08:46:03.943852,[444],Sensor contact not supported,[135],132,True,False
True,2024-06-20 08:46:04.393419,[452],Sensor contact not supported,[132],132,True,False
True,2024-06-20 08:46:04.843664,[444],Sensor contact not supported,[135],133,True,False
True,2024-06-20 08:46:05.233824,[436],Sensor contact not supported,[137],134,True,False
True,2024-06-20 08:46:05.668867,[444],Sensor contact not supported,[135],134,True,False
True,2024-06-20 08:46:06.117927,[436],Sensor contact not supported,[137],135,True,False
True,2024-06-20 08:46:06.553283,[436],Sensor contact not supported,[137],135,True,False
True,2024-06-20 08:46:06.988656,[436],Sensor contact not supported,[137],136,True,False
True,2024-06-20 08:46:07.423334,[436],Sensor contact not supported,[137],136,True,False
True,2024-06-20 08:46:07.858341,[428],Sensor contact not supported,[140],137,True,False
True,2024-06-20 08:46:08.293431,[428],Sensor contact not supported,[140],138,True,False
True,2024-06-20 08:46:08.713067,[428],Sensor contact not supported,[140],138,True,False
True,2024-06-20 08:46:09.148779,[428],Sensor contact not supported,[140],139,True,False
True,2024-06-20 08:46:09.583777,[428],Sensor contact not supported,[140],139,True,False
True,2024-06-20 08:46:10.003573,[428],Sensor contact not supported,[140],139,True,False
True,2024-06-20 08:46:10.438729,[420],Sensor contact not supported,[142],140,True,False
True,2024-06-20 08:46:10.858285,[428],Sensor contact not supported,[140],140,True,False
True,2024-06-20 08:46:11.277928,[420],Sensor contact not supported,[142],140,True,False
True,2024-06-20 08:46:11.698336,[420],Sensor contact not supported,[142],141,True,False
True,2024-06-20 08:46:12.119343,[420],Sensor contact not supported,[142],141,True,False
True,2024-06-20 08:46:12.538198,[413],Sensor contact not supported,[145],142,True,False
True,2024-06-20 08:46:12.958488,[420],Sensor contact not supported,[142],142,True,False
True,2024-06-20 08:46:13.378108,[420],Sensor contact not supported,[142],142,True,False
True,2024-06-20 08:46:13.798800,[413],Sensor contact not supported,[145],143,True,False
True,2024-06-20 08:46:14.218201,[413],Sensor contact not supported,[145],143,True,False
True,2024-06-20 08:46:14.668884,[413],Sensor contact not supported,[145],144,True,False
True,2024-06-20 08:46:15.043505,[420],Sensor contact not supported,[142],143,True,False
True,2024-06-20 08:46:15.493641,[405],Sensor contact not supported,[148],144,True,False
True,2024-06-20 08:46:15.868185,[413],Sensor contact not supported,[145],144,True,False
True,2024-06-20 08:46:16.288663,[413],Sensor contact not supported,[145],144,True,False
True,2024-06-20 08:46:16.738626,[420],Sensor contact not supported,[142],144,True,False
True,2024-06-20 08:46:17.113226,[413],Sensor contact not supported,[145],144,True,False
True,2024-06-20 08:46:17.532985,[428],Sensor contact not supported,[140],143,True,False
True,2024-06-20 08:46:17.968087,[420],Sensor contact not supported,[142],142,True,False
True,2024-06-20 08:46:18.403455,[428],Sensor contact not supported,[140],141,True,False
True,2024-06-20 08:46:18.823425,[436],Sensor contact not supported,[137],140,True,False
True,2024-06-20 08:46:19.273060,[436],Sensor contact not supported,[137],139,True,False
True,2024-06-20 08:46:19.708141,[436],Sensor contact not supported,[137],138,True,False
True,2024-06-20 08:46:20.158080,[444],Sensor contact not supported,[135],137,True,False
True,2024-06-20 08:46:20.653638,[444],Sensor contact not supported,[135],136,True,False
True,2024-06-20 08:46:21.043481,[452],Sensor contact not supported,[132],135,True,False
True,2024-06-20 08:46:21.508392,[452],Sensor contact not supported,[132],134,True,False
True,2024-06-20 08:46:22.003908,[459],Sensor contact not supported,[130],133,True,False
True,2024-06-20 08:46:22.438304,[467],Sensor contact not supported,[128],131,True,False
True,2024-06-20 08:46:22.903381,[459],Sensor contact not supported,[130],131,True,False
True,2024-06-20 08:46:23.368436,[475],Sensor contact not supported,[126],129,True,False
True,2024-06-20 08:46:23.848401,[475],Sensor contact not supported,[126],128,True,False
True,2024-06-20 08:46:24.328620,[483],Sensor contact not supported,[124],127,True,False
True,2024-06-20 08:46:24.823045,[483],Sensor contact not supported,[124],126,True,False
True,2024-06-20 08:46:25.303370,[491],Sensor contact not supported,[122],125,True,False
True,2024-06-20 08:46:25.813619,[491],Sensor contact not supported,[122],124,True,False
True,2024-06-20 08:46:26.353149,[506],Sensor contact not supported,[118],122,True,False
True,2024-06-20 08:46:26.847936,[500],Sensor contact not supported,[120],121,True,False
True,2024-06-20 08:46:27.313636,[500],Sensor contact not supported,[120],121,True,False
True,2024-06-20 08:46:27.853180,[500],Sensor contact not supported,[120],120,True,False
True,2024-06-20 08:46:28.288648,[483],Sensor contact not supported,[124],121,True,False
True,2024-06-20 08:46:28.828872,[491],Sensor contact not supported,[122],121,True,False
True,2024-06-20 08:46:29.263675,[483],Sensor contact not supported,[124],122,True,False
True,2024-06-20 08:46:29.743022,[475],Sensor contact not supported,[126],123,True,False
True,2024-06-20 08:46:30.223129,[475],Sensor contact not supported,[126],124,True,False
True,2024-06-20 08:46:30.688855,[467],Sensor contact not supported,[128],125,True,False
True,2024-06-20 08:46:31.153540,[467],Sensor contact not supported,[128],126,True,False
True,2024-06-20 08:46:31.633858,[467],Sensor contact not supported,[128],126,True,False
True,2024-06-20 08:46:32.098859,[459],Sensor contact not supported,[130],128,True,False
True,2024-06-20 08:46:32.563747,[459],Sensor contact not supported,[130],128,True,False
True,2024-06-20 08:46:33.058573,[459],Sensor contact not supported,[130],129,True,False
True,2024-06-20 08:46:33.508209,[459],Sensor contact not supported,[130],129,True,False
True,2024-06-20 08:46:33.928298,[452],Sensor contact not supported,[132],130,True,False
True,2024-06-20 08:46:34.423048,[444],Sensor contact not supported,[135],131,True,False
True,2024-06-20 08:46:34.873104,[452],Sensor contact not supported,[132],132,True,False
True,2024-06-20 08:46:35.263095,[444],Sensor contact not supported,[135],132,True,False
True,2024-06-20 08:46:35.758672,[444],Sensor contact not supported,[135],133,True,False
True,2024-06-20 08:46:36.208549,[444],Sensor contact not supported,[135],133,True,False
True,2024-06-20 08:46:36.598769,[444],Sensor contact not supported,[135],134,True,False
True,2024-06-20 08:46:37.093743,[436],Sensor contact not supported,[137],135,True,False
True,2024-06-20 08:46:37.483119,[436],Sensor contact not supported,[137],135,True,False
True,2024-06-20 08:46:37.918500,[436],Sensor contact not supported,[137],136,True,False
True,2024-06-20 08:46:38.353517,[436],Sensor contact not supported,[137],136,True,False
True,2024-06-20 08:46:38.788535,[428],Sensor contact not supported,[140],137,True,False
True,2024-06-20 08:46:39.223342,[428],Sensor contact not supported,[140],138,True,False
True,2024-06-20 08:46:39.643116,[428],Sensor contact not supported,[140],138,True,False
True,2024-06-20 08:46:40.078598,[428],Sensor contact not supported,[140],139,True,False
True,2024-06-20 08:46:40.513828,[428],Sensor contact not supported,[140],139,True,False
True,2024-06-20 08:46:40.932911,[428],Sensor contact not supported,[140],139,True,False
True,2024-06-20 08:46:41.368104,[420],Sensor contact not supported,[142],140,True,False
True,2024-06-20 08:46:41.788183,[428],Sensor contact not supported,[140],140,True,False
True,2024-06-20 08:46:42.208369,[420],Sensor contact not supported,[142],140,True,False
True,2024-06-20 08:46:42.628406,[420],Sensor contact not supported,[142],141,True,False
True,2024-06-20 08:46:43.063182,[420],Sensor contact not supported,[142],141,True,False
True,2024-06-20 08:46:43.513390,[420],Sensor contact not supported,[142],141,True,False
True,2024-06-20 08:46:43.888578,[413],Sensor contact not supported,[145],142,True,False
True,2024-06-20 08:46:44.308369,[420],Sensor contact not supported,[142],142,True,False
True,2024-06-20 08:46:44.773663,[413],Sensor contact not supported,[145],143,True,False
True,2024-06-20 08:46:45.148384,[420],Sensor contact not supported,[142],143,True,False
True,2024-06-20 08:46:45.568105,[413],Sensor contact not supported,[145],143,True,False
True,2024-06-20 08:46:46.017892,[413],Sensor contact not supported,[145],144,True,False
True,2024-06-20 08:46:46.393034,[413],Sensor contact not supported,[145],144,True,False
True,2024-06-20 08:46:46.812819,[413],Sensor contact not supported,[145],144,True,False
True,2024-06-20 08:46:47.263013,[413],Sensor contact not supported,[145],144,True,False
True,2024-06-20 08:46:47.638784,[413],Sensor contact not supported,[145],144,True,False
True,2024-06-20 08:46:48.088609,[420],Sensor contact not supported,[142],144,True,False
True,2024-06-20 08:46:48.463092,[420],Sensor contact not supported,[142],143,True,False
True,2024-06-20 08:46:48.898336,[420],Sensor contact not supported,[142],143,True,False
True,2024-06-20 08:46:49.333373,[428],Sensor contact not supported,[140],142,True,False
True,2024-06-20 08:46:49.753813,[428],Sensor contact not supported,[140],141,True,False
True,2024-06-20 08:46:50.188444,[436],Sensor contact not supported,[137],140,True,False
True,2024-06-20 08:46:50.683582,[436],Sensor contact not supported,[137],139,True,False
True,2024-06-20 08:46:51.073399,[444],Sensor contact not supported,[135],137,True,False
True,2024-06-20 08:46:51.567957,[444],Sensor contact not supported,[135],137,True,False
True,2024-06-20 08:46:52.018473,[452],Sensor contact not supported,[132],135,True,False
True,2024-06-20 08:46:52.468070,[452],Sensor contact not supported,[132],134,True,False
True,2024-06-20 08:46:52.888541,[459],Sensor contact not supported,[130],133,True,False
True,2024-06-20 08:46:53.353103,[459],Sensor contact not supported,[130],132,True,False
True,2024-06-20 08:46:53.818125,[467],Sensor contact not supported,[128],131,True,False
True,2024-06-20 08:46:54.283783,[467],Sensor contact not supported,[128],130,True,False
True,2024-06-20 08:46:54.762908,[475],Sensor contact not supported,[126],129,True,False
True,2024-06-20 08:46:55.243246,[483],Sensor contact not supported,[124],127,True,False
True,2024-06-20 08:46:55.723124,[483],Sensor contact not supported,[124],126,True,False
True,2024-06-20 08:46:56.263565,[491],Sensor contact not supported,[122],125,True,False
True,2024-06-20 08:46:56.713276,[491],Sensor contact not supported,[122],124,True,False
True,2024-06-20 08:46:57.253133,[500],Sensor contact not supported,[120],122,True,False
True,2024-06-20 08:46:57.717947,[506],Sensor contact not supported,[118],121,True,False
True,2024-06-20 08:46:58.228148,[500],Sensor contact not supported,[120],121,True,False
True,2024-06-20 08:46:58.708787,[491],Sensor contact not supported,[122],121,True,False
True,2024-06-20 08:46:59.248193,[491],Sensor contact not supported,[122],121,True,False
True,2024-06-20 08:46:59.743400,[491],Sensor contact not supported,[122],121,True,False
True,2024-06-20 08:47:00.178337,[483],Sensor contact not supported,[124],122,True,False
True,2024-06-20 08:47:00.658552,[475],Sensor contact not supported,[126],123,True,False
True,2024-06-20 08:47:01.138817,[475],Sensor contact not supported,[126],124,True,False
True,2024-06-20 08:47:01.618134,[467],Sensor contact not supported,[128],125,True,False
True,2024-06-20 08:47:02.083712,[475],Sensor contact not supported,[126],125,True,False
True,2024-06-20 08:47:02.548217,[459],Sensor contact not supported,[130],127,True,False
True,2024-06-20 08:47:03.013357,[467],Sensor contact not supported,[128],127,True,False
True,2024-06-20 08:47:03.478326,[459],Sensor contact not supported,[130],128,True,False
True,2024-06-20 08:47:03.973360,[459],Sensor contact not supported,[130],128,True,False
True,2024-06-20 08:47:04.423549,[452],Sensor contact not supported,[132],130,True,False
True,2024-06-20 08:47:04.843112,[452],Sensor contact not supported,[132],130,True,False
True,2024-06-20 08:47:05.338529,[452],Sensor contact not supported,[132],131,True,False
True,2024-06-20 08:47:05.788182,[444],Sensor contact not supported,[135],132,True,False
True,2024-06-20 08:47:06.238277,[452],Sensor contact not supported,[132],132,True,False
True,2024-06-20 08:47:06.643078,[444],Sensor contact not supported,[135],133,True,False
True,2024-06-20 08:47:07.077905,[444],Sensor contact not supported,[135],133,True,False
True,2024-06-20 08:47:07.573142,[436],Sensor contact not supported,[137],134,True,False
True,2024-06-20 08:47:07.962999,[444],Sensor contact not supported,[135],134,True,False
True,2024-06-20 08:47:08.398813,[436],Sensor contact not supported,[137],135,True,False
True,2024-06-20 08:47:08.833008,[436],Sensor contact not supported,[137],136,True,False
True,2024-06-20 08:47:09.328395,[428],Sensor contact not supported,[140],137,True,False
True,2024-06-20 08:47:09.703533,[436],Sensor contact not supported,[137],137,True,False
True,2024-06-20 08:47:10.138542,[428],Sensor contact not supported,[140],138,True,False
True,2024-06-20 08:47:10.573571,[436],Sensor contact not supported,[137],137,True,False
True,2024-06-20 08:47:11.008665,[428],Sensor contact not supported,[140],138,True,False
True,2024-06-20 08:47:11.428720,[420],Sensor contact not supported,[142],139,True,False
True,2024-06-20 08:47:11.880160,[428],Sensor contact not supported,[140],139,True,False
True,2024-06-20 08:47:12.283922,[428],Sensor contact not supported,[140],139,True,False
True,2024-06-20 08:47:12.718023,[420],Sensor contact not supported,[142],140,True,False
True,2024-06-20 08:47:13.138666,[420],Sensor contact not supported,[142],141,True,False
True,2024-06-20 08:47:13.558625,[420],Sensor contact not supported,[142],141,True,False
True,2024-06-20 08:47:13.977973,[420],Sensor contact not supported,[142],141,True,False
True,2024-06-20 08:47:14.398732,[420],Sensor contact not supported,[142],142,True,False
True,2024-06-20 08:47:14.818242,[420],Sensor contact not supported,[142],142,True,False
True,2024-06-20 08:47:15.238471,[420],Sensor contact not supported,[142],142,True,False
True,2024-06-20 08:47:15.657937,[413],Sensor contact not supported,[145],143,True,False
True,2024-06-20 08:47:16.078135,[413],Sensor contact not supported,[145],143,True,False
True,2024-06-20 08:47:16.528120,[420],Sensor contact not supported,[142],143,True,False
True,2024-06-20 08:47:16.903186,[413],Sensor contact not supported,[145],143,True,False
True,2024-06-20 08:47:17.352823,[413],Sensor contact not supported,[145],144,True,False
True,2024-06-20 08:47:17.728266,[413],Sensor contact not supported,[145],144,True,False
