rr,ee_status,sensor_contact,rr_hr,timestamp_received,hrv_uint8,hr,rr_interval
[459],False,Sensor contact not supported,[130],2024-06-19 15:55:13.124010,True,128,True
[459],False,Sensor contact not supported,[130],2024-06-19 15:55:13.588967,True,129,True
[452],False,Sensor contact not supported,[132],2024-06-19 15:55:14.083913,True,130,True
[452],False,Sensor contact not supported,[132],2024-06-19 15:55:14.503763,True,130,True
[452],False,Sensor contact not supported,[132],2024-06-19 15:55:14.998674,True,131,True
[452],False,Sensor contact not supported,[132],2024-06-19 15:55:15.404109,True,131,True
[444],False,Sensor contact not supported,[135],2024-06-19 15:55:15.899237,True,132,True
[444],False,Sensor contact not supported,[135],2024-06-19 15:55:16.289609,True,133,True
[444],False,Sensor contact not supported,[135],2024-06-19 15:55:16.783960,True,133,True
[444],False,Sensor contact not supported,[135],2024-06-19 15:55:17.174001,True,134,True
[436],False,Sensor contact not supported,[137],2024-06-19 15:55:17.609008,True,135,True
[436],False,Sensor contact not supported,[137],2024-06-19 15:55:18.103719,True,135,True
[436],False,Sensor contact not supported,[137],2024-06-19 15:55:18.494272,True,136,True
[436],False,Sensor contact not supported,[137],2024-06-19 15:55:18.929389,True,136,True
[436],False,Sensor contact not supported,[137],2024-06-19 15:55:19.364195,True,136,True
[428],False,Sensor contact not supported,[140],2024-06-19 15:55:19.798748,True,137,True
[428],False,Sensor contact not supported,[140],2024-06-19 15:55:20.234418,True,138,True
[428],False,Sensor contact not supported,[140],2024-06-19 15:55:20.653998,True,138,True
[428],False,Sensor contact not supported,[140],2024-06-19 15:55:21.089227,True,139,True
[428],False,Sensor contact not supported,[140],2024-06-19 15:55:21.509289,True,139,True
[420],False,Sensor contact not supported,[142],2024-06-19 15:55:21.944265,True,140,True
[428],False,Sensor contact not supported,[140],2024-06-19 15:55:22.363682,True,140,True
[420],False,Sensor contact not supported,[142],2024-06-19 15:55:22.798684,True,140,True
[420],False,Sensor contact not supported,[142],2024-06-19 15:55:23.218703,True,141,True
[420],False,Sensor contact not supported,[142],2024-06-19 15:55:23.638866,True,141,True
[420],False,Sensor contact not supported,[142],2024-06-19 15:55:24.058840,True,141,True
[420],False,Sensor contact not supported,[142],2024-06-19 15:55:24.479477,True,142,True
[413],False,Sensor contact not supported,[145],2024-06-19 15:55:24.898685,True,142,True
[420],False,Sensor contact not supported,[142],2024-06-19 15:55:25.319566,True,142,True
[413],False,Sensor contact not supported,[145],2024-06-19 15:55:25.739247,True,143,True
[413],False,Sensor contact not supported,[145],2024-06-19 15:55:26.189582,True,143,True
[420],False,Sensor contact not supported,[142],2024-06-19 15:55:26.564177,True,143,True
[413],False,Sensor contact not supported,[145],2024-06-19 15:55:27.014091,True,143,True
[405],False,Sensor contact not supported,[148],2024-06-19 15:55:27.388773,True,145,True
[413],False,Sensor contact not supported,[145],2024-06-19 15:55:27.809454,True,145,True
[413],False,Sensor contact not supported,[145],2024-06-19 15:55:28.259193,True,145,True
[420],False,Sensor contact not supported,[142],2024-06-19 15:55:28.633854,True,144,True
[420],False,Sensor contact not supported,[142],2024-06-19 15:55:29.054292,True,143,True
[420],False,Sensor contact not supported,[142],2024-06-19 15:55:29.488811,True,143,True
[428],False,Sensor contact not supported,[140],2024-06-19 15:55:29.909606,True,142,True
[428],False,Sensor contact not supported,[140],2024-06-19 15:55:30.358868,True,141,True
[436],False,Sensor contact not supported,[137],2024-06-19 15:55:30.779054,True,140,True
[436],False,Sensor contact not supported,[137],2024-06-19 15:55:31.214011,True,139,True
[444],False,Sensor contact not supported,[135],2024-06-19 15:55:31.649211,True,138,True
[444],False,Sensor contact not supported,[135],2024-06-19 15:55:32.143840,True,137,True
[444],False,Sensor contact not supported,[135],2024-06-19 15:55:32.594265,True,136,True
[459],False,Sensor contact not supported,[130],2024-06-19 15:55:33.043883,True,134,True
[452],False,Sensor contact not supported,[132],2024-06-19 15:55:33.463778,True,133,True
[459],False,Sensor contact not supported,[130],2024-06-19 15:55:33.928924,True,132,True
[467],False,Sensor contact not supported,[128],2024-06-19 15:55:34.394598,True,131,True
[467],False,Sensor contact not supported,[128],2024-06-19 15:55:34.859333,True,130,True
[475],False,Sensor contact not supported,[126],2024-06-19 15:55:35.339090,True,129,True
[483],False,Sensor contact not supported,[124],2024-06-19 15:55:35.819470,True,127,True
[483],False,Sensor contact not supported,[124],2024-06-19 15:55:36.299564,True,126,True
[483],False,Sensor contact not supported,[124],2024-06-19 15:55:36.838769,True,125,True
[500],False,Sensor contact not supported,[120],2024-06-19 15:55:37.334293,True,124,True
[491],False,Sensor contact not supported,[122],2024-06-19 15:55:37.829049,True,123,True
[506],False,Sensor contact not supported,[118],2024-06-19 15:55:38.294321,True,121,True
[506],False,Sensor contact not supported,[118],2024-06-19 15:55:38.834583,True,120,True
[500],False,Sensor contact not supported,[120],2024-06-19 15:55:39.325296,True,120,True
