hrv_uint8,ee_status,timestamp_received,rr_hr,rr,sensor_contact,rr_interval,hr
True,False,2024-08-12 18:12:10.160697,"[172, 168, 168]","[348, 356, 356]",Contact detected,True,166
True,False,2024-08-12 18:12:11.151050,"[172, 166, 168]","[348, 360, 356]",Contact detected,True,166
True,False,2024-08-12 18:12:12.141404,"[168, 170]","[356, 352]",Contact detected,True,166
True,False,2024-08-12 18:12:13.160678,"[166, 170, 170]","[360, 352, 352]",Contact detected,True,165
True,False,2024-08-12 18:12:14.151031,"[166, 168, 166]","[360, 356, 360]",Contact detected,True,165
True,False,2024-08-12 18:12:15.141384,"[165, 168]","[363, 356]",Contact detected,True,164
True,False,2024-08-12 18:12:16.161659,"[165, 163, 161]","[363, 367, 371]",Contact detected,True,163
True,False,2024-08-12 18:12:17.151013,"[160, 161, 165]","[375, 371, 363]",Contact detected,True,161
True,False,2024-08-12 18:12:18.141367,"[161, 160]","[371, 375]",Contact detected,True,160
True,False,2024-08-12 18:12:19.160640,"[165, 163, 161]","[363, 367, 371]",Contact detected,True,159
True,False,2024-08-12 18:12:20.150994,"[158, 155]","[378, 386]",Contact detected,True,158
True,False,2024-08-12 18:12:21.141346,"[157, 158, 158]","[382, 378, 378]",Contact detected,True,157
True,False,2024-08-12 18:12:22.160621,"[157, 155, 155]","[382, 386, 386]",Contact detected,True,155
True,False,2024-08-12 18:12:23.150974,"[155, 152]","[386, 394]",Contact detected,True,153
True,False,2024-08-12 18:12:24.141327,"[145, 136]","[413, 439]",Contact detected,True,152
True,False,2024-08-12 18:12:25.160602,[125],[477],Contact detected,True,151
True,False,2024-08-12 18:12:26.150955,"[113, 102]","[530, 586]",Contact detected,True,149
True,False,2024-08-12 18:12:27.141307,"[96, 99]","[621, 602]",Contact detected,True,139
True,False,2024-08-12 18:12:28.160583,"[116, 130]","[515, 461]",Contact detected,True,121
True,False,2024-08-12 18:12:29.150936,"[141, 140]","[424, 427]",Contact detected,True,114
True,False,2024-08-12 18:12:30.141290,"[139, 139, 136]","[431, 431, 439]",Contact detected,True,125
True,False,2024-08-12 18:12:31.160564,"[137, 135]","[435, 443]",Contact detected,True,132
True,False,2024-08-12 18:12:32.150918,"[133, 131]","[451, 458]",Contact detected,True,134
True,False,2024-08-12 18:12:33.141270,"[133, 134, 133]","[451, 447, 451]",Contact detected,True,132
True,False,2024-08-12 18:12:34.160545,"[134, 136]","[447, 439]",Contact detected,True,131
True,False,2024-08-12 18:12:35.150898,"[136, 137]","[439, 435]",Contact detected,True,131
True,False,2024-08-12 18:12:36.141251,"[135, 131]","[443, 458]",Contact detected,True,132
True,False,2024-08-12 18:12:37.160527,"[131, 125]","[455, 477]",Contact detected,True,131
True,False,2024-08-12 18:12:38.180799,"[122, 120]","[489, 496]",Contact detected,True,130
True,False,2024-08-12 18:12:39.171151,[118],[507],Contact detected,True,129
True,False,2024-08-12 18:12:40.160507,"[115, 112]","[519, 534]",Contact detected,True,124
True,False,2024-08-12 18:12:41.150860,"[112, 106]","[534, 564]",Contact detected,True,119
True,False,2024-08-12 18:12:42.141212,[104],[572],Contact detected,True,117
True,False,2024-08-12 18:12:43.160488,"[104, 98]","[576, 610]",Contact detected,True,112
True,False,2024-08-12 18:12:44.180791,"[97, 99]","[617, 606]",Contact detected,True,107
True,False,2024-08-12 18:12:45.141225,[101],[594],Contact detected,True,104
True,False,2024-08-12 18:12:46.160499,"[102, 104]","[586, 576]",Contact detected,True,101
True,False,2024-08-12 18:12:47.150852,"[105, 103]","[568, 580]",Contact detected,True,99
True,False,2024-08-12 18:12:48.141205,[105],[568],Contact detected,True,99
True,False,2024-08-12 18:12:49.160480,"[100, 92]","[598, 651]",Contact detected,True,100
True,False,2024-08-12 18:12:50.150833,[89],[670],Contact detected,True,100
True,False,2024-08-12 18:12:51.141186,"[94, 96]","[632, 621]",Contact detected,True,99
True,False,2024-08-12 18:12:52.160461,[98],[610],Contact detected,True,97
True,False,2024-08-12 18:12:53.150814,"[94, 95]","[632, 628]",Contact detected,True,95
True,False,2024-08-12 18:12:54.141167,[88],[681],Contact detected,True,94
True,False,2024-08-12 18:12:55.161440,"[86, 90]","[693, 663]",Contact detected,True,92
True,False,2024-08-12 18:12:56.150795,[91],[655],Contact detected,True,92
True,False,2024-08-12 18:12:57.141147,"[90, 94]","[663, 636]",Contact detected,True,90
True,False,2024-08-12 18:12:58.161423,"[96, 98]","[625, 610]",Contact detected,True,90
True,False,2024-08-12 18:12:59.150777,[97],[617],Contact detected,True,90
True,False,2024-08-12 18:13:00.141128,[93],[640],Contact detected,True,90
True,False,2024-08-12 18:13:01.161401,"[93, 90]","[644, 663]",Contact detected,True,92
True,False,2024-08-12 18:13:02.150757,[90],[663],Contact detected,True,92
True,False,2024-08-12 18:13:03.141109,[87],[689],Contact detected,True,92
True,False,2024-08-12 18:13:04.160385,"[87, 88]","[689, 681]",Contact detected,True,91
True,False,2024-08-12 18:13:05.150738,[85],[701],Contact detected,True,90
True,False,2024-08-12 18:13:06.171010,"[86, 87]","[693, 689]",Contact detected,True,87
True,False,2024-08-12 18:13:07.161363,[84],[708],Contact detected,True,87
True,False,2024-08-12 18:13:08.150719,[85],[701],Contact detected,True,86
True,False,2024-08-12 18:13:09.141071,"[85, 84]","[705, 708]",Contact detected,True,85
True,False,2024-08-12 18:13:10.161344,[85],[705],Contact detected,True,84
True,False,2024-08-12 18:13:11.181616,[82],[723],Contact detected,True,84
True,False,2024-08-12 18:13:12.170972,"[83, 82]","[719, 731]",Contact detected,True,83
True,False,2024-08-12 18:13:13.161325,[80],[746],Contact detected,True,83
True,False,2024-08-12 18:13:14.150682,[80],[742],Contact detected,True,82
True,False,2024-08-12 18:13:15.141034,"[80, 82]","[746, 731]",Contact detected,True,81
True,False,2024-08-12 18:13:16.161306,[82],[723],Contact detected,True,81
True,False,2024-08-12 18:13:17.150662,[82],[723],Contact detected,True,80
True,False,2024-08-12 18:13:18.141014,"[84, 82]","[711, 727]",Contact detected,True,80
True,False,2024-08-12 18:13:19.161287,[80],[742],Contact detected,True,80
True,False,2024-08-12 18:13:20.150644,[79],[757],Contact detected,True,80
True,False,2024-08-12 18:13:21.140996,[73],[814],Contact detected,True,80
True,False,2024-08-12 18:13:22.161268,"[72, 72]","[833, 830]",Contact detected,True,79
True,False,2024-08-12 18:13:23.150623,[74],[803],Contact detected,True,78
True,False,2024-08-12 18:13:24.140976,[77],[773],Contact detected,True,77
True,False,2024-08-12 18:13:25.161249,[78],[769],Contact detected,True,76
True,False,2024-08-12 18:13:26.150605,"[79, 80]","[757, 750]",Contact detected,True,75
True,False,2024-08-12 18:13:27.140957,[78],[769],Contact detected,True,74
True,False,2024-08-12 18:13:28.161232,[78],[769],Contact detected,True,75
True,False,2024-08-12 18:13:29.180505,"[80, 82]","[746, 723]",Contact detected,True,76
True,False,2024-08-12 18:13:30.140939,[82],[727],Contact detected,True,77
True,False,2024-08-12 18:13:31.161215,[82],[727],Contact detected,True,77
True,False,2024-08-12 18:13:32.150566,"[81, 80]","[735, 746]",Contact detected,True,78
True,False,2024-08-12 18:13:33.140919,[80],[742],Contact detected,True,79
True,False,2024-08-12 18:13:34.161192,"[82, 81]","[731, 735]",Contact detected,True,79
True,False,2024-08-12 18:13:35.150547,[82],[731],Contact detected,True,80
True,False,2024-08-12 18:13:36.140900,[82],[727],Contact detected,True,80
True,False,2024-08-12 18:13:37.161174,"[82, 83]","[731, 719]",Contact detected,True,80
