hrv_uint8,ee_status,timestamp_received,rr_hr,rr,sensor_contact,rr_interval,hr
True,False,2024-08-12 17:33:06.321206,,,Contact detected,False,167
True,False,2024-08-12 17:33:07.306572,,,Contact detected,False,167
True,False,2024-08-12 17:33:08.295927,,,Contact detected,False,167
True,False,2024-08-12 17:33:09.286280,,,Contact detected,False,167
True,False,2024-08-12 17:33:10.306553,[168],[356],Contact detected,True,167
True,False,2024-08-12 17:33:11.295908,"[170, 170, 170]","[352, 352, 352]",Contact detected,True,167
True,False,2024-08-12 17:33:12.286261,"[168, 170, 170]","[356, 352, 352]",Contact detected,True,167
True,False,2024-08-12 17:33:13.336454,"[168, 170, 170]","[356, 352, 352]",Contact detected,True,166
True,False,2024-08-12 17:33:14.296886,"[168, 170, 170]","[356, 352, 352]",Contact detected,True,166
True,False,2024-08-12 17:33:15.286242,"[170, 168]","[352, 356]",Contact detected,True,166
True,False,2024-08-12 17:33:16.306515,"[170, 170, 168]","[352, 352, 356]",Contact detected,True,166
True,False,2024-08-12 17:33:17.295870,"[170, 170, 168]","[352, 352, 356]",Contact detected,True,166
True,False,2024-08-12 17:33:18.286224,"[170, 170]","[352, 352]",Contact detected,True,166
True,False,2024-08-12 17:33:19.306496,"[170, 168, 170, 170]","[352, 356, 352, 352]",Contact detected,True,166
True,False,2024-08-12 17:33:20.295853,"[168, 170]","[356, 352]",Contact detected,True,166
True,False,2024-08-12 17:33:21.286204,"[170, 168, 170]","[352, 356, 352]",Contact detected,True,166
True,False,2024-08-12 17:33:22.336397,"[170, 168, 170]","[352, 356, 352]",Contact detected,True,166
True,False,2024-08-12 17:33:23.296830,"[170, 170]","[352, 352]",Contact detected,True,166
True,False,2024-08-12 17:33:24.286185,"[168, 170, 170]","[356, 352, 352]",Contact detected,True,166
True,False,2024-08-12 17:33:25.306459,"[168, 170, 170]","[356, 352, 352]",Contact detected,True,166
True,False,2024-08-12 17:33:26.296811,"[168, 170, 170]","[356, 352, 352]",Contact detected,True,166
True,False,2024-08-12 17:33:27.286167,"[170, 168]","[352, 356]",Contact detected,True,166
True,False,2024-08-12 17:33:28.306439,"[170, 170, 168]","[352, 352, 356]",Contact detected,True,166
True,False,2024-08-12 17:33:29.296792,"[170, 170, 168]","[352, 352, 356]",Contact detected,True,166
