hrv_uint8,ee_status,timestamp_received,rr_hr,rr,sensor_contact,rr_interval,hr
True,False,2024-08-12 16:53:54.452749,,,Contact detected,False,167
True,False,2024-08-12 16:53:55.443102,,,Contact detected,False,167
True,False,2024-08-12 16:53:56.432457,,,Contact detected,False,167
True,False,2024-08-12 16:53:57.422810,,,Contact detected,False,167
True,False,2024-08-12 16:53:58.443083,[170],[352],Contact detected,True,167
True,False,2024-08-12 16:53:59.433437,"[170, 168, 170]","[352, 356, 352]",Contact detected,True,167
True,False,2024-08-12 16:54:00.422791,"[170, 168]","[352, 356]",Contact detected,True,167
True,False,2024-08-12 16:54:01.443064,"[170, 170, 168]","[352, 352, 356]",Contact detected,True,166
True,False,2024-08-12 16:54:02.432419,"[170, 170, 170]","[352, 352, 352]",Contact detected,True,166
True,False,2024-08-12 16:54:03.422772,"[168, 170, 170]","[356, 352, 352]",Contact detected,True,166
True,False,2024-08-12 16:54:04.473117,"[168, 170, 170]","[356, 352, 352]",Contact detected,True,166
True,False,2024-08-12 16:54:05.432671,"[168, 170]","[356, 352]",Contact detected,True,166
True,False,2024-08-12 16:54:06.452946,"[170, 168, 170]","[352, 356, 352]",Contact detected,True,166
True,False,2024-08-12 16:54:07.442301,"[170, 170, 168]","[352, 352, 356]",Contact detected,True,166
True,False,2024-08-12 16:54:08.462572,"[170, 170, 168]","[352, 352, 356]",Contact detected,True,166
True,False,2024-08-12 16:54:09.423005,"[170, 170]","[352, 352]",Contact detected,True,166
True,False,2024-08-12 16:54:10.442280,"[168, 170, 170]","[356, 352, 352]",Contact detected,True,166
True,False,2024-08-12 16:54:11.432633,"[168, 170, 170]","[356, 352, 352]",Contact detected,True,166
True,False,2024-08-12 16:54:12.452906,"[170, 168, 170]","[352, 356, 352]",Contact detected,True,166
True,False,2024-08-12 16:54:13.442262,"[170, 168]","[352, 356]",Contact detected,True,166
True,False,2024-08-12 16:54:14.432615,"[170, 170, 168]","[352, 352, 356]",Contact detected,True,166
True,False,2024-08-12 16:54:15.422967,"[170, 170, 168]","[352, 352, 356]",Contact detected,True,166
