ee_status,hr,timestamp_received,rr_hr,rr_interval,sensor_contact,rr,hrv_uint8
False,0,2024-06-18 08:56:36.472943,,False,Sensor contact not supported,,True
False,120,2024-06-18 08:56:37.463949,"[120, 120, 2]",True,Sensor contact not supported,"[500, 500, 22662]",True
False,120,2024-06-18 08:56:38.463767,[174],True,Sensor contact not supported,[344],True
False,120,2024-06-18 08:56:39.461984,"[120, 120]",True,Sensor contact not supported,"[500, 496]",True
False,120,2024-06-18 08:56:40.456312,"[120, 120]",True,Sensor contact not supported,"[499, 498]",True
False,120,2024-06-18 08:56:41.456564,"[120, 120]",True,Sensor contact not supported,"[500, 499]",True
False,120,2024-06-18 08:56:42.457829,"[120, 120]",True,Sensor contact not supported,"[500, 500]",True
False,120,2024-06-18 08:56:43.450151,"[120, 120]",True,Sensor contact not supported,"[500, 500]",True
False,120,2024-06-18 08:56:44.453180,"[120, 120]",True,Sensor contact not supported,"[500, 500]",True
False,120,2024-06-18 08:56:45.446156,"[120, 120]",True,Sensor contact not supported,"[500, 500]",True
False,120,2024-06-18 08:56:46.442918,"[120, 120]",True,Sensor contact not supported,"[500, 500]",True
False,120,2024-06-18 08:56:47.443518,"[120, 120]",True,Sensor contact not supported,"[500, 500]",True
False,120,2024-06-18 08:56:48.442839,"[120, 120]",True,Sensor contact not supported,"[500, 500]",True
False,120,2024-06-18 08:56:49.439734,"[120, 120]",True,Sensor contact not supported,"[500, 500]",True
False,120,2024-06-18 08:56:50.437021,"[120, 120]",True,Sensor contact not supported,"[500, 500]",True
False,120,2024-06-18 08:56:51.434469,"[120, 120]",True,Sensor contact not supported,"[500, 500]",True
False,120,2024-06-18 08:56:52.427735,[120],True,Sensor contact not supported,[500],True
False,120,2024-06-18 08:56:53.427865,"[120, 120]",True,Sensor contact not supported,"[500, 500]",True
False,120,2024-06-18 08:56:54.426111,"[60, 120]",True,Sensor contact not supported,"[1000, 500]",True
False,120,2024-06-18 08:56:55.420548,"[120, 120]",True,Sensor contact not supported,"[500, 500]",True
False,120,2024-06-18 08:56:56.421560,"[120, 120]",True,Sensor contact not supported,"[500, 500]",True
False,120,2024-06-18 08:56:57.413886,"[120, 120]",True,Sensor contact not supported,"[500, 500]",True
False,120,2024-06-18 08:56:58.413278,"[120, 120]",True,Sensor contact not supported,"[500, 500]",True
False,120,2024-06-18 08:56:59.410772,"[120, 120]",True,Sensor contact not supported,"[500, 500]",True
False,120,2024-06-18 08:57:00.409218,"[120, 120]",True,Sensor contact not supported,"[500, 500]",True
False,120,2024-06-18 08:57:01.406881,"[120, 120]",True,Sensor contact not supported,"[500, 500]",True
False,120,2024-06-18 08:57:02.407274,"[120, 120]",True,Sensor contact not supported,"[500, 500]",True
False,120,2024-06-18 08:57:03.399095,"[120, 120]",True,Sensor contact not supported,"[500, 500]",True
False,120,2024-06-18 08:57:04.399115,"[120, 120]",True,Sensor contact not supported,"[500, 500]",True
False,120,2024-06-18 08:57:05.400353,"[120, 120]",True,Sensor contact not supported,"[500, 500]",True
False,120,2024-06-18 08:57:06.393105,"[120, 120]",True,Sensor contact not supported,"[500, 500]",True
False,120,2024-06-18 08:57:07.395395,"[120, 120]",True,Sensor contact not supported,"[500, 500]",True
False,120,2024-06-18 08:57:08.391753,"[120, 120]",True,Sensor contact not supported,"[500, 500]",True
False,120,2024-06-18 08:57:09.383861,"[120, 120]",True,Sensor contact not supported,"[500, 500]",True
False,120,2024-06-18 08:57:10.388186,"[120, 120]",True,Sensor contact not supported,"[500, 500]",True
False,120,2024-06-18 08:57:11.379159,"[120, 120]",True,Sensor contact not supported,"[500, 500]",True
False,120,2024-06-18 08:57:13.379907,"[120, 120]",True,Sensor contact not supported,"[500, 500]",True
False,120,2024-06-18 08:57:13.380942,"[120, 120]",True,Sensor contact not supported,"[500, 500]",True
False,120,2024-06-18 08:57:14.371507,"[120, 120]",True,Sensor contact not supported,"[500, 500]",True
False,120,2024-06-18 08:57:15.368966,"[120, 120]",True,Sensor contact not supported,"[500, 500]",True
False,120,2024-06-18 08:57:16.366112,"[120, 120]",True,Sensor contact not supported,"[500, 500]",True
False,120,2024-06-18 08:57:17.366355,"[120, 120]",True,Sensor contact not supported,"[500, 500]",True
False,120,2024-06-18 08:57:18.363980,"[120, 120]",True,Sensor contact not supported,"[500, 500]",True
False,120,2024-06-18 08:57:19.358322,"[120, 120]",True,Sensor contact not supported,"[500, 500]",True
False,120,2024-06-18 08:57:20.361878,"[120, 120]",True,Sensor contact not supported,"[500, 500]",True
False,120,2024-06-18 08:57:21.359876,"[120, 120]",True,Sensor contact not supported,"[500, 500]",True
False,120,2024-06-18 08:57:22.354871,"[120, 120]",True,Sensor contact not supported,"[500, 500]",True
False,120,2024-06-18 08:57:23.355566,"[120, 120]",True,Sensor contact not supported,"[500, 500]",True
False,120,2024-06-18 08:57:24.345479,"[120, 120]",True,Sensor contact not supported,"[500, 500]",True
False,120,2024-06-18 08:57:25.342903,"[120, 120]",True,Sensor contact not supported,"[500, 500]",True
False,120,2024-06-18 08:57:26.347518,"[120, 120]",True,Sensor contact not supported,"[500, 500]",True
False,120,2024-06-18 08:57:27.343488,"[120, 120]",True,Sensor contact not supported,"[500, 500]",True
False,120,2024-06-18 08:57:28.336395,"[120, 120]",True,Sensor contact not supported,"[500, 500]",True
False,120,2024-06-18 08:57:29.340294,"[120, 120]",True,Sensor contact not supported,"[500, 500]",True
False,120,2024-06-18 08:57:30.332564,"[120, 120]",True,Sensor contact not supported,"[500, 500]",True
False,120,2024-06-18 08:57:31.335807,"[120, 120]",True,Sensor contact not supported,"[500, 500]",True
False,120,2024-06-18 08:57:33.329873,"[120, 120]",True,Sensor contact not supported,"[500, 500]",True
False,120,2024-06-18 08:57:33.331087,"[120, 120]",True,Sensor contact not supported,"[500, 500]",True
False,120,2024-06-18 08:57:34.324821,"[120, 120]",True,Sensor contact not supported,"[500, 500]",True
False,120,2024-06-18 08:57:35.321969,"[120, 120]",True,Sensor contact not supported,"[500, 500]",True
False,120,2024-06-18 08:57:37.319876,"[120, 120]",True,Sensor contact not supported,"[500, 500]",True
False,120,2024-06-18 08:57:37.320877,[120],True,Sensor contact not supported,[500],True
False,120,2024-06-18 08:57:38.318204,[120],True,Sensor contact not supported,[500],True
False,120,2024-06-18 08:57:39.309467,[120],True,Sensor contact not supported,[500],True
False,120,2024-06-18 08:57:40.309187,[73],True,Sensor contact not supported,[812],True
False,120,2024-06-18 08:57:41.303747,[60],True,Sensor contact not supported,[999],True
False,119,2024-06-18 08:57:42.304603,[60],True,Sensor contact not supported,[999],True
False,118,2024-06-18 08:57:43.303583,[60],True,Sensor contact not supported,[999],True
False,117,2024-06-18 08:57:44.302762,[60],True,Sensor contact not supported,[999],True
False,116,2024-06-18 08:57:45.299855,[60],True,Sensor contact not supported,[999],True
False,104,2024-06-18 08:57:46.293947,[60],True,Sensor contact not supported,[999],True
