ee_status,hr,timestamp_received,rr_hr,rr_interval,sensor_contact,rr,hrv_uint8
False,120,2024-06-18 08:51:53.173085,[100],True,Sensor contact not supported,[600],True
False,120,2024-06-18 08:51:54.177658,[60],True,Sensor contact not supported,[999],True
False,120,2024-06-18 08:51:55.168532,[60],True,Sensor contact not supported,[999],True
False,119,2024-06-18 08:51:57.171222,[60],True,Sensor contact not supported,[999],True
False,118,2024-06-18 08:51:57.171222,[60],True,Sensor contact not supported,[999],True
False,117,2024-06-18 08:51:58.161735,[60],True,Sensor contact not supported,[999],True
False,116,2024-06-18 08:51:59.161905,[60],True,Sensor contact not supported,[999],True
False,104,2024-06-18 08:52:00.159732,[60],True,Sensor contact not supported,[999],True
False,86,2024-06-18 08:52:01.160224,[60],True,Sensor contact not supported,[999],True
False,77,2024-06-18 08:52:02.155547,[60],True,Sensor contact not supported,[1000],True
False,72,2024-06-18 08:52:03.653319,[60],True,Sensor contact not supported,[1000],True
False,71,2024-06-18 08:52:04.645395,[60],True,Sensor contact not supported,[1000],True
False,70,2024-06-18 08:52:05.648078,[60],True,Sensor contact not supported,[1000],True
False,69,2024-06-18 08:52:06.647571,[60],True,Sensor contact not supported,[1000],True
False,68,2024-06-18 08:52:07.642075,[60],True,Sensor contact not supported,[1000],True
False,67,2024-06-18 08:52:08.641963,[60],True,Sensor contact not supported,[1000],True
False,67,2024-06-18 08:52:09.633153,[60],True,Sensor contact not supported,[1000],True
False,66,2024-06-18 08:52:10.637204,[60],True,Sensor contact not supported,[1000],True
False,65,2024-06-18 08:52:11.633405,[60],True,Sensor contact not supported,[1000],True
False,65,2024-06-18 08:52:12.631821,[60],True,Sensor contact not supported,[1000],True
False,64,2024-06-18 08:52:13.629309,[60],True,Sensor contact not supported,[1000],True
False,64,2024-06-18 08:52:14.619164,[60],True,Sensor contact not supported,[1000],True
False,63,2024-06-18 08:52:15.623800,[60],True,Sensor contact not supported,[1000],True
False,63,2024-06-18 08:52:16.620300,[60],True,Sensor contact not supported,[1000],True
False,63,2024-06-18 08:52:17.619865,[60],True,Sensor contact not supported,[1000],True
False,63,2024-06-18 08:52:18.616903,[60],True,Sensor contact not supported,[1000],True
False,62,2024-06-18 08:52:19.608448,[60],True,Sensor contact not supported,[1000],True
False,62,2024-06-18 08:52:20.605643,[60],True,Sensor contact not supported,[1000],True
False,62,2024-06-18 08:52:21.606835,[60],True,Sensor contact not supported,[1000],True
