ee_status,timestamp_received,rr,sensor_contact,hrv_uint8,rr_hr,rr_interval,hr
False,2024-06-17 17:29:40.573393,,Sensor contact not supported,True,,False,0
False,2024-06-17 17:29:41.569537,,Sensor contact not supported,True,,False,0
False,2024-06-17 17:29:42.559738,"[500, 500, 44502]",Sensor contact not supported,True,"[120, 120, 1]",True,120
False,2024-06-17 17:29:43.561872,[497],Sensor contact not supported,True,[120],True,120
False,2024-06-17 17:29:44.562006,"[500, 501]",Sensor contact not supported,True,"[120, 119]",True,120
False,2024-06-17 17:29:45.557510,"[500, 498]",Sensor contact not supported,True,"[120, 120]",True,120
False,2024-06-17 17:29:46.556268,"[500, 499]",Sensor contact not supported,True,"[120, 120]",True,120
False,2024-06-17 17:29:47.555186,"[500, 500]",Sensor contact not supported,True,"[120, 120]",True,120
False,2024-06-17 17:29:49.547880,"[500, 500]",Sensor contact not supported,True,"[120, 120]",True,120
False,2024-06-17 17:29:49.548880,"[500, 500]",Sensor contact not supported,True,"[120, 120]",True,120
False,2024-06-17 17:29:50.546773,"[500, 500]",Sensor contact not supported,True,"[120, 120]",True,120
False,2024-06-17 17:29:51.544139,"[500, 500]",Sensor contact not supported,True,"[120, 120]",True,120
False,2024-06-17 17:29:52.540345,"[500, 500]",Sensor contact not supported,True,"[120, 120]",True,120
False,2024-06-17 17:29:53.531037,"[500, 500]",Sensor contact not supported,True,"[120, 120]",True,120
False,2024-06-17 17:29:54.535551,"[500, 500]",Sensor contact not supported,True,"[120, 120]",True,120
False,2024-06-17 17:29:55.532528,"[500, 500]",Sensor contact not supported,True,"[120, 120]",True,120
False,2024-06-17 17:29:56.530433,"[500, 500]",Sensor contact not supported,True,"[120, 120]",True,120
False,2024-06-17 17:29:57.527785,[500],Sensor contact not supported,True,[120],True,120
False,2024-06-17 17:29:58.524949,"[500, 1000]",Sensor contact not supported,True,"[120, 60]",True,120
False,2024-06-17 17:29:59.523353,"[500, 500]",Sensor contact not supported,True,"[120, 120]",True,120
False,2024-06-17 17:30:00.521994,"[500, 500]",Sensor contact not supported,True,"[120, 120]",True,120
False,2024-06-17 17:30:01.511805,"[500, 500]",Sensor contact not supported,True,"[120, 120]",True,120
False,2024-06-17 17:30:02.508705,"[500, 500]",Sensor contact not supported,True,"[120, 120]",True,120
False,2024-06-17 17:30:03.513291,"[500, 500]",Sensor contact not supported,True,"[120, 120]",True,120
False,2024-06-17 17:30:04.510596,"[500, 500]",Sensor contact not supported,True,"[120, 120]",True,120
False,2024-06-17 17:30:05.508237,"[500, 500]",Sensor contact not supported,True,"[120, 120]",True,120
False,2024-06-17 17:30:06.506847,"[500, 500]",Sensor contact not supported,True,"[120, 120]",True,120
False,2024-06-17 17:30:07.503082,"[500, 500]",Sensor contact not supported,True,"[120, 120]",True,120
False,2024-06-17 17:30:08.500808,"[500, 500]",Sensor contact not supported,True,"[120, 120]",True,120
False,2024-06-17 17:30:09.996641,"[500, 500]",Sensor contact not supported,True,"[120, 120]",True,120
False,2024-06-17 17:30:10.493074,"[500, 500]",Sensor contact not supported,True,"[120, 120]",True,120
False,2024-06-17 17:30:11.493207,"[500, 500]",Sensor contact not supported,True,"[120, 120]",True,120
False,2024-06-17 17:30:12.490889,"[500, 500]",Sensor contact not supported,True,"[120, 120]",True,120
False,2024-06-17 17:30:13.487785,"[500, 500]",Sensor contact not supported,True,"[120, 120]",True,120
False,2024-06-17 17:30:14.486089,"[500, 500]",Sensor contact not supported,True,"[120, 120]",True,120
False,2024-06-17 17:30:15.482818,"[500, 500]",Sensor contact not supported,True,"[120, 120]",True,120
False,2024-06-17 17:30:16.480631,"[500, 500]",Sensor contact not supported,True,"[120, 120]",True,120
False,2024-06-17 17:30:17.478569,"[500, 500]",Sensor contact not supported,True,"[120, 120]",True,120
False,2024-06-17 17:30:18.476101,"[500, 500]",Sensor contact not supported,True,"[120, 120]",True,120
False,2024-06-17 17:30:19.472286,"[500, 500]",Sensor contact not supported,True,"[120, 120]",True,120
False,2024-06-17 17:30:20.470583,"[500, 500]",Sensor contact not supported,True,"[120, 120]",True,120
False,2024-06-17 17:30:22.465690,"[500, 500]",Sensor contact not supported,True,"[120, 120]",True,120
False,2024-06-17 17:30:22.467685,"[500, 500]",Sensor contact not supported,True,"[120, 120]",True,120
False,2024-06-17 17:30:23.463087,"[500, 500]",Sensor contact not supported,True,"[120, 120]",True,120
False,2024-06-17 17:30:24.460262,"[500, 500]",Sensor contact not supported,True,"[120, 120]",True,120
